"","miRNA","lncRNA","PCC.cor","p_value","adjusted_p_value"
"1","Cluster_4115","lncRNA_002",-0.998630741475674,0.0333186514275341,0.98228265447747
"2","Cluster_6905","lncRNA_002",-0.998642260605827,0.0331781740264931,0.98228265447747
"3","Cluster_14500","lncRNA_002",-0.999215940730059,0.0252114571778646,0.98228265447747
"4","Cluster_589","lncRNA_006",-0.998772930399438,0.0315409041356131,0.98228265447747
"5","Cluster_1140","lncRNA_006",-0.998802720984629,0.0311556019554626,0.98228265447747
"6","Cluster_8634","lncRNA_006",0.999860285800065,0.0106419313111496,0.803898017226865
"7","Cluster_8884","lncRNA_006",-0.999915833027416,0.00825979027162742,0.733461705393618
"8","Cluster_15890","lncRNA_006",-0.998829384801961,0.030806657128044,0.98228265447747
"9","Cluster_1167","lncRNA_007",0.999909726776791,0.00855416971793915,0.733461705393618
"10","Cluster_1167","lncRNA_009",0.999913329441406,0.00838173749868665,0.733461705393618
"11","Cluster_1167","lncRNA_010",0.999909726776791,0.00855416971793915,0.733461705393618
"12","Cluster_1167","lncRNA_012",0.999909726776791,0.00855416971793389,0.733461705393618
"13","Cluster_1167","lncRNA_013",0.999800673075768,0.0127111638700535,0.868345423514648
"14","Cluster_1167","lncRNA_014",0.999800673075768,0.0127111638700535,0.868345423514648
"15","Cluster_589","lncRNA_015",-0.998796179938453,0.0312406086418456,0.98228265447747
"16","Cluster_796","lncRNA_015",0.999134667211556,0.0264861005338472,0.98228265447747
"17","Cluster_2882","lncRNA_015",-0.999101123286599,0.0269946513308177,0.98228265447747
"18","Cluster_15890","lncRNA_015",-0.998738940309437,0.0319748556494122,0.98228265447747
"19","Cluster_589","lncRNA_016",-0.998796179938453,0.0312406086418456,0.98228265447747
"20","Cluster_796","lncRNA_016",0.999134667211556,0.0264861005338472,0.98228265447747
"21","Cluster_2882","lncRNA_016",-0.999101123286599,0.0269946513308177,0.98228265447747
"22","Cluster_15890","lncRNA_016",-0.998738940309437,0.0319748556494122,0.98228265447747
"23","Cluster_589","lncRNA_017",-0.998796179938453,0.0312406086418456,0.98228265447747
"24","Cluster_796","lncRNA_017",0.999134667211556,0.0264861005338472,0.98228265447747
"25","Cluster_2882","lncRNA_017",-0.999101123286599,0.0269946513308177,0.98228265447747
"26","Cluster_15890","lncRNA_017",-0.998738940309437,0.0319748556494122,0.98228265447747
"27","Cluster_589","lncRNA_018",-0.998527299906959,0.034554577811596,0.98228265447747
"28","Cluster_796","lncRNA_018",0.999337640494652,0.0231721313640923,0.98228265447747
"29","Cluster_2882","lncRNA_018",-0.999308251702048,0.0236806821610605,0.98228265447747
"30","Cluster_15890","lncRNA_018",-0.998464064621414,0.0352888248191635,0.98228265447747
"31","Cluster_2854","lncRNA_019",0.999962448044095,0.00551712420276981,0.68452864595018
"32","Cluster_4735","lncRNA_019",0.99999940598563,0.000693894776324798,0.333905264034847
