#Coverage (X)	Coverage
1.0	84.08685095190711
2.0	82.99057686863246
3.0	78.04241173627759
4.0	77.13026351161152
5.0	73.95773822392451
6.0	73.10129955576973
7.0	70.6213961799354
8.0	69.77921743324845
9.0	67.65667831131323
10.0	66.81897882636406
11.0	64.91832647239917
12.0	64.07690081951637
13.0	62.33607722370451
14.0	61.49888095199895
15.0	59.87753823747488
16.0	59.037015181855935
17.0	57.512132471303296
18.0	56.67473438320452
19.0	55.23715000901509
20.0	54.40529788851139
21.0	53.04258447517729
22.0	52.21807209823729
23.0	50.9234780907619
24.0	50.109176295579054
25.0	48.8752113847474
26.0	48.07174075673085
27.0	46.8924038258716
28.0	46.10343875111724
29.0	44.97810629379451
30.0	44.207435343989154
31.0	43.13302912911068
32.0	42.38008615616179
33.0	41.35219861991895
34.0	40.614720359195786
35.0	39.63104707703555
36.0	38.91437449316534
37.0	37.97547178790847
38.0	37.27796140502596
39.0	36.38068731408759
40.0	35.7027823316142
41.0	34.84256518259228
42.0	34.184185936162265
43.0	33.36240525032356
44.0	32.724261814983564
45.0	31.940029865745828
46.0	31.321113159529787
47.0	30.570482577570502
48.0	29.971639963782025
49.0	29.2553287905844
50.0	28.67634172331347
51.0	27.9877157760464
