#Duplication rate	Coverage
1.0	1.0834154E7
2.0	2.6099318E7
3.0	2608528.0
4.0	5418940.0
5.0	946067.0
6.0	1805384.0
7.0	462129.0
8.0	804412.0
9.0	269362.0
10.0	425510.0
11.0	172100.0
12.0	251708.0
13.0	116948.0
14.0	159251.0
15.0	83620.0
16.0	105855.0
17.0	60831.0
18.0	74179.0
19.0	44975.0
20.0	52720.0
21.0	34211.0
22.0	38146.0
23.0	26709.0
24.0	28445.0
25.0	20655.0
26.0	21608.0
27.0	15996.0
28.0	16624.0
29.0	12418.0
30.0	12743.0
31.0	9929.0
32.0	9847.0
33.0	7863.0
34.0	7641.0
35.0	6305.0
36.0	6190.0
37.0	5104.0
38.0	4758.0
39.0	4052.0
40.0	3936.0
41.0	3367.0
42.0	3125.0
43.0	2662.0
44.0	2494.0
45.0	2136.0
46.0	1992.0
47.0	1826.0
48.0	1645.0
49.0	1449.0
50.0	17239.0
