#Mapping quality	mapping quality
0.0	8538860.0
1.0	7796643.0
2.0	2.4383533E7
3.0	1.298374E7
4.0	1.6760236E7
5.0	1.1918983E7
6.0	1.4265815E7
7.0	6772217.0
8.0	6120903.0
9.0	5158648.0
10.0	4894141.0
11.0	4786349.0
12.0	4731364.0
13.0	4428291.0
14.0	4548044.0
15.0	4489446.0
16.0	4696705.0
17.0	4619459.0
18.0	4928709.0
19.0	4949756.0
20.0	5379065.0
21.0	6203896.0
22.0	6472831.0
23.0	7036031.0
24.0	7857691.0
25.0	8234429.0
26.0	9313799.0
27.0	1.0176202E7
28.0	1.1330205E7
29.0	1.197961E7
30.0	1.2670366E7
31.0	1.2443575E7
32.0	1.1693907E7
33.0	9972494.0
34.0	7857664.0
35.0	5579724.0
36.0	3742461.0
37.0	2230939.0
38.0	1331558.0
39.0	692383.0
40.0	720008.0
41.0	783976.0
42.0	1179535.0
