Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed_ACR-140-TP2_S5_R1_001	40.400613089917556	22.0	120.0124819248856	9.090909090909092	253975571.0
trimmed_ACR-140-TP2_S5_R2_001	39.97851012296159	23.0	120.61129687547783	27.27272727272727	253975571.0
trimmed_ACR-145-TP2_S3_R1_001	53.47266621170018	22.0	120.98143257538932	27.27272727272727	244866108.0
trimmed_ACR-145-TP2_S3_R2_001	50.38626965051216	23.0	121.56135011955186	36.36363636363637	244866108.0
trimmed_ACR-150-TP2_S2_R1_001	43.78001342317863	23.0	117.69081505304557	9.090909090909092	234083660.0
trimmed_ACR-150-TP2_S2_R2_001	43.06789351881126	24.0	118.24756207673786	27.27272727272727	234083660.0
trimmed_ACR-173-TP2_S4_R1_001	34.28565831503958	23.0	118.8731637192217	9.090909090909092	213856184.0
trimmed_ACR-173-TP2_S4_R2_001	34.21303155808688	23.0	119.41791177757105	27.27272727272727	213856184.0
trimmed_ACR-178-TP2_S1_R1_001	36.94412347134893	23.0	116.2994700299601	9.090909090909092	182967324.0
trimmed_ACR-178-TP2_S1_R2_001	36.535227635551074	23.0	117.01095507632827	27.27272727272727	182967324.0
