"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0001523","retinoid metabolic process",2,1,0.05,0.045,"Biological.Process","Cluster_9149"
"2","GO:0005109","frizzled binding",1,1,0.02,0.02,"Molecular.Function","Cluster_9149"
"3","GO:0005248","voltage-gated sodium channel activity",1,1,0.02,0.02,"Molecular.Function","Cluster_9149"
"4","GO:0001601","peptide YY receptor activity",2,1,0.04,0.039,"Molecular.Function","Cluster_9149"
"5","GO:0003831","beta-N-acetylglucosaminylglycopeptide beta-1,4-gala...",2,1,0.04,0.039,"Molecular.Function","Cluster_9149"
"6","GO:0003729","mRNA binding",2,1,0.04,0.039,"Molecular.Function","Cluster_9149"
"7","GO:0001409","guanine nucleotide transmembrane transporter activi...",6,1,0.04,0.039,"Molecular.Function","Cluster_6914"
"8","GO:0001696","gastric acid secretion",2,1,0.03,0.028,"Biological.Process","Cluster_6906"
"9","GO:0001937","negative regulation of endothelial cell proliferati...",2,1,0.03,0.028,"Biological.Process","Cluster_6906"
"10","GO:0000026","alpha-1,2-mannosyltransferase activity",1,1,0.01,0.011,"Molecular.Function","Cluster_6906"
"11","GO:0008376","acetylgalactosaminyltransferase activity",2,1,0.02,0.023,"Molecular.Function","Cluster_6906"
"12","GO:0004089","carbonate dehydratase activity",2,1,0.02,0.023,"Molecular.Function","Cluster_6906"
"13","GO:0000165","MAPK cascade",23,7,1.65,0.00047,"Biological.Process","Cluster_589"
"14","GO:0005283","amino acid:sodium symporter activity",3,2,0.21,0.014,"Molecular.Function","Cluster_589"
"15","GO:0004656","procollagen-proline 4-dioxygenase activity",5,2,0.35,0.042,"Molecular.Function","Cluster_589"
"16","GO:0000281","mitotic cytokinesis",6,3,0.4,0.0044,"Biological.Process","Cluster_2787"
"17","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",11,4,0.85,0.0069,"Molecular.Function","Cluster_2787"
"18","GO:0005302","L-tyrosine transmembrane transporter activity",6,3,0.46,0.0073,"Molecular.Function","Cluster_2787"
"19","GO:0001666","response to hypoxia",4,2,0.23,0.017,"Biological.Process","Cluster_2854"
"20","GO:0004605","phosphatidate cytidylyltransferase activity",1,1,0.03,0.028,"Molecular.Function","Cluster_2854"
"21","GO:0004715","non-membrane spanning protein tyrosine kinase activ...",1,1,0.03,0.028,"Molecular.Function","Cluster_2854"
"22","GO:0003779","actin binding",10,2,0.28,0.029,"Molecular.Function","Cluster_2854"
"23","GO:0001696","gastric acid secretion",2,1,0.02,0.023,"Biological.Process","Cluster_6904"
"24","GO:0001937","negative regulation of endothelial cell proliferati...",2,1,0.02,0.023,"Biological.Process","Cluster_6904"
"25","GO:0008376","acetylgalactosaminyltransferase activity",2,1,0.01,0.0098,"Molecular.Function","Cluster_6904"
"26","GO:0000981","DNA-binding transcription factor activity, RNA poly...",4,1,0.04,0.039,"Molecular.Function","Cluster_11134"
"27","GO:0004508","steroid 17-alpha-monooxygenase activity",4,1,0.04,0.039,"Molecular.Function","Cluster_11134"
"28","GO:0003714","transcription corepressor activity",5,1,0.05,0.048,"Molecular.Function","Cluster_11134"
"29","GO:0050233","pyranose oxidase activity",1,1,0,0.0049,"Molecular.Function","Cluster_14999"
"30","GO:0003978","UDP-glucose 4-epimerase activity",1,1,0,0.0049,"Molecular.Function","Cluster_14999"
"31","GO:0001609","G protein-coupled adenosine receptor activity",3,1,0.01,0.0147,"Molecular.Function","Cluster_14999"
"32","GO:0000278","mitotic cell cycle",36,3,1.03,0.025,"Biological.Process","Cluster_2882"
"33","GO:0001778","plasma membrane repair",1,1,0.03,0.029,"Biological.Process","Cluster_2882"
"34","GO:0005007","fibroblast growth factor receptor activity",4,2,0.14,0.0065,"Molecular.Function","Cluster_2882"
"35","GO:0003697","single-stranded DNA binding",1,1,0.03,0.0344,"Molecular.Function","Cluster_2882"
"36","GO:0003884","D-amino-acid oxidase activity",1,1,0.03,0.0344,"Molecular.Function","Cluster_2882"
"37","GO:0004046","aminoacylase activity",1,1,0.03,0.0344,"Molecular.Function","Cluster_2882"
"38","GO:0006814","sodium ion transport",1,1,0.01,0.0057,"Biological.Process","Cluster_5882"
"39","GO:0004966","galanin receptor activity",5,1,0.04,0.04,"Molecular.Function","Cluster_5882"
"40","GO:0001778","plasma membrane repair",1,1,0.03,0.029,"Biological.Process","Cluster_4080"
