"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0002175","protein localization to paranode region of axon",14,1,0.04,0.04,"Biological.Process","Cluster_15726"
"2","GO:0000146","microfilament motor activity",2,1,0.01,0.0066,"Molecular.Function","Cluster_4629"
"3","GO:0006886","intracellular protein transport",1,1,0.02,0.017,"Biological.Process","Cluster_1167"
"4","GO:0002224","toll-like receptor signaling pathway",1,1,0.02,0.017,"Biological.Process","Cluster_1167"
"5","GO:0002027","regulation of heart rate",2,1,0.03,0.034,"Biological.Process","Cluster_1167"
"6","GO:0002088","lens development in camera-type eye",2,1,0.03,0.034,"Biological.Process","Cluster_1167"
"7","GO:0004714","transmembrane receptor protein tyrosine kinase acti...",8,3,0.18,0.0025,"Molecular.Function","Cluster_1167"
"8","GO:0004364","glutathione transferase activity",1,1,0.02,0.023,"Molecular.Function","Cluster_1167"
"9","GO:0005509","calcium ion binding",33,3,0.76,0.0349,"Molecular.Function","Cluster_1167"
"10","GO:0003690","double-stranded DNA binding",23,2,0.53,0.0437,"Molecular.Function","Cluster_1167"
"11","GO:0004725","protein tyrosine phosphatase activity",2,1,0.05,0.0454,"Molecular.Function","Cluster_1167"
"12","GO:0000026","alpha-1,2-mannosyltransferase activity",1,1,0,0.0016,"Molecular.Function","Cluster_6906"
"13","GO:0002088","lens development in camera-type eye",2,1,0.02,0.017,"Biological.Process","Cluster_2854"
"14","GO:0015969","guanosine tetraphosphate metabolic process",3,1,0.03,0.026,"Biological.Process","Cluster_2854"
"15","GO:0004713","protein tyrosine kinase activity",18,1,0.03,0.03,"Molecular.Function","Cluster_2854"
"16","GO:0004022","alcohol dehydrogenase (NAD+) activity",2,1,0,0.0033,"Molecular.Function","Cluster_2787"
"17","GO:0050233","pyranose oxidase activity",1,1,0,0.0016,"Molecular.Function","Cluster_14999"
"18","GO:0000070","mitotic sister chromatid segregation",2,1,0.01,0.0057,"Biological.Process","Cluster_589"
"19","GO:0001822","kidney development",9,1,0.03,0.026,"Biological.Process","Cluster_4079"
"20","GO:0004140","dephospho-CoA kinase activity",1,1,0,0.0016,"Molecular.Function","Cluster_4735"
"21","GO:0004252","serine-type endopeptidase activity",14,1,0.02,0.023,"Molecular.Function","Cluster_10061"
"22","GO:0003884","D-amino-acid oxidase activity",1,1,0,0.0016,"Molecular.Function","Cluster_2882"
