,source,target,PCC.cor,PCC_magnitude,PCC_direction,p_value,interaction_support
1,peve-mir-novel-35,Peve_00027432,-0.99995514319204,0.99995514319204,-1,0.00602991134659825,predicted binding + coexpression
2,peve-mir-novel-10,Peve_00017735,0.997938030915672,0.997938030915672,1,0.0408894104551393,predicted binding + coexpression
3,peve-mir-100,Peve_00020387,0.997608159669892,0.997608159669892,1,0.0440400511406639,predicted binding + coexpression
4,peve-mir-novel-3,Peve_00020926,0.99976239721897,0.99976239721897,1,0.0138780829858655,predicted binding + coexpression
5,peve-mir-novel-41,Peve_00015952,0.997844556977271,0.997844556977271,1,0.0418062711782387,predicted binding + coexpression
6,peve-mir-novel-36,Peve_00013095,-0.99757658370632,0.99757658370632,-1,0.0443299128918105,predicted binding + coexpression
7,peve-mir-novel-10,Peve_00034505,0.997938030915673,0.997938030915673,1,0.0408894104551382,predicted binding + coexpression
8,peve-mir-novel-10,Peve_00029667,0.997938030915673,0.997938030915673,1,0.0408894104551382,predicted binding + coexpression
9,peve-mir-novel-3,Peve_00031940,-0.999663016871668,0.999663016871668,-1,0.0165276609923165,predicted binding + coexpression
10,peve-mir-novel-24,Peve_00008275,1,1,1,0,predicted binding + coexpression
11,peve-mir-100,Peve_00008279,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
12,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00026650,-0.998173851896017,0.998173851896017,-1,0.0384794833063837,predicted binding + coexpression
13,peve-mir-novel-10,Peve_00010128,0.997938030915672,0.997938030915672,1,0.0408894104551393,predicted binding + coexpression
14,peve-mir-novel-15,Peve_00029665,-0.997478929018431,0.997478929018431,-1,0.0452146257420912,predicted binding + coexpression
15,peve-mir-novel-24,Peve_00034585,1,1,1,9.48637384723993e-09,predicted binding + coexpression
16,peve-mir-novel-9,Peve_00008964,-0.999794894490907,0.999794894490907,-1,0.0128941051315395,predicted binding + coexpression
17,peve-mir-novel-40,Peve_00023739,0.999976082283725,0.999976082283725,1,0.004403072548434,predicted binding + coexpression
18,peve-mir-novel-35,Peve_00020651,-0.998224476405987,0.998224476405987,-1,0.0379422100483605,predicted binding + coexpression
19,peve-mir-100,Peve_00027965,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
20,peve-mir-novel-8,Peve_00002333,-0.99984182162055,0.99984182162055,-1,0.0113233363162533,predicted binding + coexpression
21,peve-mir-novel-24,Peve_00032772,1,1,1,9.48637384723993e-09,predicted binding + coexpression
22,peve-mir-novel-35,Peve_00027699,-0.99781061214271,0.99781061214271,-1,0.0421342959844262,predicted binding + coexpression
23,peve-mir-100,Peve_00023767,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
24,peve-mir-novel-30,Peve_00030028,-0.999412779421733,0.999412779421733,-1,0.0218181040468405,predicted binding + coexpression
25,peve-mir-novel-36,Peve_00015742,-0.998127395584257,0.998127395584257,-1,0.0389660099841794,predicted binding + coexpression
26,peve-mir-novel-8,Peve_00017580,-0.999998957645573,0.999998957645573,-1,0.000919184867929113,predicted binding + coexpression
27,peve-mir-novel-24,Peve_00037587,-0.997642761939907,0.997642761939907,-1,0.0437202051657,predicted binding + coexpression
28,peve-mir-novel-39,Peve_00040680,0.999851452010528,0.999851452010528,1,0.0109732149417988,predicted binding + coexpression
29,peve-mir-100,Peve_00043419,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
30,peve-mir-2025,Peve_00024854,-0.999571546587002,0.999571546587002,-1,0.0186364175217764,predicted binding + coexpression
31,peve-mir-novel-2,Peve_00035783,-0.997488611107799,0.997488611107799,-1,0.0451276831430894,predicted binding + coexpression
32,peve-mir-novel-13,Peve_00018121,-0.998399871033844,0.998399871033844,-1,0.0360189079935825,predicted binding + coexpression
33,peve-mir-novel-24,Peve_00006544,0.999971585054582,0.999971585054582,1,0.00479920788265011,predicted binding + coexpression
34,peve-mir-novel-24,Peve_00022361,-0.999345600152943,0.999345600152943,-1,0.0230324640380137,predicted binding + coexpression
35,peve-mir-novel-20,Peve_00013542,-0.998136715854457,0.998136715854457,-1,0.0388688885892676,predicted binding + coexpression
36,peve-mir-novel-2,Peve_00034862,-0.996949252337422,0.996949252337422,-1,0.0497403384974724,predicted binding + coexpression
37,peve-mir-100,Peve_00004995,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
38,peve-mir-novel-7,Peve_00015748,-0.999044377811527,0.999044377811527,-1,0.0278338206502373,predicted binding + coexpression
39,peve-mir-100,Peve_00041754,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
40,peve-mir-novel-10,Peve_00014587,0.997938030915673,0.997938030915673,1,0.0408894104551382,predicted binding + coexpression
41,peve-mir-novel-28,Peve_00042220,0.998758250045999,0.998758250045999,1,0.0317290557481559,predicted binding + coexpression
42,peve-mir-100,Peve_00031993,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
43,peve-mir-100,Peve_00024388,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
44,peve-mir-novel-8,Peve_00031324,0.999992290678624,0.999992290678624,1,0.00249978970397961,predicted binding + coexpression
45,peve-mir-novel-30,Peve_00035315,0.997089150362585,0.997089150362585,1,0.0485859177132707,predicted binding + coexpression
46,peve-mir-novel-9,Peve_00043301,-0.999473741771815,0.999473741771815,-1,0.0206544492090428,predicted binding + coexpression
47,peve-mir-novel-7,Peve_00030841,-0.997945022574284,0.997945022574284,-1,0.0408200045387614,predicted binding + coexpression
48,peve-mir-2023,Peve_00006285,0.999973885825882,0.999973885825882,1,0.00460080910062486,predicted binding + coexpression
49,peve-mir-novel-15,Peve_00011900,0.999023739066517,0.999023739066517,1,0.0281328295255526,predicted binding + coexpression
