#Duplication rate	Coverage
1.0	8513628.0
2.0	4715736.0
3.0	1002053.0
4.0	704968.0
5.0	241661.0
6.0	165897.0
7.0	78586.0
8.0	55683.0
9.0	31814.0
10.0	23814.0
11.0	15065.0
12.0	11547.0
13.0	7905.0
14.0	6267.0
15.0	4724.0
16.0	3758.0
17.0	2829.0
18.0	2325.0
19.0	1756.0
20.0	1514.0
21.0	1276.0
22.0	1097.0
23.0	871.0
24.0	820.0
25.0	687.0
26.0	596.0
27.0	542.0
28.0	458.0
29.0	371.0
30.0	375.0
31.0	353.0
32.0	289.0
33.0	244.0
34.0	225.0
35.0	234.0
36.0	210.0
37.0	192.0
38.0	193.0
39.0	169.0
40.0	168.0
41.0	143.0
42.0	123.0
43.0	122.0
44.0	132.0
45.0	95.0
46.0	72.0
47.0	94.0
48.0	71.0
49.0	85.0
50.0	2174.0
