#Mapping quality	mapping quality
0.0	1.3550661E7
1.0	6169866.0
2.0	2.2900664E7
3.0	1.1726916E7
4.0	1.2481711E7
5.0	9522676.0
6.0	1.8495605E7
7.0	8528831.0
8.0	1.0105517E7
9.0	6734842.0
10.0	6494040.0
11.0	7536379.0
12.0	7748124.0
13.0	6567594.0
14.0	7347641.0
15.0	7593676.0
16.0	7110771.0
17.0	7019685.0
18.0	7454265.0
19.0	6016969.0
20.0	6033800.0
21.0	8131957.0
22.0	7507230.0
23.0	1.1464759E7
24.0	1.103286E7
25.0	7077638.0
26.0	6953863.0
27.0	6747723.0
28.0	7598448.0
29.0	7405607.0
30.0	8325234.0
31.0	7361290.0
32.0	9019803.0
33.0	7964709.0
34.0	7902933.0
35.0	7721442.0
36.0	7758410.0
37.0	6703861.0
38.0	6261424.0
39.0	4603388.0
40.0	8873540.0
41.0	1.1195436E7
42.0	3.2191798E7
