#Duplication rate	Coverage
1.0	2.5338783E7
2.0	3.2838261E7
3.0	4707269.0
4.0	5670737.0
5.0	1408802.0
6.0	1584893.0
7.0	594268.0
8.0	630096.0
9.0	307367.0
10.0	309157.0
11.0	176152.0
12.0	170229.0
13.0	108419.0
14.0	100706.0
15.0	69409.0
16.0	63501.0
17.0	46033.0
18.0	40890.0
19.0	31052.0
20.0	27571.0
21.0	21571.0
22.0	18926.0
23.0	15299.0
24.0	13517.0
25.0	11070.0
26.0	9545.0
27.0	8170.0
28.0	7181.0
29.0	6211.0
30.0	5357.0
31.0	4738.0
32.0	4246.0
33.0	3791.0
34.0	3451.0
35.0	3076.0
36.0	2737.0
37.0	2463.0
38.0	2287.0
39.0	2043.0
40.0	1990.0
41.0	1735.0
42.0	1654.0
43.0	1457.0
44.0	1433.0
45.0	1351.0
46.0	1263.0
47.0	1174.0
48.0	1144.0
49.0	1095.0
50.0	30490.0
