#Duplication rate	Coverage
1.0	3.0311832E7
2.0	2.4477996E7
3.0	4963066.0
4.0	4420352.0
5.0	1523264.0
6.0	1397198.0
7.0	676297.0
8.0	625835.0
9.0	370831.0
10.0	340850.0
11.0	228425.0
12.0	207557.0
13.0	151177.0
14.0	136014.0
15.0	105123.0
16.0	93582.0
17.0	74120.0
18.0	66069.0
19.0	54213.0
20.0	48625.0
21.0	39977.0
22.0	35707.0
23.0	30381.0
24.0	27014.0
25.0	23006.0
26.0	20347.0
27.0	17161.0
28.0	15690.0
29.0	13603.0
30.0	11952.0
31.0	10771.0
32.0	9331.0
33.0	8015.0
34.0	7411.0
35.0	6322.0
36.0	5738.0
37.0	4880.0
38.0	4504.0
39.0	3839.0
40.0	3474.0
41.0	3195.0
42.0	2872.0
43.0	2509.0
44.0	2288.0
45.0	1965.0
46.0	1770.0
47.0	1587.0
48.0	1502.0
49.0	1382.0
50.0	14949.0
