#Insert size (bp)	insert size
20.0	477.0
21.0	768.0
22.0	1448.0
23.0	2077.0
24.0	2556.0
25.0	3835.0
26.0	5611.0
27.0	7653.0
28.0	9656.0
29.0	12271.0
30.0	15148.0
31.0	18562.0
32.0	22234.0
33.0	26765.0
34.0	31490.0
35.0	37115.0
36.0	42836.0
37.0	49386.0
38.0	56943.0
39.0	64554.0
40.0	72776.0
41.0	81290.0
42.0	92204.0
43.0	102721.0
44.0	114055.0
45.0	125286.0
46.0	137201.0
47.0	150753.0
48.0	164385.0
49.0	178356.0
50.0	191883.0
51.0	206963.0
52.0	222272.0
53.0	236880.0
54.0	252365.0
55.0	270970.0
56.0	287863.0
57.0	303643.0
58.0	320455.0
59.0	336300.0
60.0	354044.0
61.0	370759.0
62.0	386476.0
63.0	401467.0
64.0	417156.0
65.0	430758.0
66.0	445256.0
67.0	460750.0
68.0	476217.0
69.0	489329.0
70.0	503155.0
71.0	515550.0
72.0	529419.0
73.0	541874.0
74.0	554520.0
75.0	565100.0
76.0	572579.0
77.0	582627.0
78.0	592494.0
79.0	601879.0
80.0	612890.0
81.0	620851.0
82.0	624188.0
83.0	639027.0
84.0	640898.0
85.0	650341.0
86.0	654081.0
87.0	663287.0
88.0	665529.0
89.0	675810.0
90.0	674146.0
91.0	673007.0
92.0	679011.0
93.0	678695.0
94.0	682730.0
95.0	686039.0
96.0	685705.0
97.0	686316.0
98.0	682968.0
99.0	687408.0
100.0	682693.0
101.0	682741.0
102.0	680883.0
103.0	684516.0
104.0	684195.0
105.0	677390.0
106.0	674230.0
107.0	674551.0
108.0	672659.0
109.0	669828.0
110.0	670079.0
111.0	670873.0
112.0	663116.0
113.0	662356.0
114.0	659214.0
115.0	655208.0
116.0	651070.0
117.0	645109.0
118.0	640121.0
119.0	638784.0
120.0	636120.0
121.0	630518.0
122.0	628824.0
123.0	623898.0
124.0	620143.0
125.0	615935.0
126.0	613685.0
127.0	608798.0
128.0	600776.0
129.0	595007.0
130.0	589714.0
131.0	584313.0
132.0	580555.0
133.0	574782.0
134.0	570688.0
135.0	565170.0
136.0	558410.0
137.0	553448.0
138.0	547274.0
139.0	543776.0
140.0	540663.0
141.0	533148.0
142.0	522628.0
143.0	515662.0
144.0	512127.0
145.0	508410.0
146.0	504404.0
147.0	497764.0
148.0	486459.0
149.0	362848.0
150.0	373258.0
151.0	594063.0
152.0	665096.0
153.0	606352.0
154.0	498856.0
155.0	470984.0
156.0	449745.0
157.0	437414.0
158.0	425340.0
159.0	412693.0
160.0	402671.0
161.0	393728.0
162.0	386111.0
163.0	379285.0
164.0	374100.0
165.0	365928.0
166.0	359537.0
167.0	356115.0
168.0	348459.0
169.0	340146.0
170.0	335899.0
171.0	329976.0
172.0	323371.0
173.0	317708.0
174.0	311359.0
175.0	308259.0
176.0	301333.0
177.0	294575.0
178.0	288569.0
179.0	285288.0
180.0	278876.0
181.0	274321.0
182.0	269308.0
183.0	264686.0
184.0	258457.0
185.0	256631.0
186.0	250203.0
187.0	245759.0
188.0	240496.0
189.0	235459.0
190.0	232223.0
191.0	228586.0
192.0	223124.0
193.0	218228.0
194.0	215426.0
195.0	209707.0
196.0	205437.0
197.0	202268.0
198.0	196922.0
199.0	194180.0
200.0	190793.0
201.0	186556.0
202.0	183346.0
203.0	179306.0
204.0	176850.0
205.0	173639.0
206.0	169439.0
207.0	166089.0
208.0	163413.0
209.0	160744.0
210.0	157819.0
211.0	154725.0
212.0	152529.0
213.0	148762.0
214.0	146071.0
215.0	143201.0
216.0	140780.0
217.0	138765.0
218.0	135880.0
219.0	132662.0
220.0	131642.0
221.0	129905.0
222.0	126105.0
223.0	123903.0
224.0	121542.0
225.0	118857.0
226.0	117225.0
227.0	114431.0
228.0	112329.0
229.0	110323.0
230.0	109005.0
231.0	106374.0
232.0	105170.0
233.0	102689.0
234.0	101070.0
235.0	99998.0
236.0	98308.0
237.0	96778.0
238.0	94283.0
239.0	92880.0
240.0	90782.0
241.0	90437.0
242.0	87791.0
243.0	87085.0
244.0	85406.0
245.0	85049.0
246.0	83363.0
247.0	81729.0
248.0	80252.0
249.0	79634.0
250.0	78992.0
251.0	76748.0
252.0	75224.0
253.0	74074.0
254.0	72461.0
255.0	71541.0
256.0	70399.0
257.0	70927.0
258.0	69757.0
259.0	68783.0
260.0	69211.0
261.0	67157.0
262.0	66053.0
263.0	64646.0
264.0	62696.0
265.0	62363.0
266.0	61168.0
267.0	59425.0
268.0	58447.0
269.0	58017.0
270.0	56472.0
271.0	55782.0
272.0	54342.0
273.0	53758.0
274.0	52937.0
275.0	51878.0
276.0	51644.0
277.0	50310.0
278.0	49387.0
279.0	48383.0
280.0	47502.0
281.0	46709.0
282.0	45867.0
283.0	44851.0
284.0	43961.0
285.0	43604.0
286.0	42630.0
287.0	42172.0
288.0	41659.0
289.0	40765.0
290.0	39856.0
291.0	38993.0
292.0	38594.0
293.0	37817.0
294.0	36602.0
295.0	36211.0
296.0	36071.0
297.0	35161.0
298.0	34346.0
299.0	33674.0
300.0	33136.0
301.0	32569.0
302.0	32100.0
303.0	31294.0
304.0	30873.0
305.0	29959.0
306.0	29971.0
307.0	29671.0
308.0	29418.0
309.0	29090.0
310.0	28521.0
311.0	27833.0
312.0	27314.0
313.0	26895.0
314.0	26702.0
315.0	26093.0
316.0	25450.0
317.0	25335.0
318.0	25262.0
319.0	24809.0
320.0	24396.0
321.0	24121.0
322.0	23628.0
323.0	23387.0
324.0	23239.0
325.0	23061.0
326.0	22500.0
