#Coverage	Number of genomic locations
0.0	6.0193824E7
1.0	1.1826424E7
2.0	1.9432505E7
3.0	9696030.0
4.0	1.2979314E7
5.0	8397873.0
6.0	1.020068E7
7.0	7586964.0
8.0	8704725.0
9.0	7011108.0
10.0	7791850.0
11.0	6630237.0
12.0	7189649.0
13.0	6340619.0
14.0	6756067.0
15.0	6135220.0
16.0	6423711.0
17.0	5970532.0
18.0	6176173.0
19.0	5816926.0
20.0	5958317.0
21.0	5650416.0
22.0	5777417.0
23.0	5519848.0
24.0	5606092.0
25.0	5391759.0
26.0	5447987.0
27.0	5267911.0
28.0	5285496.0
29.0	5127480.0
30.0	5142061.0
31.0	4993347.0
32.0	4993073.0
33.0	4858406.0
34.0	4860808.0
35.0	4733588.0
36.0	4713188.0
37.0	4605900.0
38.0	4565732.0
39.0	4459008.0
40.0	4433913.0
41.0	4330530.0
42.0	4275966.0
43.0	4183358.0
44.0	4136031.0
45.0	4042131.0
46.0	4000452.0
47.0	3907450.0
48.0	3859840.0
49.0	3774025.0
50.0	3728745.0
51.0	3640722.0
52.0	3584944.0
53.0	3503078.0
54.0	3450068.0
55.0	3373762.0
56.0	3317689.0
57.0	3231108.0
58.0	3177237.0
59.0	3103813.0
60.0	3047050.0
61.0	2975431.0
62.0	2922254.0
63.0	2847083.0
64.0	2793058.0
65.0	2730888.0
66.0	2678592.0
67.0	2602561.0
68.0	2554191.0
69.0	2490018.0
70.0	2442009.0
71.0	2381470.0
72.0	2324939.0
73.0	2267866.0
74.0	2211318.0
75.0	2155602.0
76.0	2110028.0
77.0	2058135.0
78.0	2011130.0
79.0	1957313.0
80.0	1914208.0
81.0	1860223.0
82.0	1818333.0
83.0	1767899.0
84.0	1720439.0
85.0	1678313.0
86.0	1638165.0
87.0	1590657.0
88.0	1554338.0
89.0	1512401.0
90.0	1474688.0
91.0	1431472.0
92.0	1393002.0
93.0	1356877.0
94.0	1318212.0
95.0	1283358.0
96.0	1248462.0
97.0	1212576.0
98.0	1175914.0
99.0	1145450.0
100.0	1111233.0
101.0	1079106.0
102.0	1047354.0
103.0	1018133.0
104.0	994994.0
105.0	964092.0
106.0	937767.0
107.0	911811.0
108.0	884502.0
109.0	859152.0
110.0	833253.0
111.0	808659.0
112.0	784222.0
113.0	760876.0
114.0	739425.0
115.0	715060.0
116.0	696678.0
117.0	675236.0
118.0	655729.0
119.0	636524.0
120.0	620169.0
121.0	602378.0
122.0	584687.0
123.0	563976.0
124.0	548957.0
125.0	531552.0
126.0	516696.0
127.0	500305.0
128.0	485874.0
129.0	471352.0
130.0	457633.0
131.0	443400.0
132.0	429257.0
133.0	417866.0
134.0	404087.0
135.0	393641.0
136.0	380604.0
137.0	367930.0
138.0	359201.0
139.0	348084.0
140.0	337205.0
141.0	325838.0
142.0	315516.0
143.0	307401.0
144.0	298287.0
145.0	289793.0
146.0	280139.0
147.0	272093.0
148.0	262537.0
149.0	256904.0
150.0	248210.0
151.0	242344.0
152.0	233761.0
153.0	228295.0
154.0	221168.0
155.0	214573.0
156.0	207616.0
157.0	202706.0
158.0	195963.0
159.0	189428.0
160.0	184138.0
161.0	179570.0
162.0	173274.0
163.0	168450.0
164.0	162326.0
165.0	158490.0
166.0	154643.0
167.0	150471.0
168.0	146711.0
169.0	142036.0
170.0	137293.0
171.0	133898.0
172.0	130271.0
173.0	126487.0
174.0	122961.0
175.0	120091.0
176.0	115854.0
177.0	113299.0
178.0	109599.0
179.0	106295.0
180.0	103865.0
181.0	100487.0
182.0	99222.0
183.0	95279.0
184.0	93628.0
185.0	90254.0
186.0	87902.0
187.0	85705.0
188.0	83013.0
189.0	80952.0
190.0	78373.0
191.0	76597.0
192.0	75110.0
193.0	72909.0
194.0	71515.0
195.0	69721.0
196.0	67477.0
197.0	65956.0
198.0	63919.0
199.0	63043.0
200.0	61293.0
201.0	61084.0
202.0	58608.0
203.0	56617.0
204.0	54809.0
205.0	54702.0
206.0	52476.0
207.0	51497.0
208.0	50137.0
209.0	49127.0
210.0	47323.0
211.0	46529.0
212.0	45554.0
213.0	44563.0
214.0	43476.0
215.0	42482.0
216.0	41312.0
217.0	39645.0
218.0	39035.0
219.0	38296.0
220.0	37369.0
221.0	36394.0
222.0	35399.0
223.0	34914.0
224.0	34240.0
225.0	33298.0
226.0	33111.0
227.0	32010.0
228.0	31612.0
229.0	30896.0
230.0	30079.0
231.0	29552.0
232.0	29075.0
233.0	28108.0
234.0	27805.0
235.0	26957.0
236.0	26591.0
237.0	26080.0
238.0	25741.0
239.0	25036.0
240.0	24462.0
241.0	24195.0
242.0	23351.0
243.0	23261.0
244.0	22686.0
245.0	22573.0
246.0	22104.0
247.0	21714.0
248.0	21044.0
249.0	20344.0
250.0	19968.0
251.0	19867.0
252.0	19398.0
253.0	18970.0
254.0	18537.0
255.0	18201.0
256.0	18021.0
257.0	17877.0
258.0	17378.0
259.0	16699.0
260.0	16658.0
261.0	16093.0
262.0	16004.0
263.0	15659.0
264.0	15303.0
265.0	15334.0
266.0	14837.0
267.0	14434.0
268.0	14490.0
269.0	14131.0
270.0	14072.0
271.0	13888.0
272.0	13275.0
273.0	13111.0
274.0	12837.0
275.0	12897.0
276.0	12719.0
277.0	12466.0
278.0	12397.0
279.0	12124.0
280.0	11816.0
281.0	11538.0
282.0	11392.0
283.0	11040.0
284.0	10847.0
285.0	10710.0
286.0	10436.0
287.0	10112.0
288.0	10411.0
289.0	10184.0
290.0	9970.0
291.0	9985.0
292.0	9675.0
293.0	9517.0
294.0	9444.0
295.0	9403.0
296.0	9099.0
297.0	8902.0
298.0	8792.0
299.0	8821.0
300.0	8477.0
301.0	8240.0
302.0	8463.0
303.0	8179.0
304.0	8077.0
305.0	7839.0
306.0	7913.0
307.0	7638.0
308.0	7734.0
309.0	7487.0
310.0	7333.0
311.0	7246.0
312.0	7051.0
313.0	7078.0
314.0	6855.0
315.0	6868.0
316.0	6767.0
317.0	6633.0
318.0	6538.0
319.0	6316.0
320.0	6351.0
321.0	5949.0
322.0	6157.0
323.0	5921.0
324.0	5987.0
325.0	5893.0
326.0	5758.0
327.0	5922.0
328.0	5545.0
329.0	5497.0
330.0	5435.0
331.0	5573.0
332.0	5415.0
333.0	5333.0
334.0	5180.0
335.0	4977.0
336.0	5078.0
337.0	5021.0
338.0	4739.0
339.0	4788.0
340.0	4745.0
341.0	4368.0
342.0	4563.0
343.0	4371.0
344.0	4430.0
345.0	4285.0
346.0	4269.0
347.0	4260.0
348.0	4260.0
349.0	4240.0
350.0	4071.0
351.0	4041.0
352.0	4109.0
353.0	3992.0
354.0	3884.0
355.0	3816.0
356.0	3844.0
357.0	3691.0
358.0	3761.0
359.0	3635.0
360.0	3597.0
361.0	3612.0
362.0	3387.0
363.0	3536.0
364.0	3476.0
365.0	3460.0
366.0	3388.0
367.0	3298.0
368.0	3284.0
369.0	3223.0
370.0	3197.0
371.0	3112.0
372.0	3142.0
373.0	2922.0
374.0	2963.0
375.0	2934.0
376.0	2929.0
377.0	2850.0
378.0	2759.0
379.0	2777.0
380.0	2965.0
381.0	2875.0
382.0	2699.0
383.0	2680.0
384.0	2715.0
385.0	2697.0
386.0	2649.0
387.0	2638.0
388.0	2503.0
389.0	2485.0
390.0	2439.0
391.0	2442.0
392.0	2394.0
393.0	2325.0
394.0	2286.0
395.0	2455.0
396.0	2471.0
397.0	2417.0
398.0	2363.0
399.0	2309.0
400.0	2291.0
401.0	2296.0
402.0	2291.0
403.0	2315.0
404.0	2276.0
405.0	2169.0
406.0	2101.0
407.0	2160.0
408.0	2073.0
409.0	2111.0
410.0	2027.0
411.0	1930.0
412.0	2000.0
413.0	1973.0
414.0	1969.0
415.0	1918.0
416.0	1942.0
417.0	1884.0
418.0	1795.0
419.0	1852.0
420.0	1834.0
421.0	1895.0
422.0	1829.0
423.0	1778.0
424.0	1730.0
425.0	1809.0
426.0	1676.0
427.0	1713.0
428.0	1657.0
429.0	1668.0
430.0	1722.0
431.0	1614.0
432.0	1545.0
433.0	1612.0
434.0	1533.0
435.0	1534.0
436.0	1525.0
437.0	1497.0
438.0	1453.0
439.0	1487.0
440.0	1496.0
441.0	1375.0
442.0	1385.0
443.0	1360.0
444.0	1400.0
445.0	1377.0
446.0	1368.0
447.0	1290.0
448.0	1387.0
449.0	1279.0
450.0	1233.0
451.0	1309.0
452.0	1235.0
453.0	1265.0
454.0	1284.0
455.0	1245.0
456.0	1232.0
457.0	1290.0
458.0	1269.0
459.0	1172.0
460.0	1186.0
461.0	1180.0
462.0	1111.0
463.0	1192.0
464.0	1167.0
465.0	1142.0
466.0	1123.0
467.0	1090.0
468.0	1059.0
469.0	1086.0
470.0	1083.0
471.0	1013.0
472.0	1021.0
473.0	1052.0
474.0	1011.0
475.0	1026.0
476.0	1042.0
477.0	1004.0
478.0	963.0
479.0	949.0
480.0	1027.0
481.0	910.0
482.0	977.0
483.0	935.0
484.0	926.0
485.0	934.0
486.0	843.0
487.0	929.0
488.0	954.0
489.0	870.0
490.0	880.0
491.0	865.0
492.0	833.0
493.0	791.0
494.0	832.0
495.0	825.0
496.0	864.0
497.0	806.0
498.0	876.0
499.0	836.0
500.0	835.0
501.0	800.0
502.0	818.0
503.0	835.0
504.0	758.0
505.0	791.0
506.0	788.0
507.0	863.0
508.0	815.0
509.0	790.0
510.0	736.0
511.0	726.0
512.0	745.0
513.0	693.0
514.0	760.0
515.0	724.0
516.0	799.0
517.0	709.0
518.0	736.0
519.0	729.0
520.0	755.0
521.0	715.0
522.0	733.0
523.0	768.0
524.0	678.0
525.0	707.0
526.0	701.0
527.0	670.0
528.0	755.0
529.0	668.0
530.0	696.0
531.0	647.0
532.0	660.0
533.0	708.0
534.0	655.0
535.0	609.0
536.0	622.0
537.0	662.0
538.0	622.0
539.0	647.0
540.0	649.0
541.0	633.0
542.0	630.0
543.0	598.0
544.0	623.0
545.0	606.0
546.0	585.0
547.0	607.0
548.0	552.0
549.0	560.0
550.0	538.0
551.0	578.0
552.0	607.0
553.0	568.0
554.0	506.0
555.0	586.0
556.0	606.0
557.0	532.0
558.0	564.0
559.0	585.0
560.0	537.0
561.0	520.0
562.0	503.0
563.0	544.0
564.0	573.0
565.0	544.0
566.0	578.0
567.0	574.0
568.0	505.0
569.0	536.0
570.0	540.0
571.0	526.0
572.0	509.0
573.0	526.0
574.0	536.0
575.0	526.0
576.0	518.0
577.0	498.0
578.0	510.0
579.0	486.0
580.0	481.0
581.0	458.0
582.0	467.0
583.0	460.0
584.0	468.0
585.0	445.0
586.0	464.0
587.0	469.0
588.0	477.0
589.0	438.0
590.0	480.0
591.0	477.0
592.0	435.0
593.0	459.0
594.0	433.0
595.0	429.0
596.0	424.0
597.0	434.0
598.0	400.0
599.0	392.0
600.0	370.0
601.0	417.0
602.0	428.0
603.0	398.0
604.0	419.0
605.0	398.0
606.0	396.0
607.0	407.0
608.0	417.0
609.0	393.0
610.0	383.0
611.0	377.0
612.0	365.0
613.0	389.0
614.0	400.0
615.0	407.0
616.0	417.0
617.0	368.0
618.0	374.0
619.0	366.0
620.0	376.0
621.0	335.0
622.0	343.0
623.0	345.0
624.0	331.0
625.0	364.0
626.0	325.0
627.0	331.0
628.0	357.0
629.0	334.0
630.0	317.0
631.0	310.0
632.0	295.0
633.0	307.0
634.0	275.0
635.0	311.0
636.0	301.0
637.0	296.0
638.0	290.0
639.0	315.0
640.0	323.0
641.0	298.0
642.0	325.0
643.0	295.0
644.0	321.0
645.0	307.0
646.0	334.0
647.0	287.0
648.0	333.0
649.0	291.0
650.0	308.0
651.0	297.0
652.0	286.0
653.0	296.0
654.0	264.0
655.0	251.0
656.0	267.0
657.0	227.0
658.0	273.0
659.0	230.0
660.0	249.0
661.0	312.0
662.0	256.0
663.0	269.0
664.0	217.0
665.0	236.0
666.0	243.0
667.0	248.0
668.0	265.0
669.0	235.0
670.0	272.0
671.0	219.0
672.0	243.0
673.0	219.0
674.0	220.0
675.0	244.0
676.0	223.0
677.0	207.0
678.0	240.0
679.0	218.0
680.0	230.0
681.0	226.0
682.0	217.0
683.0	217.0
684.0	234.0
685.0	242.0
686.0	241.0
687.0	247.0
688.0	228.0
689.0	225.0
690.0	217.0
691.0	228.0
692.0	224.0
693.0	239.0
694.0	238.0
695.0	221.0
696.0	242.0
697.0	232.0
698.0	195.0
699.0	206.0
700.0	212.0
701.0	231.0
702.0	190.0
703.0	204.0
704.0	224.0
705.0	191.0
706.0	195.0
707.0	225.0
708.0	190.0
709.0	214.0
710.0	194.0
711.0	198.0
712.0	217.0
713.0	206.0
714.0	185.0
715.0	180.0
716.0	195.0
717.0	200.0
718.0	191.0
719.0	182.0
720.0	194.0
721.0	177.0
722.0	195.0
723.0	194.0
724.0	192.0
725.0	170.0
726.0	194.0
727.0	189.0
728.0	209.0
729.0	208.0
730.0	199.0
731.0	199.0
732.0	178.0
733.0	216.0
734.0	184.0
735.0	194.0
736.0	180.0
737.0	201.0
738.0	185.0
739.0	183.0
740.0	178.0
741.0	171.0
742.0	182.0
743.0	199.0
744.0	178.0
745.0	178.0
746.0	170.0
747.0	202.0
748.0	183.0
749.0	179.0
750.0	179.0
751.0	158.0
752.0	168.0
753.0	173.0
754.0	181.0
755.0	167.0
756.0	194.0
757.0	184.0
758.0	164.0
759.0	182.0
760.0	162.0
761.0	168.0
762.0	174.0
763.0	179.0
764.0	170.0
765.0	141.0
766.0	172.0
767.0	173.0
768.0	161.0
769.0	161.0
770.0	162.0
771.0	155.0
772.0	143.0
773.0	156.0
774.0	172.0
775.0	162.0
776.0	184.0
777.0	165.0
778.0	155.0
779.0	163.0
780.0	175.0
781.0	155.0
782.0	143.0
783.0	143.0
784.0	153.0
785.0	151.0
786.0	156.0
787.0	164.0
788.0	147.0
789.0	127.0
790.0	148.0
791.0	152.0
792.0	141.0
793.0	153.0
794.0	161.0
795.0	160.0
796.0	164.0
797.0	153.0
798.0	142.0
799.0	134.0
800.0	132.0
801.0	162.0
802.0	164.0
803.0	130.0
804.0	156.0
805.0	155.0
806.0	144.0
807.0	156.0
808.0	148.0
809.0	146.0
810.0	136.0
811.0	156.0
812.0	175.0
813.0	145.0
814.0	141.0
815.0	130.0
816.0	149.0
817.0	155.0
818.0	160.0
819.0	146.0
820.0	148.0
821.0	135.0
822.0	120.0
823.0	119.0
824.0	137.0
825.0	150.0
826.0	120.0
827.0	132.0
828.0	130.0
829.0	129.0
830.0	110.0
831.0	134.0
832.0	128.0
833.0	139.0
834.0	112.0
835.0	138.0
836.0	136.0
837.0	146.0
838.0	136.0
839.0	131.0
840.0	150.0
841.0	143.0
842.0	130.0
843.0	120.0
844.0	119.0
845.0	110.0
846.0	139.0
847.0	115.0
848.0	110.0
849.0	131.0
850.0	115.0
851.0	121.0
852.0	130.0
853.0	124.0
854.0	123.0
855.0	111.0
856.0	119.0
857.0	137.0
858.0	128.0
859.0	121.0
860.0	119.0
861.0	137.0
862.0	124.0
863.0	136.0
864.0	115.0
865.0	127.0
866.0	129.0
867.0	127.0
868.0	144.0
869.0	146.0
870.0	136.0
871.0	120.0
872.0	117.0
873.0	130.0
874.0	113.0
875.0	124.0
876.0	103.0
877.0	123.0
878.0	112.0
879.0	116.0
880.0	87.0
881.0	100.0
882.0	121.0
883.0	111.0
884.0	103.0
885.0	102.0
886.0	113.0
887.0	126.0
888.0	134.0
889.0	132.0
890.0	103.0
891.0	127.0
892.0	108.0
893.0	122.0
894.0	115.0
895.0	117.0
896.0	107.0
897.0	111.0
898.0	113.0
899.0	105.0
900.0	92.0
901.0	108.0
902.0	116.0
903.0	111.0
904.0	114.0
905.0	99.0
906.0	106.0
907.0	90.0
908.0	101.0
909.0	105.0
910.0	90.0
911.0	83.0
912.0	103.0
913.0	82.0
914.0	80.0
915.0	92.0
916.0	81.0
917.0	116.0
918.0	99.0
919.0	94.0
920.0	90.0
