#Mapping quality	mapping quality
0.0	8392365.0
1.0	1.1794031E7
2.0	4.4209279E7
3.0	3.0653522E7
4.0	3.8887576E7
5.0	2.5214877E7
6.0	2.4010915E7
7.0	1.219449E7
8.0	1.0972441E7
9.0	9659309.0
10.0	9025198.0
11.0	8578240.0
12.0	8224396.0
13.0	7660915.0
14.0	7463234.0
15.0	7242073.0
16.0	7125876.0
17.0	7006730.0
18.0	7108496.0
19.0	7089514.0
20.0	7325367.0
21.0	7711014.0
22.0	8024692.0
23.0	8667767.0
24.0	9254334.0
25.0	9704259.0
26.0	1.0563207E7
27.0	1.1303231E7
28.0	1.21538E7
29.0	1.2659015E7
30.0	1.2959821E7
31.0	1.2490403E7
32.0	1.1515486E7
33.0	9742445.0
34.0	7670414.0
35.0	5410654.0
36.0	3494393.0
37.0	2028808.0
38.0	1122200.0
39.0	560064.0
40.0	416610.0
41.0	317930.0
42.0	510701.0
