"","Species","Protein_of_interest_simplified","avg_rpm","std_rpm","n"
"1","Peve","ACAT1",1503.25312788165,367.135190753689,1
"2","Peve","ACAT2",150.877048295843,154.124346659194,1
"3","Peve","ADAR",480.17421771353,380.486688579486,1
"4","Peve","ADARB",1430.33210431196,238.343187973448,1
"5","Peve","AGO",11010.0901260861,5060.50410737214,1
"6","Peve","AGO2",1870.16175531144,945.116676305681,2
"7","Peve","AGO3",3930.80330251287,865.005425880482,1
"8","Peve","ALG13",57.0393496604966,24.9779947791423,1
"9","Peve","ALKBH1",209.407304818519,71.9587699961461,1
"10","Peve","ALKBH5",826.212599667337,313.279288408373,1
"11","Peve","ALYREF",2273.50266848678,792.562266738822,1
"12","Peve","APBB1",6690.12087886396,972.718679592185,1
"13","Peve","ARH1-ADPRH",731.528504514369,418.167412929285,1
"14","Peve","ARH3-ADPRS",336.25030073952,510.980584698386,1
"15","Peve","ARID1",2294.42520072954,552.720868262746,1
"16","Peve","ATAT1",669.977640099997,316.723505390399,1
"17","Peve","ATF2",2609.99954121887,847.572432332747,1
"18","Peve","ATM",649.616927282148,231.285906847278,1
"19","Peve","ATR",224.199094190839,173.448989364722,1
"20","Peve","ATXN3",463.906341693183,226.371685190018,1
"21","Peve","AURK",162.117854287122,217.133557255908,1
"22","Peve","BAP1",200.068928044061,212.920673974377,1
"23","Peve","BAZ2B/MBD6",1529.66965116553,871.595801830474,1
"24","Peve","BRCC3",98.1807429803841,47.8836606042521,1
"25","Peve","BRD4",7609.99248520481,2787.06971168234,1
"26","Peve","BUB1",273.757769181546,204.554516373757,1
"27","Peve","CDK1",306.987550792933,250.390757576997,1
"28","Peve","CDK8",929.897846855758,484.349010513772,1
"29","Peve","CHEK1",62.1003786336522,59.9526993237351,1
"30","Peve","CHUK",1787.99958233094,651.324244400494,1
"31","Peve","COPS5",644.568731704823,346.879237336561,1
"32","Peve","COPS6",598.407002964967,374.464456214671,1
"33","Peve","CSNK2B",1261.84979778866,324.585699666734,1
"34","Peve","CUL4A",2241.07595109937,1027.39209194042,1
"35","Peve","DAPK3",658.972955906172,228.507379322383,1
"36","Peve","DBHS family",2735.66094578386,611.135095353355,1
"37","Peve","DCP2",1221.71263453425,252.387458618686,1
"38","Peve","DDB1",989.621835277205,397.99368685668,1
