sample47	sample48	sample50	sample53	sample57
Cluster_21	4846	2433	1968	1452	1397
Cluster_36	39	44	20	41	33
Cluster_360	142599	101636	141199	84760	52034
Cluster_390	741	614	748	876	353
Cluster_757	2201	960	1596	944	621
Cluster_925	27988	22742	20636	26150	8840
Cluster_1015	4204	2134	3044	1945	676
Cluster_1068	74	26	58	94	15
Cluster_1080	824	527	640	641	337
Cluster_1116	304	154	194	153	185
Cluster_1289	3378	1865	3819	1429	801
Cluster_1296	248945	156868	209079	182357	61608
Cluster_1793	35081	13790	33245	35102	12205
Cluster_1938	16214	5330	16851	13992	5803
Cluster_1952	6856	6404	8991	7179	1556
Cluster_1953	3935	1957	2556	2210	677
Cluster_2793	386	221	181	145	118
Cluster_2837	88	78	38	67	30
Cluster_2839	114	61	86	70	35
Cluster_2859	623	222	332	246	94
Cluster_2973	173	116	67	94	128
Cluster_3392	3300	5861	5875	7113	4517
Cluster_3661	1035	566	242	316	258
Cluster_4039	349	178	288	458	120
Cluster_4040	118	39	47	50	75
Cluster_4118	5137	1747	2060	1396	755
Cluster_4435	5849	3538	4930	3251	2196
Cluster_4437	34143	10918	16938	19245	7410
Cluster_4438	862	884	1222	1678	345
Cluster_4439	4644	2185	4012	3826	1248
Cluster_4572	57035	17058	23353	26449	8855
Cluster_4754	166	113	62	111	78
Cluster_4823	1916	1317	1497	1560	623
Cluster_5253	53	26	35	25	24
Cluster_5612	890	272	964	505	523
Cluster_5740	7328	4106	4902	4077	3558
Cluster_6382	1288	1019	876	749	670
