sample47	sample48	sample50	sample53	sample57
Cluster_92	11.1104771409288	7.30014775135655	2.76960986516534	5.49677245298213	8.35228870035197
Cluster_111	9.22548618396719	5.33516048911241	2.76960986516534	3.23739073736958	6.8717236812949
Cluster_113	10.0102317166082	8.91131748144257	3.27598036701047	3.23739073736958	8.85508304574529
Cluster_115	8.29562942040099	9.39454858262866	3.27598036701047	2.76960986516534	7.82195893983764
Cluster_118	3.55111487647211	2.76960986516534	2.76960986516534	3.23739073736958	9.24751961709885
Cluster_138	7.71601819929264	3.37347410862845	4.07159277273459	8.80797479416618	2.76960986516534
Cluster_189	9.01667867659151	4.85832986275349	12.1473929594274	4.43375599537387	4.30773662792349
Cluster_190	8.95641071978271	5.09150137340164	8.85073441399289	3.23739073736958	3.98225793502725
Cluster_234	9.13541803345492	8.89671112481626	11.1712262301967	10.2997120722116	4.15732123780242
Cluster_236	10.2892985732684	11.6977878388866	3.48214336499698	10.3934546707523	7.42395740322753
Cluster_242	7.16851173334544	11.0218898827721	10.5915664150374	3.7982595580892	9.84997797831934
Cluster_291	6.27208743892286	3.37347410862845	3.27598036701047	10.658456779706	7.45233140232768
Cluster_308	8.87682710769593	3.61759109178108	8.91810939991583	3.42831709933593	3.76903412679845
Cluster_353	9.59162016830458	4.65089860454755	11.5943349477437	10.479284566009	5.3737884557591
Cluster_365	7.94553110610137	11.0193643227936	9.60889155910585	3.69341163850577	11.9023100838778
Cluster_370	4.15956092858744	9.86680870455223	8.44608861122452	3.8919440467416	8.2908354530353
Cluster_410	10.5936493254532	4.57336694425739	7.6630542770402	4.12833329616345	6.45995677089476
Cluster_464	11.6296051564097	10.4085583958856	10.1330227287851	4.71903699345478	10.3844111021656
Cluster_518	4.53966554407753	3.61759109178108	10.094341373711	3.97711467130163	4.86127526167435
Cluster_526	11.2635102496231	4.40166378104245	5.10232892315408	12.7216985030578	4.6685812176888
Cluster_580	4.02178713407603	9.91107966866751	3.76754300958642	3.8919440467416	3.98225793502725
Cluster_598	6.09422156740686	10.0821798919842	10.0290378005923	4.95136843461936	11.0624992826226
Cluster_608	7.27442466932874	10.6099912319757	4.85849996425474	5.02041242568458	4.44051777318956
Cluster_647	8.45872064192781	9.56125250809135	3.63800888927273	3.97711467130163	8.63788328459351
Cluster_652	10.4209986587171	3.61759109178108	3.48214336499698	3.23739073736958	3.4832282342473
Cluster_659	5.95651825406835	9.80362883672143	2.76960986516534	6.26069816679205	8.21841627348375
Cluster_664	2.76960986516534	2.76960986516534	8.42841925420204	2.76960986516534	8.58126761088262
Cluster_682	8.3986067596253	8.57759684045029	2.76960986516534	8.23518817131544	3.98225793502725
Cluster_716	5.1810346698008	7.27773821465269	11.226440347705	5.44864735958028	2.76960986516534
Cluster_721	3.41025958604442	2.76960986516534	9.44462482613901	2.76960986516534	2.76960986516534
Cluster_722	3.41025958604442	8.64906417226106	5.24309722280801	3.23739073736958	8.89175574557855
Cluster_723	2.76960986516534	3.37347410862845	9.84689530727549	2.76960986516534	4.44051777318956
Cluster_777	2.76960986516534	3.37347410862845	9.85617354389604	3.23739073736958	4.44051777318956
Cluster_810	3.55111487647211	10.2263880076539	6.72399260983015	8.94556637505859	5.02889251926381
Cluster_847	11.1189259577695	5.50284022583135	6.47008528365871	3.23739073736958	4.55987597890049
Cluster_858	2.76960986516534	2.76960986516534	4.07159277273459	9.16140819051274	2.76960986516534
Cluster_892	11.0929782528673	13.3647083110687	4.23298478827428	3.7982595580892	4.30773662792349
Cluster_893	5.31503597995656	11.3600078570971	2.76960986516534	3.42831709933593	3.4832282342473
Cluster_908	4.864380999617	5.42156179559986	10.4252074104541	11.0749801979352	4.44051777318956
Cluster_912	8.33282016892259	10.0329463687366	3.48214336499698	3.23739073736958	9.90994123848477
Cluster_930	6.48653915357739	3.37347410862845	2.76960986516534	11.0332709407671	12.995199168083
Cluster_931	9.44227999589797	10.5270813699967	6.98873214200774	2.76960986516534	6.56805102081321
Cluster_964	3.55111487647211	7.82522334020659	3.48214336499698	9.94274651081075	7.64897805891295
Cluster_965	4.96761124564092	10.9652798688334	5.13892978153208	10.9717360797382	10.5864513062588
Cluster_967	9.35762759844238	3.95274006565077	3.27598036701047	2.76960986516534	2.76960986516534
Cluster_977	2.76960986516534	6.48367664717427	8.44959664191675	8.27280174777221	2.76960986516534
Cluster_983	11.6441579033892	4.79287305153996	12.0258082892466	5.93867046073548	7.01196992347473
Cluster_990	9.33031293326912	4.20024805198109	8.06198819847151	2.76960986516534	7.84352912670727
Cluster_1009	8.30189490101467	10.0495449433731	3.63800888927273	3.23739073736958	9.88936595280517
Cluster_1062	3.22446268203723	3.61759109178108	3.76754300958642	11.3051729609366	4.9477670609873
Cluster_1072	8.01202380839652	9.37360679830098	3.27598036701047	3.42831709933593	9.76217377918425
Cluster_1127	3.41025958604442	3.61759109178108	9.07621254611017	2.76960986516534	2.76960986516534
