sample47	sample48	sample50	sample53	sample57
Cluster_1	1606	1328	1544	3021	3331
Cluster_2	24	51	67	52	91
Cluster_3	244	525	433	397	949
Cluster_4	166	167	273	318	333
Cluster_5	6	15	26	65	73
Cluster_6	35	37	33	58	123
Cluster_7	20	7	8	26	11
Cluster_8	3597	1225	4646	2769	2585
Cluster_9	130	92	85	325	92
Cluster_10	20	20	654	2	91
Cluster_11	186	89	94	367	96
Cluster_12	26	42	38	71	19
Cluster_13	72	36	0	1	2
Cluster_14	154	90	14	134	177
Cluster_15	94	205	227	3	7
Cluster_16	40	15	17	34	7
Cluster_17	70	75	25	451	10
Cluster_18	406	512	509	682	822
Cluster_19	131	105	121	167	318
Cluster_20	119	274	128	363	571
Cluster_21	4846	2433	1968	1452	1397
Cluster_22	98	208	233	6	7
Cluster_23	167	175	177	236	200
Cluster_24	121	0	0	1	12
Cluster_25	285	977	258	356	273
Cluster_26	296	432	329	485	314
Cluster_27	143	263	99	351	505
Cluster_28	2	77	131	135	98
Cluster_29	115	58	46	35	20
Cluster_30	105	39	22	91	8
Cluster_31	39	40	2	33	12
Cluster_32	46	53	104	34	0
Cluster_33	959	837	1016	822	753
Cluster_34	572	92	388	391	236
Cluster_35	556	284	289	238	191
Cluster_36	39	44	20	41	33
Cluster_37	20	1	12	50	21
Cluster_38	344	156	283	234	182
Cluster_39	24	60	8	1	1
Cluster_40	346	0	143	191	157
Cluster_41	0	0	0	0	77
Cluster_42	56	39	62	43	67
Cluster_43	1	30	0	35	7
Cluster_44	544	936	556	1820	4112
Cluster_45	985	1732	1453	2996	2353
Cluster_46	14	37	24	60	120
Cluster_47	11	34	14	49	76
Cluster_48	559	900	117	199	789
Cluster_49	290	49	111	267	207
Cluster_50	0	18	35	68	19
Cluster_51	34	139	11	17	11
Cluster_52	44	95	3	8	9
Cluster_53	67	360	6	5	7
Cluster_54	371	454	112	61	114
Cluster_55	7	1	120	8	3
Cluster_56	82	160	124	336	374
Cluster_57	7	28	4	35	66
Cluster_58	431	658	499	2026	688
Cluster_59	0	29	0	31	55
Cluster_60	157	7	341	29	159
Cluster_61	142	31	3	10	6
Cluster_62	12	1	11	78	2
Cluster_63	4118	4859	4216	5818	2491
