sample47	sample48	sample50	sample53	sample57
Cluster_4	166	167	273	318	333
Cluster_72	76	11	25	0	7
Cluster_100	432	151	173	168	97
Cluster_167	0	113	0	0	1
Cluster_280	2	2	35	26	18
Cluster_311	3523	4898	4821	2509	1428
Cluster_406	9	8	7	49	3
Cluster_429	88	96	68	40	34
Cluster_430	158	53	82	41	36
Cluster_741	425	314	566	508	170
Cluster_747	71	1	13	9	0
Cluster_1026	245	86	105	89	35
Cluster_1030	74	90	104	120	56
Cluster_1035	14	0	5	101	0
Cluster_1069	1762	1148	679	463	772
Cluster_1094	146	66	105	104	86
Cluster_1425	91	19	155	85	46
Cluster_1546	8	8	6	50	3
Cluster_1799	50	23	21	3	22
Cluster_1941	26	35	32	37	5
Cluster_1942	174	67	80	102	84
Cluster_1948	61	55	127	138	62
Cluster_1978	176	12	23	10	6
Cluster_2366	150	67	50	51	22
Cluster_2368	65	69	157	248	0
Cluster_2526	329	123	149	95	102
Cluster_2794	4788	3228	2429	5825	2154
Cluster_2864	0	0	244	93	86
Cluster_2918	133	89	86	69	11
Cluster_3257	6	1	0	7	75
Cluster_3331	50	12	10	13	1
Cluster_3390	454	1	226	430	0
Cluster_3391	445	1	235	434	567
Cluster_3416	29	34	46	41	32
Cluster_3500	31	47	14	24	12
Cluster_3544	20	11	20	35	12
Cluster_3559	0	3	0	0	515
Cluster_3585	55	25	33	36	20
Cluster_3939	419	773	135	620	1174
Cluster_3940	139	89	22	42	93
Cluster_3953	6	59	24	0	0
Cluster_3955	1	0	0	397	4
Cluster_3956	11	22	4	364	43
Cluster_3972	1	3	103	7	191
Cluster_3979	0	130	0	0	3
Cluster_4028	110	13	32	26	12
Cluster_4054	12	20	0	104	0
Cluster_4071	87	136	168	121	23
Cluster_4188	64	1	6	2	4
Cluster_4189	69	1	5	1	2
Cluster_4201	244	51	38	202	72
Cluster_4248	85	93	68	33	37
Cluster_4282	260	276	197	190	97
Cluster_4434	77	5	7	93	1
Cluster_4436	5209	2249	2320	1257	1115
Cluster_4440	151	24	100	232	38
Cluster_4554	43	22	1	2	2
Cluster_4703	1479	2112	2009	2621	1191
Cluster_4749	241	96	147	96	51
Cluster_4759	341	181	103	185	107
Cluster_4867	529	193	250	351	200
Cluster_4879	0	0	1	1	496
Cluster_4888	1466	0	0	0	0
Cluster_4890	8	8	5	49	2
Cluster_4893	8	8	5	49	3
Cluster_5142	28	30	32	18	17
Cluster_5184	19	144	162	194	47
Cluster_5211	157	212	231	304	326
Cluster_5217	0	154	0	0	7
Cluster_5254	15	26	0	109	0
Cluster_5387	2	134	31	26	19
Cluster_5399	82	1	30	24	16
Cluster_5475	8	8	5	49	2
Cluster_5480	7860	4277	4182	5905	2842
Cluster_5577	234	119	114	92	28
Cluster_5581	12	14	8	12	28
Cluster_5688	16	12	37	23	15
Cluster_5695	0	0	4	548	0
Cluster_5780	8	9	7	55	5
Cluster_5790	38	45	14	46	11
Cluster_5827	631	498	365	397	344
Cluster_5839	19	29	8	182	1
Cluster_5840	79	12	28	49	7
Cluster_5879	33	12	2	38	19
Cluster_5983	78	54	56	35	22
Cluster_6071	5	29	25	29	0
Cluster_6124	1	0	80	4	9
Cluster_6225	541	220	222	289	151
Cluster_6365	43	0	7	85	0
Cluster_6416	0	498	5	3	1
Cluster_6561	108	98	98	100	37
Cluster_6577	8	61	20	1	0
Cluster_6713	15700	6992	7409	7135	2910
Cluster_6720	1658	2095	221	1393	802
Cluster_6747	24	35	25	25	11
Cluster_6748	30	52	34	71	68
Cluster_7020	2	194	18	40	12
Cluster_7022	3	204	20	39	4
Cluster_7161	7	63	25	0	0
