gene_id,RNA-POR-71,RNA-POR-73,RNA-POR-76,RNA-POR-79,RNA-POR-82
STRG.24381,465,45,347,158,291
STRG.24380,793,134,91,656,337
Peve_00040982,0,0,0,0,0
STRG.15042,2585,618,2726,1129,2266
STRG.8662,18355,7643,1196,8101,17864
STRG.15040,177,35,310,59,96
STRG.15041,25,0,53,21,28
STRG.15046,101,353,379,130,1144
STRG.15047,18,81,57,21,99
STRG.8665,9,0,0,0,0
STRG.15045,5580,1318,2186,2665,8299
STRG.15048,789,335,1720,381,895
STRG.15049,4361,1034,4529,2172,3314
STRG.6544,124,69,251,65,147
STRG.6545,984,346,493,250,1417
STRG.6546,79,0,45,44,25
STRG.6547,718,180,701,197,249
STRG.6540,2057,71,931,1038,77
STRG.6541,619,7,601,216,48
STRG.6542,1021,14,248,281,91
STRG.6543,935,185,1038,411,539
STRG.15622,133,123,520,257,141
Peve_00010395,0,0,0,16,10
STRG.6549,132,0,117,98,0
STRG.17574,83,22,364,120,126
STRG.17575,1238,548,2038,739,1090
STRG.17576,4,0,0,0,0
STRG.17577,342,392,278,54,761
STRG.17570,2546,937,2195,1187,2703
STRG.2431,625,300,618,192,662
STRG.17572,773,424,1277,656,962
STRG.2433,57,276,272,182,76
STRG.17578,468,105,216,607,2403
STRG.17579,1959,301,139,412,2451
Peve_00031422,0,0,0,0,0
Peve_00022157,0,0,0,0,0
Peve_00027303,0,0,16,0,0
Peve_00022153,0,3,0,6,0
Peve_00031428,0,0,0,0,3
Peve_00031429,0,0,0,0,5
STRG.15594,11,3,0,0,6
STRG.15595,1161,742,22,263,1540
STRG.15596,129,74,242,43,62
STRG.15597,24,16,53,4,5
STRG.15590,2167,763,254,957,4511
STRG.15591,2069,1120,3597,1153,2149
STRG.15592,334,133,411,266,158
STRG.15593,111,0,0,0,0
STRG.15598,466,219,1099,376,515
STRG.15599,20,0,85,0,49
STRG.12065,391,60,292,269,517
STRG.12064,286,276,895,650,1220
STRG.12067,63,36,137,7,8
STRG.12066,22,39,98,31,99
STRG.12061,36,11,48,0,0
STRG.12060,93,26,251,18,152
STRG.17688,8356,4322,14218,6868,14739
STRG.17689,19,35,0,0,15
STRG.17686,14,9,32,4,14
STRG.17687,4,13,0,10,36
STRG.17684,95,182,163,45,48
STRG.17685,50,25,132,16,46
STRG.17682,23,0,0,45,13
STRG.17683,23,0,95,11,0
STRG.17680,685,1,207,4,2
STRG.17681,29,0,0,0,59
Peve_00022488,0,0,0,0,0
Peve_00012895,0,0,0,0,0
Peve_00012899,0,0,23,37,44
Peve_00022486,0,0,0,0,0
Peve_00022487,0,0,0,0,0
Peve_00022482,0,0,0,0,0
Peve_00022483,0,0,0,0,0
Peve_00037708,0,0,5,8,3
STRG.2966,87,87,106,64,157
STRG.2967,121,11,317,29,153
STRG.2962,185,224,1472,172,306
STRG.2963,18,60,83,15,161
STRG.1017,27401,11619,39680,18855,40816
STRG.1016,121,48,445,58,89
STRG.1015,182,161,363,160,349
STRG.1014,480,317,453,36,512
STRG.1013,2,8,0,0,0
STRG.1012,144,36,195,42,109
STRG.1011,74,11,87,17,86
STRG.1010,13,0,0,29,20
STRG.18759,20,98,34,21,0
Peve_00017621,0,0,0,0,0
Peve_00017622,0,0,43,0,0
Peve_00017623,0,0,0,0,0
Peve_00017624,0,0,0,0,0
Peve_00017625,0,0,0,0,0
STRG.1019,45,9,4,5,51
Peve_00017627,0,0,0,0,0
STRG.14885,27,0,239,0,0
STRG.14884,28,0,0,0,0
STRG.14887,6,0,42,0,31
STRG.14886,1307,1017,4543,1222,3226
STRG.14881,2,0,0,0,0
STRG.14880,3,0,0,0,14
STRG.14883,133,0,0,24,33
STRG.14882,196,208,413,30,145
STRG.14889,10,0,0,0,0
