#Mapping quality	mapping quality
0.0	1.1526238E7
1.0	9948601.0
2.0	2.5254344E7
3.0	1.4331733E7
4.0	1.8298975E7
5.0	1.5320402E7
6.0	1.8233771E7
7.0	1.2729538E7
8.0	1.2802482E7
9.0	1.2054373E7
10.0	1.1972116E7
11.0	1.1957785E7
12.0	1.1874447E7
13.0	1.1352233E7
14.0	1.1359372E7
15.0	1.1084185E7
16.0	1.1015345E7
17.0	1.0751252E7
18.0	1.0868052E7
19.0	1.0635043E7
20.0	1.0833461E7
21.0	1.1350726E7
22.0	1.1571204E7
23.0	1.2141238E7
24.0	1.2813849E7
25.0	1.2952115E7
26.0	1.3998834E7
27.0	1.4795953E7
28.0	1.5962774E7
29.0	1.6434319E7
30.0	1.6868401E7
31.0	1.5980331E7
32.0	1.4588929E7
33.0	1.2137413E7
34.0	9468975.0
35.0	6673676.0
36.0	4514997.0
37.0	2731877.0
38.0	1670211.0
39.0	920856.0
40.0	844054.0
41.0	678502.0
42.0	1335660.0
