#Duplication rate	Coverage
1.0	2.6708469E7
2.0	3.717625E7
3.0	5420103.0
4.0	6627588.0
5.0	1687601.0
6.0	1975646.0
7.0	745726.0
8.0	830321.0
9.0	404550.0
10.0	427313.0
11.0	245640.0
12.0	246021.0
13.0	157652.0
14.0	153315.0
15.0	105935.0
16.0	101158.0
17.0	73594.0
18.0	69108.0
19.0	52906.0
20.0	48755.0
21.0	38395.0
22.0	35141.0
23.0	28316.0
24.0	25882.0
25.0	21078.0
26.0	19359.0
27.0	16284.0
28.0	14740.0
29.0	12498.0
30.0	11303.0
31.0	9488.0
32.0	8873.0
33.0	7757.0
34.0	7010.0
35.0	6283.0
36.0	5551.0
37.0	4957.0
38.0	4500.0
39.0	4089.0
40.0	3824.0
41.0	3418.0
42.0	3041.0
43.0	2895.0
44.0	2684.0
45.0	2474.0
46.0	2335.0
47.0	2116.0
48.0	1965.0
49.0	1894.0
50.0	48129.0
