Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed_POR-71-TP2_S9_R1_001	23.763416955133494	24.0	106.91775063250867	9.090909090909092	236709796.0
trimmed_POR-71-TP2_S9_R2_001	22.583924587737926	25.0	109.10712067868961	18.181818181818183	236709796.0
trimmed_POR-73-TP2_S7_R1_001	69.68942592113414	22.0	132.12749560099667	18.181818181818183	102561868.0
trimmed_POR-73-TP2_S7_R2_001	65.52827970080358	23.0	132.12265066193999	45.45454545454545	102561868.0
trimmed_POR-76-TP2_S6_R1_001	31.605240007098303	25.0	98.34260947017722	18.181818181818183	173500998.0
trimmed_POR-76-TP2_S6_R2_001	29.255215640080465	27.0	103.76857993635288	27.27272727272727	173500998.0
trimmed_POR-79-TP2_S10_R1_001	27.303427577259114	24.0	110.03706633125284	9.090909090909092	267531009.0
trimmed_POR-79-TP2_S10_R2_001	25.637785413471263	25.0	112.05696328458134	18.181818181818183	267531009.0
trimmed_POR-82-TP2_S8_R1_001	40.914416463395774	25.0	96.01660978477378	18.181818181818183	263184807.0
trimmed_POR-82-TP2_S8_R2_001	36.51235507149706	28.0	102.50731888942207	27.27272727272727	263184807.0
