"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0001947","heart looping",4,1,0,0.0028,"Biological.Process","Cluster_19193"
"2","GO:0003341","cilium movement",22,1,0.02,0.015,"Biological.Process","Cluster_10051"
"3","GO:0004842","ubiquitin-protein transferase activity",35,1,0.02,0.024,"Molecular.Function","Cluster_10051"
"4","GO:0002221","pattern recognition receptor signaling pathway",11,1,0.01,0.0077,"Biological.Process","Cluster_16409"
"5","GO:0004252","serine-type endopeptidase activity",53,1,0.04,0.037,"Molecular.Function","Cluster_16409"
"6","GO:0001933","negative regulation of protein phosphorylation",5,1,0,0.0035,"Biological.Process","Cluster_3250"
"7","GO:0004508","steroid 17-alpha-monooxygenase activity",17,1,0.01,0.006,"Molecular.Function","Cluster_15928"
"8","GO:0004459","L-lactate dehydrogenase activity",1,1,0,0.0011,"Molecular.Function","Cluster_5981"
"9","GO:0006699","bile acid biosynthetic process",4,1,0.01,0.0084,"Biological.Process","Cluster_18728"
"10","GO:0000082","G1/S transition of mitotic cell cycle",105,2,0.22,0.0153,"Biological.Process","Cluster_18728"
"11","GO:0003964","RNA-directed DNA polymerase activity",135,1,0.05,0.047,"Molecular.Function","Cluster_18728"
"12","GO:0005539","glycosaminoglycan binding",5,1,0,0.0035,"Molecular.Function","Cluster_3366"
"13","GO:0005262","calcium channel activity",24,1,0.02,0.017,"Molecular.Function","Cluster_4220"
"14","GO:0003924","GTPase activity",67,1,0.05,0.047,"Molecular.Function","Cluster_4220"
"15","GO:0001640","adenylate cyclase inhibiting G protein-coupled glut...",10,1,0,0.0035,"Molecular.Function","Cluster_14402"
"16","GO:0003712","transcription coregulator activity",11,1,0,0.0039,"Molecular.Function","Cluster_15340"
"17","GO:0001649","osteoblast differentiation",27,1,0.04,0.037,"Biological.Process","Cluster_1862"
"18","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,1,0.04,0.036,"Molecular.Function","Cluster_1862"
"19","GO:0004181","metallocarboxypeptidase activity",10,1,0.01,0.007,"Molecular.Function","Cluster_14768"
"20","GO:0000209","protein polyubiquitination",30,1,0.02,0.021,"Biological.Process","Cluster_3367"
"21","GO:0004126","cytidine deaminase activity",5,1,0,0.0018,"Molecular.Function","Cluster_3367"
"22","GO:0003924","GTPase activity",67,1,0.02,0.024,"Molecular.Function","Cluster_15854"
"23","GO:0000272","polysaccharide catabolic process",11,1,0.01,0.0077,"Biological.Process","Cluster_2463"
"24","GO:0000981","DNA-binding transcription factor activity, RNA poly...",22,1,0.01,0.0077,"Molecular.Function","Cluster_10228"
"25","GO:0004966","galanin receptor activity",12,1,0,0.0042,"Molecular.Function","Cluster_18723"
"26","GO:0016980","creatinase activity",1,1,0,0.00035,"Molecular.Function","Cluster_10419"
"27","GO:0000165","MAPK cascade",36,1,0.03,0.025,"Biological.Process","Cluster_10207"
"28","GO:0001523","retinoid metabolic process",9,1,0.01,0.0063,"Biological.Process","Cluster_2859"
