"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X.1","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","FUN_023956","GO:0001933","negative regulation of protein phosphorylation",5,3,0.4,0.0342,"Biological Processes",1015,288919,"Cluster_3250",0.942012341638402,0.0166158734514718,0.837006715321312,157,-23.35,"2 21","21 42",20,"70.00%","85.00%"
"2","FUN_030184","GO:0006598","polyamine catabolic process",2,2,0.16,0.0064,"Biological Processes",4136,1171402,"Cluster_18728",0.632455837178057,0.252215195407788,0.998649612991003,150,-24.35,"2 21","437 460",21,"66.67%","76.19%"
"3","FUN_030184","GO:0006598","polyamine catabolic process",2,2,0.16,0.0064,"Biological Processes",4137,1171402,"Cluster_18728",0.632455837178057,0.252215195407788,0.998649612991003,152,-25.28,"2 21","458 479",19,"68.42%","68.42%"
"4","FUN_033855","GO:0001933","negative regulation of protein phosphorylation",5,3,0.4,0.0342,"Biological Processes",4506,1273249,"Cluster_5981",0.121544915461508,0.845626094881142,0.998649612991003,146,-20.68,"2 15","255 277",13,"76.92%","76.92%"
"5","FUN_037575","GO:0006598","polyamine catabolic process",2,2,0.16,0.0064,"Biological Processes",1607,461900,"Cluster_14402",0.480133524127939,0.413050671070174,0.998649612991003,177,-21.69,"2 18","127 148",16,"93.75%","93.75%"
"6","FUN_000491","GO:0004126","cytidine deaminase activity",5,2,0.36,0.045,"Molecular Functions",2501,710362,"Cluster_5981",0.70723579044518,0.181573975272526,0.998649612991003,163,-24.64,"2 22","495 523",26,"69.23%","76.92%"
"7","FUN_000494","GO:0004126","cytidine deaminase activity",5,2,0.36,0.045,"Molecular Functions",2499,710276,"Cluster_3366",0.692753893819867,0.194741651282056,0.998649612991003,146,-22.86,"2 15","340 363",13,"69.23%","84.62%"
"8","FUN_006650","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",1721,497968,"Cluster_5981",0.637689189918856,0.247068119991752,0.998649612991003,164,-20.99,"2 21","296 318",19,"73.68%","78.95%"
"9","FUN_007026","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",1547,446293,"Cluster_5981",0.0576326676079006,0.926660451145417,0.998649612991003,160,-20.04,"2 22","818 841",21,"66.67%","80.95%"
"10","FUN_007053","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",4351,1226347,"Cluster_15928",0.720422362935001,0.169816191522682,0.998649612991003,160,-21.93,"2 21","428 447",19,"78.95%","84.21%"
"11","FUN_008116","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",4006,1138374,"Cluster_1862",0.91706870951821,0.0283096136141049,0.91953372332968,173,-23.1,"2 23","749 773",22,"72.73%","86.36%"
"12","FUN_012571","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",3853,1097776,"Cluster_1951",0.333189661863272,0.583755282585291,0.998649612991003,171,-20.54,"2 21","394 416",20,"75.00%","90.00%"
