"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X.1","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","FUN_001288","GO:0009734","auxin-activated signaling pathway",5,3,0.3,0.002,"Biological Processes",3207,900643,"Cluster_5981",-0.608086429167738,0.276551652755605,0.998649612991003,142,-21.98,"2 16","529 552",15,"73.33%","73.33%"
"2","FUN_002100","GO:0000165","MAPK cascade",36,6,2.19,0.0191,"Biological Processes",4360,1228060,"Cluster_15775",-0.421012515267176,0.480236413161864,0.998649612991003,175,-23.35,"2 22","607 628",20,"80.00%","90.00%"
"3","FUN_002469","GO:0016567","protein ubiquitination",37,5,2.26,0.0064,"Biological Processes",110,30571,"Cluster_17791",-0.303325228300241,0.619801088103513,0.998649612991003,168,-20.86,"2 19","415 436",17,"82.35%","94.12%"
"4","FUN_009825","GO:0016567","protein ubiquitination",37,5,2.26,0.0064,"Biological Processes",747,211831,"Cluster_10419",-0.77807718040525,0.121233801265472,0.998649612991003,178,-20.5,"2 20","250 272",19,"89.47%","89.47%"
"5","FUN_010888","GO:0016567","protein ubiquitination",37,5,2.26,0.0064,"Biological Processes",3257,921335,"Cluster_18772",-0.58583611971605,0.299278810519645,0.998649612991003,168,-21.93,"2 22","134 161",25,"72.00%","76.00%"
"6","FUN_014627","GO:0000380","alternative mRNA splicing, via spliceosome",15,3,0.91,0.0202,"Biological Processes",652,184775,"Cluster_16409",-0.296827625591613,0.627692815977404,0.998649612991003,159,-20.25,"2 21","122 144",20,"65.00%","85.00%"
"7","FUN_022516","GO:0000165","MAPK cascade",36,6,2.19,0.0191,"Biological Processes",1422,406998,"Cluster_17776",-0.522700350418487,0.366164768963433,0.998649612991003,147,-28.06,"2 21","608 631",21,"61.90%","71.43%"
"8","FUN_024242","GO:0000165","MAPK cascade",36,6,2.19,0.0191,"Biological Processes",4554,1287511,"Cluster_1951",-0.00345369057769099,0.995602633323187,0.999459085257276,175,-21.55,"2 21","403 425",20,"80.00%","90.00%"
"9","FUN_024260","GO:0000165","MAPK cascade",36,6,2.19,0.0191,"Biological Processes",3320,940973,"Cluster_10207",-0.946398188227218,0.0147767891703283,0.801301622128722,149,-22.38,"2 19","365 386",18,"61.11%","83.33%"
"10","FUN_024306","GO:0000165","MAPK cascade",36,6,2.19,0.0191,"Biological Processes",3712,1055321,"Cluster_10207",-0.701219503505227,0.187012469518504,0.998649612991003,149,-22.38,"2 19","365 386",18,"61.11%","83.33%"
"11","FUN_035357","GO:0016567","protein ubiquitination",37,5,2.26,0.0064,"Biological Processes",1426,409038,"Cluster_2859",-0.589522150098482,0.295481575474157,0.998649612991003,157,-22.13,"2 18","539 561",16,"75.00%","81.25%"
"12","FUN_035358","GO:0016567","protein ubiquitination",37,5,2.26,0.0064,"Biological Processes",1430,409216,"Cluster_15775",-0.583836354798811,0.301344146983615,0.998649612991003,160,-22.22,"2 21","685 705",19,"78.95%","84.21%"
"13","FUN_036155","GO:0000165","MAPK cascade",36,6,2.19,0.0191,"Biological Processes",3681,1044602,"Cluster_15340",-0.395004420311499,0.510468033319831,0.998649612991003,162,-21.63,"2 21","727 747",19,"73.68%","84.21%"
"14","FUN_037937","GO:0016567","protein ubiquitination",37,5,2.26,0.0064,"Biological Processes",4457,1257503,"Cluster_15340",-0.133798001267531,0.830152753004044,0.998649612991003,148,-22.92,"2 17","585 606",15,"66.67%","80.00%"
"15","FUN_038418","GO:0000380","alternative mRNA splicing, via spliceosome",15,3,0.91,0.0202,"Biological Processes",1615,465498,"Cluster_17776",-0.464993919114211,0.430038576517929,0.998649612991003,152,-30.44,"2 21","54 75",19,"68.42%","68.42%"
"16","FUN_038532","GO:0016567","protein ubiquitination",37,5,2.26,0.0064,"Biological Processes",2996,843422,"Cluster_3366",-0.504009171455186,0.386587403752491,0.998649612991003,149,-21.66,"2 23","105 133",26,"57.69%","69.23%"
"17","FUN_038532","GO:0016567","protein ubiquitination",37,5,2.26,0.0064,"Biological Processes",2997,843423,"Cluster_3367",-0.498188647030227,0.393000725419856,0.998649612991003,149,-21.33,"2 23","105 133",26,"57.69%","69.23%"
"18","FUN_040077","GO:0016567","protein ubiquitination",37,5,2.26,0.0064,"Biological Processes",541,154071,"Cluster_10228",-0.118125145226554,0.849948902349099,0.998649612991003,144,-20.15,"2 21","517 539",19,"52.63%","73.68%"
"19","FUN_042067","GO:0009734","auxin-activated signaling pathway",5,3,0.3,0.002,"Biological Processes",3087,866942,"Cluster_4220",-0.102711660277393,0.869453759580132,0.998649612991003,156,-21.46,"2 18","952 977",20,"75.00%","75.00%"
"20","FUN_042086","GO:0009734","auxin-activated signaling pathway",5,3,0.3,0.002,"Biological Processes",4102,1163147,"Cluster_4220",-0.594545190574883,0.290327343045956,0.998649612991003,156,-21.46,"2 18","952 977",20,"75.00%","75.00%"
"21","FUN_012676","GO:0003682","chromatin binding",14,3,0.75,0.035,"Molecular Functions",3713,1055421,"Cluster_1862",-0.197181574908883,0.750577132557033,0.998649612991003,147,-22.25,"2 21","712 744",28,"60.71%","64.29%"
"22","FUN_016163","GO:0003682","chromatin binding",14,3,0.75,0.035,"Molecular Functions",2286,652751,"Cluster_3366",-0.0465895264391092,0.940701839265118,0.998649612991003,166,-20.09,"2 19","629 652",17,"82.35%","82.35%"
"23","FUN_017790","GO:0003682","chromatin binding",14,3,0.75,0.035,"Molecular Functions",1424,408151,"Cluster_5981",-0.394945401702871,0.510537068263653,0.998649612991003,151,-20.33,"2 22","597 618",20,"65.00%","75.00%"
"24","FUN_026023","GO:0003682","chromatin binding",14,3,0.75,0.035,"Molecular Functions",130,41655,"Cluster_1862",-0.188679511817941,0.76119888232579,0.998649612991003,161,-20.19,"2 23","751 777",24,"62.50%","79.17%"
"25","FUN_026803","GO:0003682","chromatin binding",14,3,0.75,0.035,"Molecular Functions",2840,800127,"Cluster_1862",-0.397487062891219,0.507565780808742,0.998649612991003,168,-22.27,"2 23","419 441",21,"76.19%","80.95%"
"26","FUN_029290","GO:0003682","chromatin binding",14,3,0.75,0.035,"Molecular Functions",3251,919917,"Cluster_14768",-0.607672769286504,0.276969858501196,0.998649612991003,155,-20.64,"2 20","858 878",18,"66.67%","77.78%"
