Sample,Score_Min,Alignment_Rate
POC-47-TP2,L0-0.4,mapping efficiency  0.0%
POC-47-TP2,L0-0.6,mapping efficiency  0.0%
POC-47-TP2,L0-0.8,mapping efficiency  0.1%
POC-47-TP2,L0-1.0,mapping efficiency  0.3%
POC-47-TP2,L-1-0.6,mapping efficiency  0.0%
POC-48-TP2,L0-0.4,mapping efficiency  0.0%
POC-48-TP2,L0-0.6,mapping efficiency  0.0%
POC-48-TP2,L0-0.8,mapping efficiency  0.0%
POC-48-TP2,L0-1.0,mapping efficiency  0.1%
POC-48-TP2,L-1-0.6,mapping efficiency  0.0%
POC-50-TP2,L0-0.4,mapping efficiency  0.0%
POC-50-TP2,L0-0.6,mapping efficiency  0.0%
POC-50-TP2,L0-0.8,mapping efficiency  0.1%
POC-50-TP2,L0-1.0,mapping efficiency  0.2%
POC-50-TP2,L-1-0.6,mapping efficiency  0.0%
POC-53-TP2,L0-0.4,mapping efficiency  0.0%
POC-53-TP2,L0-0.6,mapping efficiency  0.0%
POC-53-TP2,L0-0.8,mapping efficiency  0.1%
POC-53-TP2,L0-1.0,mapping efficiency  0.1%
POC-53-TP2,L-1-0.6,mapping efficiency  0.0%
POC-57-TP2,L0-0.4,mapping efficiency  0.0%
POC-57-TP2,L0-0.6,mapping efficiency  0.0%
POC-57-TP2,L0-0.8,mapping efficiency  0.0%
POC-57-TP2,L0-1.0,mapping efficiency  0.1%
POC-57-TP2,L-1-0.6,mapping efficiency  0.0%
