#Mapping quality	mapping quality
0.0	1.0794704E7
1.0	7566783.0
2.0	2.1600983E7
3.0	1.2198616E7
4.0	1.6820999E7
5.0	1.4694856E7
6.0	1.9957943E7
7.0	1.2521833E7
8.0	1.2537019E7
9.0	1.1535302E7
10.0	1.1395943E7
11.0	1.1464968E7
12.0	1.1424043E7
13.0	1.0637487E7
14.0	1.0814032E7
15.0	1.0467857E7
16.0	1.0346876E7
17.0	1.0015064E7
18.0	1.0183584E7
19.0	9621135.0
20.0	9794475.0
21.0	1.0588161E7
22.0	1.0557362E7
23.0	1.0941755E7
24.0	1.1568632E7
25.0	1.1239031E7
26.0	1.2065637E7
27.0	1.2579471E7
28.0	1.380018E7
29.0	1.4173372E7
30.0	1.5255754E7
31.0	1.5010368E7
32.0	1.4978362E7
33.0	1.3653265E7
34.0	1.222225E7
35.0	9929795.0
36.0	8058968.0
37.0	5788093.0
38.0	4233908.0
39.0	2673844.0
40.0	2307223.0
41.0	2769764.0
42.0	4454402.0
