"qseqid" "sseqid" "pident" "length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore"
"1" "transcript::Porites_evermani_scaffold_1:1380412-1417060" "Cluster_29::Porites_evermani_scaffold_1:1404250-1404342(-)" 100 93 0 0 23838 23930 93 1 1.62e-43 168
"2" "transcript::Porites_evermani_scaffold_1:1380748-1417060" "Cluster_29::Porites_evermani_scaffold_1:1404250-1404342(-)" 100 93 0 0 23502 23594 93 1 1.6e-43 168
"3" "transcript::Porites_evermani_scaffold_1128:109236-127279" "Cluster_9983::Porites_evermani_scaffold_1128:125526-125618(-)" 100 93 0 0 16290 16382 93 1 8.08e-44 168
"4" "transcript::Porites_evermani_scaffold_1128:109400-127279" "Cluster_9983::Porites_evermani_scaffold_1128:125526-125618(-)" 100 93 0 0 16126 16218 93 1 8.01e-44 168
"5" "transcript::Porites_evermani_scaffold_1159:3706-16094" "Cluster_10061::Porites_evermani_scaffold_1159:7406-7500(+)" 100 95 0 0 3700 3794 1 95 4.55e-45 172
"6" "transcript::Porites_evermani_scaffold_1159:3706-16094" "Cluster_10060::Porites_evermani_scaffold_1159:6653-6743(+)" 100 91 0 0 2947 3037 1 91 6.75e-43 165
"7" "transcript::Porites_evermani_scaffold_1429:32475-53408" "Cluster_10965::Porites_evermani_scaffold_1429:47235-47326(-)" 100 92 0 0 14760 14851 92 1 3.27e-43 167
"8" "transcript::Porites_evermani_scaffold_1429:46011-48479" "Cluster_10965::Porites_evermani_scaffold_1429:47235-47326(-)" 100 92 0 0 1224 1315 92 1 3.94e-44 167
"9" "transcript::Porites_evermani_scaffold_148:92027-98639" "Cluster_2882::Porites_evermani_scaffold_148:94531-94624(-)" 100 94 0 0 2504 2597 94 1 8.58e-45 170
"10" "transcript::Porites_evermani_scaffold_16:363080-391056" "Cluster_589::Porites_evermani_scaffold_16:383386-383478(-)" 100 93 0 0 20306 20398 93 1 1.24e-43 168
"11" "transcript::Porites_evermani_scaffold_1732:69845-79966" "Cluster_11997::Porites_evermani_scaffold_1732:76482-76574(+)" 100 93 0 0 6637 6729 1 93 4.53e-44 168
