#Insert size (bp)	insert size
20.0	509.0
21.0	847.0
22.0	1806.0
23.0	2958.0
24.0	3807.0
25.0	5492.0
26.0	8137.0
27.0	11354.0
28.0	14897.0
29.0	19341.0
30.0	24377.0
31.0	30242.0
32.0	37118.0
33.0	45038.0
34.0	52865.0
35.0	62564.0
36.0	72458.0
37.0	83016.0
38.0	95126.0
39.0	108085.0
40.0	120871.0
41.0	135511.0
42.0	151410.0
43.0	168767.0
44.0	185981.0
45.0	203299.0
46.0	220718.0
47.0	240600.0
48.0	259840.0
49.0	280028.0
50.0	300271.0
51.0	318807.0
52.0	338398.0
53.0	359298.0
54.0	379154.0
55.0	407289.0
56.0	430937.0
57.0	452020.0
58.0	474598.0
59.0	493913.0
60.0	512437.0
61.0	531798.0
62.0	552632.0
63.0	570019.0
64.0	588464.0
65.0	607921.0
66.0	622269.0
67.0	637129.0
68.0	653624.0
69.0	668398.0
70.0	689538.0
71.0	701262.0
72.0	712742.0
73.0	725060.0
74.0	741422.0
75.0	745902.0
76.0	753860.0
77.0	764844.0
78.0	773236.0
79.0	781472.0
80.0	790853.0
81.0	793259.0
82.0	795912.0
83.0	804933.0
84.0	807624.0
85.0	811710.0
86.0	817999.0
87.0	820091.0
88.0	821053.0
89.0	828032.0
90.0	824447.0
91.0	823231.0
92.0	820127.0
93.0	815046.0
94.0	814347.0
95.0	815669.0
96.0	812081.0
97.0	810768.0
98.0	807715.0
99.0	808433.0
100.0	802083.0
101.0	798189.0
102.0	790029.0
103.0	786419.0
104.0	781194.0
105.0	771653.0
106.0	769069.0
107.0	764916.0
108.0	756947.0
109.0	751801.0
110.0	745896.0
111.0	739516.0
112.0	730519.0
113.0	724740.0
114.0	718008.0
115.0	708210.0
116.0	703726.0
117.0	694372.0
118.0	688322.0
119.0	683084.0
120.0	675333.0
121.0	668701.0
122.0	660355.0
123.0	650827.0
124.0	643878.0
125.0	638700.0
126.0	633281.0
127.0	626025.0
128.0	617519.0
129.0	608807.0
130.0	602065.0
131.0	593576.0
132.0	584458.0
133.0	577580.0
134.0	569106.0
135.0	562344.0
136.0	553816.0
137.0	548156.0
138.0	541056.0
139.0	532413.0
140.0	524525.0
141.0	514836.0
142.0	502914.0
143.0	497252.0
144.0	491484.0
145.0	487458.0
146.0	482966.0
147.0	472726.0
148.0	460914.0
149.0	349204.0
150.0	360701.0
151.0	550976.0
152.0	616452.0
153.0	560633.0
154.0	465052.0
155.0	436064.0
156.0	415325.0
157.0	400675.0
158.0	389170.0
159.0	379443.0
160.0	370003.0
161.0	361457.0
162.0	353587.0
163.0	345823.0
164.0	338129.0
165.0	332730.0
166.0	325043.0
167.0	318659.0
168.0	311145.0
169.0	305876.0
170.0	299670.0
171.0	293172.0
172.0	286965.0
173.0	281469.0
174.0	275413.0
175.0	271114.0
176.0	265295.0
177.0	259436.0
178.0	254664.0
179.0	249516.0
180.0	243720.0
181.0	238865.0
182.0	234062.0
183.0	228767.0
184.0	224021.0
185.0	220903.0
186.0	215939.0
187.0	210839.0
188.0	207026.0
189.0	203815.0
190.0	198291.0
191.0	194192.0
192.0	190379.0
193.0	186100.0
194.0	182536.0
195.0	178772.0
196.0	175103.0
197.0	171829.0
198.0	167589.0
199.0	163784.0
200.0	161374.0
201.0	157225.0
202.0	155247.0
203.0	151626.0
204.0	148206.0
205.0	146306.0
206.0	143247.0
207.0	139397.0
208.0	137289.0
209.0	134083.0
210.0	131613.0
211.0	128292.0
212.0	126585.0
213.0	124015.0
214.0	121307.0
215.0	118145.0
216.0	115875.0
217.0	113516.0
218.0	111145.0
219.0	108881.0
220.0	106600.0
221.0	104998.0
222.0	102299.0
223.0	100425.0
224.0	98788.0
225.0	96611.0
226.0	94409.0
227.0	92696.0
228.0	91204.0
229.0	89126.0
230.0	88168.0
231.0	86172.0
232.0	83530.0
233.0	82303.0
234.0	81017.0
235.0	79534.0
236.0	78059.0
237.0	75960.0
238.0	74741.0
239.0	73457.0
240.0	71936.0
241.0	70549.0
242.0	69282.0
243.0	67832.0
244.0	66973.0
245.0	65815.0
246.0	64155.0
247.0	63344.0
248.0	62155.0
249.0	60545.0
250.0	59887.0
251.0	58511.0
252.0	57623.0
253.0	56379.0
254.0	55885.0
255.0	54616.0
256.0	53708.0
257.0	52742.0
258.0	52038.0
259.0	50656.0
260.0	50128.0
261.0	49580.0
262.0	48163.0
263.0	47646.0
264.0	46897.0
265.0	45619.0
266.0	44986.0
267.0	44356.0
268.0	43805.0
269.0	42590.0
270.0	42047.0
271.0	41047.0
272.0	40085.0
273.0	39437.0
274.0	38694.0
275.0	38440.0
276.0	37248.0
277.0	36948.0
278.0	35714.0
279.0	35148.0
280.0	34742.0
281.0	33608.0
282.0	33460.0
283.0	32754.0
284.0	32003.0
285.0	31201.0
286.0	30552.0
287.0	30317.0
288.0	29496.0
289.0	28863.0
290.0	28347.0
291.0	28139.0
292.0	27262.0
293.0	26480.0
294.0	25992.0
295.0	25441.0
296.0	25067.0
297.0	24662.0
298.0	24230.0
299.0	23387.0
300.0	23224.0
301.0	22574.0
302.0	22192.0
