#Mapping quality	mapping quality
0.0	6729782.0
1.0	8891873.0
2.0	2.9740151E7
3.0	1.865187E7
4.0	2.2038456E7
5.0	1.3487061E7
6.0	1.2935211E7
7.0	6546471.0
8.0	5896019.0
9.0	5114190.0
10.0	4841982.0
11.0	4697812.0
12.0	4642371.0
13.0	4562693.0
14.0	4649330.0
15.0	4748353.0
16.0	4953790.0
17.0	5129425.0
18.0	5513435.0
19.0	5823333.0
20.0	6359427.0
21.0	7018785.0
22.0	7729938.0
23.0	8668385.0
24.0	9664640.0
25.0	1.0536496E7
26.0	1.1691066E7
27.0	1.2619346E7
28.0	1.3349166E7
29.0	1.3477306E7
30.0	1.2999838E7
31.0	1.1584913E7
32.0	9549226.0
33.0	7041836.0
34.0	4679048.0
35.0	2753824.0
36.0	1496409.0
37.0	745678.0
38.0	378052.0
39.0	183068.0
40.0	186265.0
41.0	140052.0
42.0	221160.0
