#Duplication rate	Coverage
1.0	2.3529289E7
2.0	2.3398909E7
3.0	4805035.0
4.0	4834147.0
5.0	1591078.0
6.0	1612083.0
7.0	734624.0
8.0	746444.0
9.0	418253.0
10.0	416125.0
11.0	269856.0
12.0	263942.0
13.0	185678.0
14.0	179642.0
15.0	134883.0
16.0	128397.0
17.0	100978.0
18.0	95559.0
19.0	77936.0
20.0	72513.0
21.0	60994.0
22.0	56842.0
23.0	48606.0
24.0	44860.0
25.0	38862.0
26.0	36487.0
27.0	31596.0
28.0	29110.0
29.0	25901.0
30.0	23753.0
31.0	20932.0
32.0	19454.0
33.0	17291.0
34.0	16185.0
35.0	14451.0
36.0	13037.0
37.0	11790.0
38.0	11061.0
39.0	9877.0
40.0	8921.0
41.0	8235.0
42.0	7362.0
43.0	6723.0
44.0	6311.0
45.0	5716.0
46.0	5148.0
47.0	4702.0
48.0	4492.0
49.0	4013.0
50.0	46677.0
