#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	3.408428644765435E-7
4.0	3.895347022589069E-7
5.0	1.7529061601650809E-6
6.0	2.8241265913770747E-6
7.0	3.311044969200709E-6
8.0	1.0809587987684666E-5
9.0	2.770565569816475E-5
10.0	7.289168116019795E-5
11.0	2.1068958208428622E-4
12.0	6.256414236655868E-4
13.0	0.0017568988908632345
14.0	0.00444712292833881
15.0	0.010248122406216233
16.0	0.020899997531323822
17.0	0.03745307993646494
18.0	0.058905242908240764
19.0	0.0812333720417213
20.0	0.09993171943587778
21.0	0.11047428138516398
22.0	0.11141120972777223
23.0	0.1038490264773067
24.0	0.09022388166169466
25.0	0.08005235151631009
26.0	0.05062899385669689
27.0	0.04224109442111808
28.0	0.030179444516697716
29.0	0.02091913342357229
30.0	0.014214608203805334
31.0	0.009579047863248778
32.0	0.006364607500208279
33.0	0.0042616557182257875
34.0	0.0028666345657610776
35.0	0.0019270768639125947
36.0	0.0013286541775673491
37.0	9.30257560832052E-4
38.0	6.741871859346031E-4
39.0	5.127250518482862E-4
40.0	3.8899909204330094E-4
41.0	2.855289367557787E-4
42.0	2.0562563095492044E-4
43.0	1.4972740118076734E-4
44.0	1.0994616971257648E-4
45.0	8.555155898361243E-5
46.0	6.407845852159018E-5
47.0	5.093166232035208E-5
48.0	4.971436637579299E-5
49.0	3.4765972176607436E-5
50.0	3.476597217660744E-5
51.0	1.752906160165081E-5
52.0	9.056681827519586E-6
53.0	7.498543018483958E-6
54.0	3.944038860371432E-6
55.0	3.846655184806705E-6
56.0	3.944038860371431E-6
57.0	2.0937490246416244E-6
58.0	2.580667402465258E-6
59.0	1.071220431211994E-6
60.0	2.288516375771078E-6
61.0	5.843020533883603E-7
62.0	2.921510266941802E-7
63.0	4.869183778236336E-7
64.0	2.9215102669418013E-7
65.0	1.460755133470901E-7
66.0	2.434591889118168E-7
67.0	2.239824537988714E-6
68.0	1.460755133470901E-7
69.0	4.382265400412702E-7
70.0	9.738367556472672E-8
71.0	1.460755133470901E-7
72.0	5.843020533883603E-7
73.0	1.460755133470901E-7
74.0	1.9476735112945344E-7
75.0	1.0712204312119938E-6
76.0	4.869183778236336E-8
77.0	4.869183778236336E-8
78.0	9.738367556472672E-8
79.0	4.869183778236336E-8
80.0	6.329938911707236E-7
81.0	1.460755133470901E-7
82.0	1.9476735112945344E-7
83.0	9.738367556472672E-8
84.0	3.895347022589068E-7
85.0	1.460755133470901E-7
86.0	2.921510266941802E-7
87.0	0.0
88.0	1.9476735112945344E-7
89.0	1.460755133470901E-7
90.0	1.460755133470901E-7
91.0	9.738367556472672E-8
92.0	1.460755133470901E-7
93.0	2.921510266941802E-7
94.0	4.869183778236336E-8
95.0	1.460755133470901E-7
96.0	0.0
97.0	1.460755133470901E-7
98.0	4.869183778236336E-8
99.0	9.738367556472672E-8
100.0	4.966567453801063E-6
