#Mapping quality	mapping quality
0.0	9157889.0
1.0	1.0424519E7
2.0	4.2542671E7
3.0	2.5673863E7
4.0	3.3986299E7
5.0	2.2791955E7
6.0	2.5327113E7
7.0	1.174689E7
8.0	1.0780724E7
9.0	9397570.0
10.0	8900303.0
11.0	8539271.0
12.0	8303685.0
13.0	7686923.0
14.0	7585416.0
15.0	7326261.0
16.0	7233207.0
17.0	7017460.0
18.0	7145954.0
19.0	6985105.0
20.0	7205871.0
21.0	7732484.0
22.0	7917278.0
23.0	8511417.0
24.0	9066887.0
25.0	9208710.0
26.0	9985665.0
27.0	1.058253E7
28.0	1.1424185E7
29.0	1.1833994E7
30.0	1.230952E7
31.0	1.1992491E7
32.0	1.145761E7
33.0	1.0089152E7
34.0	8417453.0
35.0	6374540.0
36.0	4520575.0
37.0	2844940.0
38.0	1751122.0
39.0	958514.0
40.0	766696.0
41.0	683742.0
42.0	1170569.0
