source,target
peve-mir-novel-41,lncRNA_4542
peve-mir-novel-41,lncRNA_5660
peve-mir-novel-35,lncRNA_7296
peve-mir-novel-35,lncRNA_7297
peve-mir-novel-35,lncRNA_7298
peve-mir-novel-35,lncRNA_8059
peve-mir-novel-35,lncRNA_8060
peve-mir-novel-36,lncRNA_7745
peve-mir-novel-36,lncRNA_9613
peve-mir-novel-39,lncRNA_1481
peve-mir-novel-6,lncRNA_2034
peve-mir-novel-6,lncRNA_3203
peve-mir-novel-6,lncRNA_787
peve-mir-novel-6,lncRNA_8483
peve-mir-novel-6,lncRNA_8551
peve-mir-novel-6,lncRNA_9933
peve-mir-novel-7,lncRNA_4188
peve-mir-novel-7,lncRNA_8084
peve-mir-novel-7,lncRNA_8151
peve-mir-novel-7,lncRNA_9154
peve-mir-novel-9,lncRNA_583
peve-mir-novel-10,lncRNA_5928
peve-mir-novel-11,lncRNA_7296
peve-mir-novel-11,lncRNA_7297
peve-mir-novel-13,lncRNA_2689
peve-mir-novel-2,lncRNA_1257
peve-mir-novel-2,lncRNA_1258
peve-mir-novel-2,lncRNA_4891
peve-mir-novel-2,lncRNA_5387
peve-mir-novel-2,lncRNA_5654
peve-mir-novel-2,lncRNA_7239
peve-mir-novel-2,lncRNA_7359
peve-mir-novel-2,lncRNA_7664
peve-mir-novel-2,lncRNA_8149
peve-mir-novel-2,lncRNA_9182
peve-mir-novel-2,lncRNA_9933
peve-mir-novel-14a; peve-mir-novel-14b,lncRNA_1267
peve-mir-novel-14a; peve-mir-novel-14b,lncRNA_1438
peve-mir-novel-14a; peve-mir-novel-14b,lncRNA_1439
peve-mir-novel-14a; peve-mir-novel-14b,lncRNA_2251
peve-mir-novel-14a; peve-mir-novel-14b,lncRNA_3454
peve-mir-novel-14a; peve-mir-novel-14b,lncRNA_5218
peve-mir-novel-15,lncRNA_10040
peve-mir-novel-3,lncRNA_7510
peve-mir-novel-19,lncRNA_3373
peve-mir-novel-19,lncRNA_3374
peve-mir-novel-20,lncRNA_1578
peve-mir-novel-20,lncRNA_4233
peve-mir-novel-20,lncRNA_4234
peve-mir-novel-20,lncRNA_7664
peve-mir-novel-20,lncRNA_8099
peve-mir-novel-21,lncRNA_644
peve-mir-novel-21,lncRNA_681
peve-mir-novel-21,lncRNA_7046
peve-mir-novel-22,lncRNA_368
peve-mir-novel-24,lncRNA_2215
peve-mir-novel-24,lncRNA_2216
