sample140	sample145	sample150	sample173	sample178
Cluster_1	2	131	2	1	4
Cluster_2	57	48	219	32	193
Cluster_3	36	31	0	36	2
Cluster_4	14	28	3	17	38
Cluster_5	3	234	17	13	46
Cluster_6	914	432	78	247	259
Cluster_7	315	200	78	2	652
Cluster_8	497	1236	757	767	22
Cluster_9	3181	1995	1498	2030	185
Cluster_10	5	60	14	17	18
Cluster_11	0	318	3	62	182
Cluster_12	84	9	0	0	0
Cluster_13	0	3	0	2	285
Cluster_14	174	69	76	0	42
Cluster_15	219	22	135	0	91
Cluster_16	15	14	22	5	44
Cluster_17	2	1	30	85	0
Cluster_18	20	36	32	20	26
Cluster_19	13	35	190	119	1
Cluster_20	2	52	484	71	1
Cluster_21	180	1	3	0	132
Cluster_22	123	187	144	18	98
Cluster_23	13	44	22	373	39
Cluster_24	16	81	599	3	3
Cluster_25	30	152	22	38	29
Cluster_26	4	85	4	0	483
Cluster_27	2	125	1	2	0
Cluster_28	89	3418	18	960	86
Cluster_29	18	0	112	1	10
Cluster_30	100	55	40	6	38
Cluster_31	2	4	551	31	0
Cluster_32	152	375	24	94	116
Cluster_33	12	1	74	6	230
Cluster_34	202	61	13	0	451
Cluster_35	128	0	383	182	14
Cluster_36	92	51	18	0	1
Cluster_37	0	0	0	135	0
Cluster_38	331	33	38	2	56
Cluster_39	49	596	90	24	0
Cluster_40	4	116	0	8	2
Cluster_41	0	3	197	2	0
Cluster_42	137	32	1413	74	79
Cluster_43	97	2	326	537	265
Cluster_44	143	24	102	32	15
Cluster_45	1	68	23	11	54
Cluster_46	356	2	822	3190	2303
Cluster_47	62	69	24	35	1
Cluster_48	273	54	2837	1956	564
Cluster_49	1	48	10	30	83
Cluster_50	64	22	4	258	21
Cluster_51	49	63	107	108	132
Cluster_52	61	117	27	55	1
Cluster_53	2	8	320	1	4
Cluster_54	20	22	48	28	4
Cluster_55	46	20	32	348	81
Cluster_56	0	59	25	23	0
Cluster_57	64	85	24	35	6
Cluster_58	40	50	19	32	16
Cluster_59	178	272	30	65	13
Cluster_60	116	41	22	14	7
Cluster_61	68	1366	88	1022	35
Cluster_62	19	532	10	313	11
Cluster_63	4	90	8	112	0
Cluster_64	12	968	68	403	10
Cluster_65	141	91	22	24	15
Cluster_66	87	96	147	35	14
Cluster_67	62	2	6	163	53
Cluster_68	172	250	145	316	2857
Cluster_69	38	30	53	31	17
Cluster_70	130	85	172	124	65
Cluster_71	3	193	1	2	47
Cluster_72	0	1	2	385	1
Cluster_73	90	22	16	293	5
Cluster_74	97	251	107	756	208
Cluster_75	757	468	600	117	46
Cluster_76	182	59	84	46	31
Cluster_77	793	103	133	69	39
Cluster_78	30	60	260	104	12
Cluster_79	320	219	335	186	108
Cluster_80	143	93	137	69	57
Cluster_81	117	64	153	201	57
Cluster_82	534	1333	545	173	12100
Cluster_83	37	35	37	31	59
Cluster_84	642	446	159	671	299
Cluster_85	1824	1477	314	1968	1035
Cluster_86	222	297	54	264	379
Cluster_87	576	497	41	848	1442
Cluster_88	263	255	21	985	140
Cluster_89	1364	652	5109	2074	371
Cluster_90	171	75	179	103	36
Cluster_91	236	249	425	155	177
Cluster_92	50	25	105	26	6
Cluster_93	38	50	72	26	2
Cluster_94	407	143	353	276	108
Cluster_95	76	144	62	40	24
Cluster_96	286	5218	340	178	189
Cluster_97	1493	886	804	660	1177
Cluster_98	81	126	4844	876	56
Cluster_99	32	36	90	23	17
Cluster_100	29	25	64	24	12
Cluster_101	52	62	106	44	23
Cluster_102	17290	3606	10848	15537	11
Cluster_103	75	87	185	68	90
Cluster_104	285	187	114	27	2
Cluster_105	90	70	42	108	399
Cluster_106	17	36	15	89	6
Cluster_107	132	32	131	123	32
Cluster_108	222	162	221	99	75
Cluster_109	1186	1256	3947	1334	5787
Cluster_110	8	1	10	186	145
Cluster_111	33	70	31	14	35
Cluster_112	32	21	74	52	30
Cluster_113	44	6	96	53	33
Cluster_114	103	141	518	297	114
Cluster_115	51	3167	259	947	2227
Cluster_116	1	4	83	31	85
Cluster_117	13	61	333	1985	153
Cluster_118	1	1	0	0	192
Cluster_119	124	83	184	201	156
Cluster_120	9	40	44	16	45
Cluster_121	9360	1502	145	1409	3287
Cluster_122	686	2783	2306	961	3250
Cluster_123	663	167	1053	20	161
Cluster_124	110	210	91	58	64
Cluster_125	65	53	81	93	49
Cluster_126	107	179	72	66	42
Cluster_127	166	148	23	1	2
Cluster_128	55	26	33	10	5
Cluster_129	493	360	22	207	7
Cluster_130	23	29	16	36	27
Cluster_131	56	486	83	72	20
Cluster_132	30	3	18	61	104
Cluster_133	20	0	0	4	87
Cluster_134	208	4	1	0	10
Cluster_135	5239	6965	1489	608	1791
Cluster_136	14	18	24	114	45
Cluster_137	261	20	1	1	126
Cluster_138	35	105	2	0	133
Cluster_139	51	85	26	44	63
Cluster_140	74	20	0	285	0
Cluster_141	395	12	9	50	6
Cluster_142	164	3	2	3	4
Cluster_143	124	85	3	4	2
Cluster_144	149	0	53	2	43
Cluster_145	130	0	8	6	264
Cluster_146	1145	241	24	22	2267
Cluster_147	268	7	2	7	62
Cluster_148	37	405	29	8	320
Cluster_149	0	0	17	321	0
Cluster_150	1	101	0	0	53
Cluster_151	72	58	107	18	95
Cluster_152	81	30	3319	20	39
Cluster_153	312	92	63	63	55
Cluster_154	47	264	15	298	28
Cluster_155	0	1	5	1	742
Cluster_156	0	26	584	1	22
Cluster_157	26	13	7	69	29
Cluster_158	1875	3008	3532	5513	759
Cluster_159	13	9	10	115	8
Cluster_160	2	339	113	72	6
Cluster_161	0	181	0	20	42
Cluster_162	7	1859	216	1154	966
Cluster_163	3	1782	11	245	346
Cluster_164	15	4	124	162	2
Cluster_165	89	4316	4494	2324	343
Cluster_166	20	16	45	53	16
Cluster_167	42	81	106	18	12
Cluster_168	0	192	2	128	78
Cluster_169	4	71	18	168	1
Cluster_170	218	181	39	278	151
Cluster_171	39	24	45	13	21
Cluster_172	53	36	10	2	270
Cluster_173	4	9	7	4	1480
Cluster_174	0	2	1	3	951
Cluster_175	323	210	679	898	403
Cluster_176	137	39	17	0	0
Cluster_177	21	0	158	12	16
Cluster_178	78	0	5	17	0
Cluster_179	73	739	59	389	13
Cluster_180	51	106	111	46	2
Cluster_181	0	9	0	78	1
Cluster_182	610	84	340	183	39
Cluster_183	0	178	12	0	11
Cluster_184	58	247	921	11	27
Cluster_185	164	401	816	427	918
Cluster_186	45	52	61	29	0
Cluster_187	141	48	62	25	206
Cluster_188	408	433	164	280	213
Cluster_189	29	46	10	26	68
Cluster_190	1	94	3	4	1
Cluster_191	4	17	15	474	5
Cluster_192	20	258	57	31	36
Cluster_193	41	61	15	83	120
Cluster_194	149	733	1	154	0
Cluster_195	8	173	78	14	0
Cluster_196	86	64	42	20	11
Cluster_197	142	0	2	0	0
Cluster_198	0	5	191	0	0
Cluster_199	502	1	2	0	170
Cluster_200	126	195	0	26	197
Cluster_201	177	184	160	160	115
Cluster_202	13	43	57	29	33
Cluster_203	92	72	63	45	17
Cluster_204	382	0	54	8	1
Cluster_205	4	6	3	603	29
Cluster_206	24	4	346	8	6
Cluster_207	923	1073	19	9	0
Cluster_208	5413	4995	887	501	4
Cluster_209	23	99	23	2	14
Cluster_210	204	255	3	1	4
Cluster_211	14	1272	17	22	7
Cluster_212	132	232	185	331	172
Cluster_213	19	64	43	60	89
Cluster_214	232	1	3	6	1
Cluster_215	43	0	0	0	441
Cluster_216	8	96	0	24	1
Cluster_217	34	347	626	135	421
Cluster_218	90	0	12	0	4
Cluster_219	226	2	27	298	0
Cluster_220	9	3	6	1	127
Cluster_221	190	76	66	301	663
Cluster_222	146	34	150	103	441
Cluster_223	14	390	167	194	9
Cluster_224	67	57	32	47	9
Cluster_225	17	45	38	5	13
Cluster_226	1363	813	777	1371	1029
Cluster_227	158	41	9	0	322
Cluster_228	1	56	9	246	152
Cluster_229	0	0	169	0	0
Cluster_230	132	2	4	0	30
Cluster_231	0	587	118	0	0
Cluster_232	309	2	65	358	21
Cluster_233	19	77	84	21	207
Cluster_234	637	332	155	101	52
Cluster_235	1	237	2	0	1
Cluster_236	54	4	39	7	22
Cluster_237	0	1	0	0	175
Cluster_238	38	127	39	3	30
Cluster_239	250	4	264	3	24
Cluster_240	523	159	195	97	6
Cluster_241	8	173	190	57	103
Cluster_242	3	1	33	54	82
Cluster_243	0	0	22	121	0
Cluster_244	0	61	45	70	0
Cluster_245	0	100	0	7	1
Cluster_246	10	30	15	4	26
Cluster_247	25	422	1126	18	14
Cluster_248	3	72	370	138	0
Cluster_249	0	23	0	122	72
Cluster_250	3	113	10	0	0
Cluster_251	10	9	58	5	20
Cluster_252	2	44	5210	3	432
Cluster_253	107	153	82	70	88
Cluster_254	0	78	26	0	3
Cluster_255	112	0	1	0	3
Cluster_256	347	0	0	0	0
Cluster_257	87	5	112	1	24
Cluster_258	6	226	1	0	1
Cluster_259	1	111	215	378	15
Cluster_260	0	105	51	32	19
Cluster_261	1	282	301	226	126
