sample140	sample145	sample150	sample173	sample178
Cluster_1826	1099	2236	2579	3599	3135
Cluster_1832	1060	1886	3843	2550	1864
Cluster_1862	3575	1317	962	817	799
Cluster_1951	2503	2847	2788	3169	2800
Cluster_2463	5271	14671	28809	9634	21691
Cluster_2859	563	895	1066	901	1128
Cluster_3250	115	42	70	70	49
Cluster_3366	378	846	1167	578	1034
Cluster_3367	662	3	2221	1589	1170
Cluster_3437	840	3744	3145	946	1773
Cluster_4220	34	127	115	10	128
Cluster_4254	31	54	93	101	53
Cluster_5012	16324	15645	13138	13633	17231
Cluster_5899	354	541	336	527	298
Cluster_5900	11004	15978	17906	18594	16975
Cluster_5981	3688	1707	1634	2413	2098
Cluster_10051	2080	3259	6306	3834	9317
Cluster_10057	3770	3906	6266	5500	5261
Cluster_10093	2837	4849	6556	5342	5737
Cluster_10207	1884	5902	8611	4372	8704
Cluster_10228	295	587	273	531	157
Cluster_10419	284	405	1060	853	188
Cluster_14402	115	181	128	245	257
Cluster_14768	0	4	1	6	0
Cluster_15316	2911	2130	3534	3738	3015
Cluster_15340	2281	492	381	2099	2291
Cluster_15671	195	227	257	1	157
Cluster_15775	9623	10519	10623	7589	6855
Cluster_15851	60	79	77	66	115
Cluster_15854	46	69	49	24	44
Cluster_15928	196	413	380	208	218
Cluster_16409	506	508	1016	369	455
Cluster_17776	42	33	21	39	14
Cluster_17791	36432	47768	80222	30730	54060
Cluster_18711	7460	14878	10091	12550	5382
Cluster_18723	135	337	272	280	246
Cluster_18728	107301	285246	451758	235723	280177
Cluster_18772	329	476	594	221	210
Cluster_19193	114	76	152	96	141
