sample140	sample145	sample150	sample173	sample178
Cluster_43	1	104	0	14	254
Cluster_45	0	0	45	13	60
Cluster_89	12	17	7	40	5
Cluster_127	16	18	19	28	18
Cluster_1054	42	105	47	13	39
Cluster_1122	78	25	10	11	33
Cluster_1202	17	17	28	18	13
Cluster_1357	24	22	33	19	20
Cluster_1378	16	15	59	9	33
Cluster_1538	69	0	2	29	4
Cluster_1539	67	2	0	15	2
Cluster_1596	71	2	1	28	1
Cluster_1630	71	1	1	29	1
Cluster_1682	67	0	0	16	0
Cluster_1689	66	0	0	15	0
Cluster_1706	6	5	54	64	3
Cluster_1720	70	1	3	30	3
Cluster_1722	69	0	0	29	2
Cluster_1723	67	0	1	17	0
Cluster_1804	72	145	93	96	96
Cluster_1812	81	184	155	127	180
Cluster_1828	0	7	147	59	0
Cluster_1887	17	35	39	40	15
Cluster_2405	2	0	0	0	82
Cluster_2576	84	195	248	248	130
Cluster_2636	0	0	0	0	82
Cluster_2659	5	5	41	41	0
Cluster_2689	0	2	1	1	165
Cluster_3129	19	18	30	15	12
Cluster_3133	39	93	137	0	0
Cluster_3231	24	64	83	47	77
Cluster_3253	1	1	103	0	3
Cluster_3364	1	46	5	6	121
Cluster_3482	0	0	1	0	82
Cluster_4222	47	5	32	17	45
Cluster_4252	5030	9696	9832	8394	6979
Cluster_4306	1	265	0	17	35
Cluster_4800	17	15	29	15	14
Cluster_4890	69	25	11	26	58
Cluster_4947	23	2	21	8	33
Cluster_5017	398	1247	612	205	1600
Cluster_5181	4	5194	6	0	0
Cluster_5266	3	0	1	158	0
Cluster_5488	1835	11	6	4	6
Cluster_5564	0	0	0	0	82
Cluster_5759	17	18	30	15	13
Cluster_5796	20	21	28	14	13
Cluster_5917	0	12	8	81	3
Cluster_5924	2	0	0	1	162
Cluster_5964	3963	3942	7649	6076	5490
Cluster_6039	40	31	25	14	33
Cluster_6070	67	6	58	39	53
Cluster_6448	57	211	314	96	85
Cluster_6534	141	63	127	43	163
Cluster_6546	36	92	131	0	0
Cluster_6561	390	1	174	166	156
Cluster_6678	2	0	0	0	83
Cluster_6679	20	23	34	24	16
Cluster_6712	6	39	37	86	64
Cluster_6926	2	3	2	1	408
Cluster_6943	109	1	2	1	0
Cluster_6959	0	4	93	0	0
Cluster_7250	1835	4726	4032	4055	3901
Cluster_7296	4	34	24	19	22
Cluster_7300	0	2	130	4	1
Cluster_7612	4	6	2	3	85
Cluster_7695	11	24	34	20	580
Cluster_7742	22	24	36	24	17
Cluster_8089	20	132	1	55	25
Cluster_8766	18	39	40	45	12
Cluster_8772	19	19	29	15	13
Cluster_8847	24	21	35	22	17
Cluster_9504	5	113	92	84	121
Cluster_9516	116	0	0	1	2
Cluster_10104	0	30	0	0	129
Cluster_10227	32	68	28	54	6
Cluster_10234	14	26	47	35	59
Cluster_10342	32	14	22	8	21
Cluster_10914	27	4	32	11	21
Cluster_11029	4	30	15	19	56
Cluster_11167	0	1	2	1	81
Cluster_11176	1	0	14	147	2
Cluster_11238	63	57	55	62	86
Cluster_11256	0	101	4	11	5
Cluster_11325	12	2	4	325	5
Cluster_11701	159	89	95	171	110
Cluster_12153	21	21	32	14	13
Cluster_12534	14	12	24	20	37
Cluster_12601	21	32	35	7	88
Cluster_12755	0	0	1	0	84
Cluster_12847	1	0	0	0	81
Cluster_12868	112	246	406	233	0
Cluster_12949	15	19	23	68	171
Cluster_12950	1	0	0	42	400
Cluster_13074	895	924	1198	1715	2632
Cluster_13098	102	94	50	41	48
Cluster_13108	81	84	31	113	15
Cluster_13680	2	13	1	1	83
Cluster_13786	5	52	29	33	23
Cluster_14652	0	0	261	0	0
Cluster_14686	19	20	29	16	14
Cluster_14687	13	36	36	38	9
Cluster_14688	19	21	30	13	13
Cluster_14689	15	38	34	38	10
Cluster_14690	23	19	29	15	13
Cluster_14706	1	4	1	2	2397
Cluster_14791	0	1	3	67	82
Cluster_15004	15	28	35	27	18
Cluster_15010	18	18	27	15	14
Cluster_15275	45	25	40	56	16
Cluster_15283	554	6	1	0	1
Cluster_15645	0	1	0	0	81
Cluster_15734	24	25	87	22	96
Cluster_15787	1	7	4	3	141
Cluster_15816	273	0	262	0	1
Cluster_15885	1	104	2	0	0
Cluster_15919	10	18	81	32	43
Cluster_15934	46	78	46	23	25
Cluster_15936	0	0	1	0	82
Cluster_15967	22	6	54	27	78
Cluster_16162	22	25	33	20	18
Cluster_16405	82	0	0	1	0
Cluster_16410	194	132	269	243	306
Cluster_16428	22	23	32	20	19
Cluster_16556	1	19	18	14	34
Cluster_16641	0	1	138	0	1
Cluster_17022	0	0	0	0	82
Cluster_17028	18	16	29	15	12
Cluster_17794	1	0	0	0	82
Cluster_18737	0	106	286	24	135
Cluster_18745	25	22	23	28	27
Cluster_18749	129	68	253	99	74
Cluster_18826	69	5	64	37	58
Cluster_18889	19	17	28	15	14
Cluster_19309	30	78	33	40	31
Cluster_19412	1	231	349	0	1659
Cluster_19623	9	3225	2746	303	476
Cluster_19806	69	1	2	30	0
Cluster_19895	71	1	2	30	2
Cluster_19945	71	1	0	29	1
Cluster_19954	70	1	1	26	2
Cluster_20719	67	0	0	16	1
