source,target
apul-mir-2028,lncRNA_17237
apul-mir-novel-4,lncRNA_8218
apul-mir-novel-4,lncRNA_8219
apul-mir-novel-4,lncRNA_8220
apul-mir-2022,lncRNA_18690
apul-mir-2022,lncRNA_20424
apul-mir-2022,lncRNA_4550
apul-mir-2022,lncRNA_5021
apul-mir-2022,lncRNA_5022
apul-mir-2022,lncRNA_876
apul-mir-novel-14,lncRNA_29074
apul-mir-novel-22,lncRNA_15900
apul-mir-novel-22,lncRNA_1870
apul-mir-novel-22,lncRNA_30835
apul-mir-novel-19,lncRNA_20913
apul-mir-novel-19,lncRNA_20914
apul-mir-novel-19,lncRNA_20915
apul-mir-novel-19,lncRNA_20916
apul-mir-novel-19,lncRNA_20917
apul-mir-novel-19,lncRNA_20918
apul-mir-novel-19,lncRNA_20919
apul-mir-novel-19,lncRNA_20920
apul-mir-novel-19,lncRNA_20921
apul-mir-novel-19,lncRNA_20922
apul-mir-novel-19,lncRNA_31327
apul-mir-novel-19,lncRNA_31328
apul-mir-novel-19,lncRNA_31329
apul-mir-novel-19,lncRNA_31330
apul-mir-novel-33,lncRNA_23423
apul-mir-novel-12,lncRNA_15951
apul-mir-novel-31,lncRNA_12255
apul-mir-novel-2,lncRNA_18783
apul-mir-novel-27,lncRNA_14623
apul-mir-novel-5,lncRNA_23423
apul-mir-novel-16,lncRNA_26740
apul-mir-novel-16,lncRNA_7555
apul-mir-novel-17,lncRNA_23688
apul-mir-100,lncRNA_11636
apul-mir-100,lncRNA_12472
apul-mir-100,lncRNA_14567
apul-mir-100,lncRNA_16686
apul-mir-100,lncRNA_17280
apul-mir-100,lncRNA_17281
apul-mir-100,lncRNA_17282
apul-mir-100,lncRNA_17315
apul-mir-100,lncRNA_17525
apul-mir-100,lncRNA_19987
apul-mir-100,lncRNA_20062
apul-mir-100,lncRNA_20390
apul-mir-100,lncRNA_20391
apul-mir-100,lncRNA_20394
apul-mir-100,lncRNA_20909
apul-mir-100,lncRNA_20984
apul-mir-100,lncRNA_20997
apul-mir-100,lncRNA_23684
apul-mir-100,lncRNA_24402
apul-mir-100,lncRNA_24403
apul-mir-100,lncRNA_25296
apul-mir-100,lncRNA_25297
apul-mir-100,lncRNA_25377
apul-mir-100,lncRNA_25395
apul-mir-100,lncRNA_25396
apul-mir-100,lncRNA_27405
apul-mir-100,lncRNA_27864
apul-mir-100,lncRNA_28137
apul-mir-100,lncRNA_2987
apul-mir-100,lncRNA_31125
apul-mir-100,lncRNA_31148
apul-mir-100,lncRNA_3974
apul-mir-100,lncRNA_480
apul-mir-100,lncRNA_5151
apul-mir-100,lncRNA_7013
apul-mir-100,lncRNA_7014
apul-mir-9425,lncRNA_17448
apul-mir-9425,lncRNA_17449
apul-mir-novel-28,lncRNA_14532
apul-mir-novel-28,lncRNA_8425
apul-mir-novel-28,lncRNA_9003
apul-mir-novel-29,lncRNA_11476
apul-mir-novel-29,lncRNA_13457
apul-mir-novel-29,lncRNA_13458
apul-mir-novel-29,lncRNA_13459
apul-mir-novel-29,lncRNA_13460
apul-mir-novel-29,lncRNA_1771
apul-mir-novel-29,lncRNA_1772
apul-mir-novel-29,lncRNA_18469
apul-mir-novel-29,lncRNA_19937
apul-mir-novel-29,lncRNA_26032
apul-mir-novel-29,lncRNA_27223
apul-mir-novel-29,lncRNA_350
apul-mir-novel-29,lncRNA_4954
apul-mir-novel-29,lncRNA_5002
apul-mir-novel-29,lncRNA_5103
apul-mir-novel-29,lncRNA_5104
apul-mir-novel-29,lncRNA_5105
apul-mir-novel-29,lncRNA_5106
apul-mir-novel-29,lncRNA_5107
apul-mir-novel-29,lncRNA_5108
apul-mir-novel-29,lncRNA_5109
apul-mir-novel-29,lncRNA_5110
apul-mir-novel-29,lncRNA_5111
apul-mir-novel-10,lncRNA_11558
apul-mir-novel-10,lncRNA_14338
apul-mir-novel-10,lncRNA_17181
apul-mir-novel-10,lncRNA_17290
apul-mir-novel-10,lncRNA_17291
apul-mir-novel-10,lncRNA_1794
apul-mir-novel-10,lncRNA_20941
apul-mir-novel-10,lncRNA_2243
apul-mir-novel-10,lncRNA_2244
apul-mir-novel-10,lncRNA_25436
apul-mir-novel-10,lncRNA_3984
apul-mir-novel-10,lncRNA_5340
apul-mir-novel-10,lncRNA_7838
apul-mir-novel-10,lncRNA_8425
apul-mir-2050,lncRNA_20425
apul-mir-2050,lncRNA_20426
apul-mir-2050,lncRNA_20427
apul-mir-novel-8a; apul-mir-novel-8b,lncRNA_1434
apul-mir-novel-8a; apul-mir-novel-8b,lncRNA_27452
