sample73	sample79	sample82
Cluster_29	2822	3434	3318
Cluster_589	1885	1158	1017
Cluster_796	20505	23687	49156
Cluster_1140	1339	888	834
Cluster_1167	86625	64520	116691
Cluster_2787	1173	887	1284
Cluster_2854	310	3	1
Cluster_2882	3942	2212	1827
Cluster_4079	21421	11403	12095
Cluster_4080	32311	9788	19978
Cluster_4115	7645	6104	7248
Cluster_4629	408	575	407
Cluster_4735	502	230	329
Cluster_5563	699	842	998
Cluster_5882	289	613	451
Cluster_6255	209	144	201
Cluster_6904	1130	944	902
Cluster_6905	506	444	383
Cluster_6906	944	1089	837
Cluster_6914	15633	9920	19066
Cluster_7053	1877	2280	1823
Cluster_7657	885	1578	472
Cluster_7658	888	0	463
Cluster_7855	0	201	152
Cluster_8634	30	78	297
Cluster_8884	23796	11978	23
Cluster_8887	51120	16397	46
Cluster_8888	9154	4506	7472
Cluster_8988	8910	10539	12728
Cluster_9149	191	0	0
Cluster_9983	576	876	1253
Cluster_10060	4398	4046	4239
Cluster_10061	1055	4054	1449
Cluster_10934	218	258	241
Cluster_10965	4987	5874	2363
Cluster_11134	14481	19066	21199
Cluster_11135	46002	55797	106380
Cluster_11997	484	325	299
Cluster_13502	53	319	86
Cluster_14500	73	76	41
Cluster_14999	112	202	295
Cluster_15726	1764	0	0
Cluster_15890	912	525	350
Cluster_16498	615	1097	655
Cluster_16738	368	172	245
