sample73	sample79	sample82
Cluster_1	0	1	60
Cluster_2	0	71	17
Cluster_3	12	12	26
Cluster_4	172	49	30
Cluster_5	119	45	26
Cluster_6	5	35	129
Cluster_7	47006	23225	21669
Cluster_8	26	22	68
Cluster_9	16	6	35
Cluster_10	154	110	336
Cluster_11	475	601	940
Cluster_12	909	769	1032
Cluster_13	898	1152	1269
Cluster_14	16771	18121	36064
Cluster_15	6959	6964	9499
Cluster_16	2814	2482	4080
Cluster_17	4452	3498	8500
Cluster_18	2175	3102	5728
Cluster_19	3	21	20
Cluster_20	14	14	121
Cluster_21	89	214	154
Cluster_22	35	138	177
Cluster_23	30	122	0
Cluster_24	0	0	98
Cluster_25	63	0	0
Cluster_26	1399	1020	2356
Cluster_27	70	23	9
Cluster_28	0	2422	0
Cluster_29	2822	3434	3318
Cluster_30	63	36	186
Cluster_31	71	33	159
Cluster_32	126	45	168
Cluster_33	98	28	202
Cluster_34	35	22	46
Cluster_35	51	25	105
Cluster_36	26	54	157
Cluster_37	28	37	88
Cluster_38	53	2	0
Cluster_39	25	8	6
Cluster_40	1	30	7
Cluster_41	398	387	398
Cluster_42	12	41	123
Cluster_43	65	98	231
Cluster_44	32	0	7
Cluster_45	44	358	158
Cluster_46	51	122	122
Cluster_47	91	173	216
Cluster_48	0	0	79
Cluster_49	55	1	4
Cluster_50	61	102	116
Cluster_51	31	75	55
Cluster_52	73	362	368
Cluster_53	1953	6	1776
Cluster_54	462	306	534
Cluster_55	249	85	1049
Cluster_56	63	21	101
Cluster_57	433	674	965
Cluster_58	217	248	100
Cluster_59	64	1	9
Cluster_60	65	1	6
Cluster_61	135	0	85
Cluster_62	8	1	113
Cluster_63	20	25	6
Cluster_64	0	117	137
Cluster_65	0	254	610
Cluster_66	0	706	815
Cluster_67	50	221	53
Cluster_68	61	105	65
Cluster_69	0	81	0
Cluster_70	1394	857	2384
Cluster_71	0	45	3
Cluster_72	54	0	0
Cluster_73	34	4	0
Cluster_74	566	229	51
Cluster_75	0	4	50
Cluster_76	50	7	5
Cluster_77	81	12	56
Cluster_78	0	51	8
Cluster_79	13	25	26
Cluster_80	39	34	20
Cluster_81	34	4	30
Cluster_82	1792	891	1118
Cluster_83	38	0	0
Cluster_84	1	71	4
