species,miRNA_id,r,p,n_samples,direction
A. pulchra,Cluster_10057,0.174354109413732,0.779135386895546,5,Positive
A. pulchra,Cluster_10093,0.503476042629775,0.387173788305952,5,Positive
A. pulchra,Cluster_10207,0.114280060625583,0.854811447175849,5,Positive
A. pulchra,Cluster_10228,-0.973022423729429,0.0269775762705711,5,Negative
A. pulchra,Cluster_14402,0.22258805749234,0.718950052611096,5,Positive
A. pulchra,Cluster_15316,-0.391786359247967,0.514235020784266,5,Negative
A. pulchra,Cluster_15340,0.418433994233198,0.483216301915074,5,Positive
A. pulchra,Cluster_15775,-0.478539107356347,0.4148323276582,5,Negative
A. pulchra,Cluster_15854,-0.119290677964843,0.848475393119274,5,Negative
A. pulchra,Cluster_16409,-0.475669822647101,0.418043004422097,5,Negative
A. pulchra,Cluster_17776,-0.630097866086592,0.254543620953191,5,Negative
A. pulchra,Cluster_17791,-0.296397573407829,0.628215734087629,5,Negative
A. pulchra,Cluster_1832,-0.424229501866565,0.476524189021643,5,Negative
A. pulchra,Cluster_1862,-0.538717658686552,0.348880218667933,5,Negative
A. pulchra,Cluster_18728,-0.372420867915893,0.537020463032048,5,Negative
A. pulchra,Cluster_18772,-0.100301100584836,0.872507125886768,5,Negative
A. pulchra,Cluster_1951,0.746022906870472,0.147654368499092,5,Positive
A. pulchra,Cluster_2463,-0.0966556966003701,0.87712603446673,5,Negative
A. pulchra,Cluster_2859,-0.092875184104899,0.881917867042877,5,Negative
A. pulchra,Cluster_3437,0.723595884107821,0.167020535602023,5,Positive
A. pulchra,Cluster_4254,-0.661139891374256,0.22436434628496,5,Negative
A. pulchra,Cluster_5012,-0.0515897437704008,0.9343430470504,5,Negative
A. pulchra,Cluster_5899,0.0320716247457579,0.959172140572498,5,Positive
A. pulchra,Cluster_5900,0.752215990509097,0.247784009490903,5,Positive
A. pulchra,Cluster_5981,-0.224757462050301,0.716257863078836,5,Negative
P. evermanni,Cluster_10060,-1,,3,Negative
P. evermanni,Cluster_1167,-0.746615818363496,0.463354735011979,3,Negative
P. evermanni,Cluster_11997,-1,,3,Negative
P. evermanni,Cluster_14999,-1,,3,Negative
P. evermanni,Cluster_2787,1,,3,Positive
P. evermanni,Cluster_4079,1,,3,Positive
P. evermanni,Cluster_4080,1,,3,Positive
P. evermanni,Cluster_4629,1,,3,Positive
P. evermanni,Cluster_5563,1,,3,Positive
P. evermanni,Cluster_5882,1,,3,Positive
P. evermanni,Cluster_6255,-1,,3,Negative
P. evermanni,Cluster_6904,1,,3,Positive
P. evermanni,Cluster_6905,-0.993298810593961,0.0737418264462393,3,Negative
P. evermanni,Cluster_6906,-1,,3,Negative
P. evermanni,Cluster_6914,0.668108335113076,0.534208527145127,3,Positive
P. evermanni,Cluster_8887,1,,3,Positive
P. evermanni,Cluster_8888,-1,,3,Negative
P. evermanni,Cluster_9149,0.980678188043287,0.125348983492547,3,Positive
P. tuahiniensis,Cluster_1015,0.707951148092494,0.180930370757161,5,Positive
P. tuahiniensis,Cluster_1068,-0.345318031460373,0.569228885374029,5,Negative
P. tuahiniensis,Cluster_1080,0.675589727739048,0.210679607286322,5,Positive
P. tuahiniensis,Cluster_1116,-0.353398252613818,0.559589120301361,5,Negative
P. tuahiniensis,Cluster_1296,0.0664785214033541,0.915419304253942,5,Positive
P. tuahiniensis,Cluster_1793,-0.0875323390012748,0.888692848075208,5,Negative
P. tuahiniensis,Cluster_2793,0.512581610999238,0.487418389000762,5,Positive
P. tuahiniensis,Cluster_2837,0.69760616849653,0.30239383150347,5,Positive
P. tuahiniensis,Cluster_2859,0.368944672791236,0.631055327208764,5,Positive
P. tuahiniensis,Cluster_2973,-0.232392891554883,0.70679352841276,5,Negative
P. tuahiniensis,Cluster_36,-0.3194455928901,0.600296692563366,5,Negative
P. tuahiniensis,Cluster_3661,-0.00235398876154797,0.997002811188975,5,Negative
P. tuahiniensis,Cluster_4039,-0.647109456051134,0.2378761800036,5,Negative
P. tuahiniensis,Cluster_4040,-0.761699707558132,0.238300292441868,5,Negative
P. tuahiniensis,Cluster_4823,0.810879537290285,0.0958784438739928,5,Positive
P. tuahiniensis,Cluster_5612,-0.0816445177250562,0.896162575993902,5,Negative
P. tuahiniensis,Cluster_757,-0.171860478594625,0.782262442500797,5,Negative
P. tuahiniensis,Cluster_925,0.00640098694402709,0.991850065952297,5,Positive
