species,miRNA_id,mean_meth,sd_meth,n_samples,mean_rpm,sd_rpm,n_targets_all,n_targets_sig,n_lncrna_targets,Length,Reads,DicerCall,MIRNA,known_miRNAs,given_miRNA_name,known,conserved,log2_rpm
A. pulchra,Cluster_10057,14.13574,17.824190170047,5,4947.54370199846,1457.27744715079,92,5,212,93,24703,22,Y,Adi-Mir-Novel-3_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2028-5p,apul-mir-2028,TRUE,FALSE,12.272788304193
A. pulchra,Cluster_10093,76.39234,32.4443615139518,5,5060.57111642006,1693.17673485836,105,1,208,91,25321,22,Y,,apul-mir-novel-20,FALSE,FALSE,12.3053695529903
A. pulchra,Cluster_10207,1.71059266666667,2.30503685269214,5,5898.42766873781,3247.59065498315,57,4,118,92,29473,21,Y,,apul-mir-novel-4,FALSE,FALSE,12.5263592832849
A. pulchra,Cluster_10228,3.86905,4.49395285300146,4,361.058604112462,184.770559021769,88,6,163,93,1843,23,Y,spi-mir-temp-25_Stylophora_pistillata_Liew_et_al._2014_Considered_bona_fideas_close_match_to_nve-_and_hma-miR-2022.;Adi-Mir-2022_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2022-3p;_nve-miR-2022-3p;_spi-miR-temp-25;ami-nve-F-miR-2022-3p_Acropora_millepora_Praher_et_al._2021_NA;eca-nve-F-miR-2022_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level,apul-mir-2022,TRUE,FALSE,8.50007942581095
A. pulchra,Cluster_14402,63.2022561904762,18.323271537565,5,192.654669608096,98.6403431293309,171,5,326,94,926,22,Y,,apul-mir-novel-22,FALSE,FALSE,7.59734247936314
A. pulchra,Cluster_15316,3.364838,2.57892983651553,5,3083.6811818369,938.717290180495,57,2,113,94,15328,23,Y,Adi-Mir-2025_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2025-3p;_nve-miR-2025-3p;ami-nve-F-miR-2025-3p_Acropora_millepora_Praher_et_al._2021_NA;adi-nve-F-miR-2025_Acropora_digitifera__Praher_et_al._2021_NA,apul-mir-2025,TRUE,TRUE,11.5909056715565
A. pulchra,Cluster_15340,1.9192,2.99112775053156,5,1619.51168388584,1168.17625115576,484,14,623,96,7544,23,Y,,apul-mir-novel-19,FALSE,FALSE,10.6622337071836
A. pulchra,Cluster_15775,5.827985,4.56904357106058,5,8766.86634254103,303.065241457626,141,5,299,93,45209,23,Y,ami-miR-P-novel-3-5p_Acropora_millepora_Praher_et_al._2021_NA,apul-mir-novel-33,TRUE,FALSE,13.0980100906678
A. pulchra,Cluster_15851,0,0,5,80.6820597394571,34.3062502090784,25,0,54,96,397,22,Y,adi-miR-P-novel-4-3p_Acropora_digitifera__Praher_et_al._2021_NA,apul-mir-novel-11,TRUE,FALSE,6.35194734134835
A. pulchra,Cluster_15854,72.7539766666667,8.33284416629793,5,44.7775883754609,12.4687221785217,35,1,62,98,232,23,Y,ami-miR-P-novel-17-3p_Acropora_millepora_Praher_et_al._2021_NA,apul-mir-novel-12,TRUE,FALSE,5.51656955667989
A. pulchra,Cluster_16409,0.511903333333334,0.752451624174089,5,543.552985170813,164.493979660292,283,16,181,96,2854,22,Y,spi-mir-temp-20_Stylophora_pistillata_Liew_et_al._2014_NA;apa-mir-2037_Exaiptasia_pallida_Baumgarten_et_al._2017_miR-2037;_Nve;_Spis;mse-nve-F-miR-2037-3p_Metridium_senile_Praher_et_al._2021_Transcriptome-level;sca-nve-F-miR-2037-3p_Scolanthus_callimorphus_Praher_et_al._2021_Transcriptome-level;ami-nve-F-miR-2037-3p_Acropora_millepora_Praher_et_al._2021_NA;spi-nve-F-miR-2037_Stylophora_pistillata_Praher_et_al._2021_NA;avi-miR-temp-2037_Anemonia_viridis_Urbarova_et_al._2018_NA;eca-nve-F-miR-2037_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level,apul-mir-novel-34,TRUE,FALSE,9.08892862021216
A. pulchra,Cluster_17776,7.07705666666667,1.33212682493906,5,29.3837185886888,12.6952859272778,158,5,298,93,149,22,Y,,apul-mir-novel-7,FALSE,FALSE,4.92522654343557
A. pulchra,Cluster_17791,0.829838928571428,0.829958328819686,5,48374.125958933,15905.7549581901,25,1,68,95,249212,24,Y,Adi-Mir-Novel-1_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-9437;ami-miR-P-novel-1-3p_Acropora_millepora_Praher_et_al._2021_NA;adi-miR-P-novel-1-3p_Acropora_digitifera__Praher_et_al._2021_NA,apul-mir-novel-2,TRUE,FALSE,15.5619777972942
A. pulchra,Cluster_1832,19.2970674242424,16.0148088098664,5,2187.65675547865,883.431458732048,46,1,70,90,11203,N,Y,ami-spi-miR-L-temp-14-5p_Acropora_millepora_Praher_et_al._2021_NA,apul-mir-novel-27,TRUE,FALSE,11.0958300007171
A. pulchra,Cluster_1862,92.22222,10.8297709242624,5,1441.47482503641,1092.0710972924,192,13,350,95,7470,N,Y,Adi-Mir-Novel-2_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2026-5p,apul-mir-novel-5,TRUE,FALSE,10.4943304249456
A. pulchra,Cluster_18728,1.6901453030303,1.32590848463153,5,265106.809679263,104125.741486765,182,19,692,96,1360205,N,Y,Adi-Mir-100_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_mir-100;_spi-miR-temp-1;ami-nve-F-miR-100-5p_Acropora_millepora_Praher_et_al._2021_NA;adi-nve-F-miR-100_Acropora_digitifera__Praher_et_al._2021_NA,apul-mir-100,TRUE,TRUE,18.0162196449045
