species,feature_type,expr_metric,r,p,n
Apul,miRNA_precursor,magnitude,-0.0517474941045712,0.797691406619763,27
Apul,miRNA_precursor,variability,0.0718506347989039,0.72173467735992,27
Apul,miRNA_mature,magnitude,-0.369272323389196,0.328050169393644,9
Apul,miRNA_mature,variability,0.177478973424844,0.647799298091607,9
Peve,miRNA_precursor,magnitude,-0.263865594408646,0.275021624022834,19
Peve,miRNA_precursor,variability,0.210207995669391,0.387708111189773,19
Peve,miRNA_mature,magnitude,0.685654706007431,0.201290938932708,5
Peve,miRNA_mature,variability,-0.753174093502549,0.14162778648411,5
Ptuh,miRNA_precursor,magnitude,-0.0449049395997241,0.855159712240489,19
Ptuh,miRNA_precursor,variability,0.124959098440903,0.610253598925783,19
Ptuh,miRNA_mature,magnitude,0.199657070225127,0.635472667279211,8
Ptuh,miRNA_mature,variability,-0.000524461238131673,0.999016635358826,8
