species,feature_type,expr_metric,r,p,n,q,sig_fdr
Apul,miRNA_precursor,magnitude,-0.0517474941045712,0.797691406619763,27,0.925251047944596,""
Apul,miRNA_precursor,variability,0.0718506347989039,0.72173467735992,27,0.911664855612531,""
Apul,miRNA_mature,magnitude,-0.369272323389196,0.328050169393644,9,0.605631081957497,""
Apul,miRNA_mature,variability,0.177478973424844,0.647799298091607,9,0.863732397455476,""
Peve,miRNA_precursor,magnitude,-0.263865594408646,0.275021624022834,19,0.550043248045667,""
Peve,miRNA_precursor,variability,0.210207995669391,0.387708111189773,19,0.664642476325325,""
Peve,miRNA_mature,magnitude,0.685654706007431,0.201290938932708,5,0.439180230398635,""
Peve,miRNA_mature,variability,-0.753174093502549,0.14162778648411,5,0.339906687561864,""
Ptuh,miRNA_precursor,magnitude,-0.0449049395997241,0.855159712240489,19,0.932901504262352,""
Ptuh,miRNA_precursor,variability,0.124959098440903,0.610253598925783,19,0.863732397455476,""
Ptuh,miRNA_mature,magnitude,0.199657070225127,0.635472667279211,8,0.863732397455476,""
Ptuh,miRNA_mature,variability,-0.000524461238131673,0.999016635358826,8,0.999016635358826,""
Apul,lncRNA_body,magnitude,0.0707612838128484,1.93178578333196e-27,23467,9.2725717599934e-27,*
Apul,lncRNA_body,variability,-0.0788426425830368,1.1081929924421e-33,23467,8.86554393953678e-33,*
Peve,lncRNA_body,magnitude,0.0577101574239768,8.39705147154827e-07,7276,2.51911544146448e-06,*
Peve,lncRNA_body,variability,-0.122322863627501,1.16620791197067e-25,7276,4.66483164788268e-25,*
Ptuh,lncRNA_body,magnitude,0.14484063726692,1.31953451152426e-47,9911,1.58344141382911e-46,*
Ptuh,lncRNA_body,variability,-0.119241842141507,1.02456917003852e-32,9911,6.14741502023111e-32,*
Apul,miRNA_promoter,,-0.0216828342050046,0.897189882476485,38,0.936198138236332,""
Peve,miRNA_promoter,,-0.328862343839865,0.046878201495251,37,0.125008537320669,""
Ptuh,miRNA_promoter,,-0.0410024333975345,0.809594666951522,37,0.925251047944596,""
Apul,lncRNA_promoter,magnitude,0.0332568971176122,6.09496298433511e-08,26509,2.08970159462918e-07,*
Peve,lncRNA_promoter,magnitude,-0.00776712607199189,0.489153726872687,7932,0.7826459629963,""
Ptuh,lncRNA_promoter,magnitude,0.145644941815745,4.9351952062169e-55,11389,1.18444684949206e-53,*
