species,feature_type,genomic_context,n,perc
Apul,lncRNA_body,TE_exonic,78,0.2
Apul,lncRNA_body,TE_intergenic,5722,18.2
Apul,lncRNA_body,TE_intronic,99,0.3
Apul,lncRNA_body,exon,1138,3.6
Apul,lncRNA_body,intergenic,18355,58.3
Apul,lncRNA_body,intron,6099,19.4
Apul,lncRNA_promoter,TE_exonic,27,0.1
Apul,lncRNA_promoter,TE_intergenic,3290,10.4
Apul,lncRNA_promoter,TE_intronic,4,0
Apul,lncRNA_promoter,exon,1653,5.2
Apul,lncRNA_promoter,intergenic,19554,62.1
Apul,lncRNA_promoter,intron,6963,22.1
Apul,miRNA_mature,TE_intronic,1,2.6
Apul,miRNA_mature,exon,1,2.6
Apul,miRNA_mature,intergenic,17,43.6
Apul,miRNA_mature,intron,20,51.3
Apul,miRNA_precursor,exon,1,2.6
Apul,miRNA_precursor,intergenic,17,43.6
Apul,miRNA_precursor,intron,21,53.8
Apul,miRNA_promoter,exon,5,12.8
Apul,miRNA_promoter,intergenic,23,59
Apul,miRNA_promoter,intron,11,28.2
Peve,lncRNA_body,TE_exonic,11,0.1
Peve,lncRNA_body,TE_intergenic,245,2.4
Peve,lncRNA_body,TE_intronic,4,0
Peve,lncRNA_body,exon,648,6.4
Peve,lncRNA_body,intergenic,7019,69.6
Peve,lncRNA_body,intron,2163,21.4
Peve,lncRNA_promoter,TE_exonic,5,0
Peve,lncRNA_promoter,TE_intergenic,39,0.4
Peve,lncRNA_promoter,exon,659,6.5
Peve,lncRNA_promoter,intergenic,7067,70
Peve,lncRNA_promoter,intron,2320,23
Peve,miRNA_mature,intergenic,13,28.9
Peve,miRNA_mature,intron,32,71.1
Peve,miRNA_precursor,intergenic,13,28.9
Peve,miRNA_precursor,intron,32,71.1
Peve,miRNA_promoter,exon,7,15.6
Peve,miRNA_promoter,intergenic,22,48.9
Peve,miRNA_promoter,intron,16,35.6
Ptuh,lncRNA_body,TE_exonic,6,0
Ptuh,lncRNA_body,TE_intergenic,434,2.7
Ptuh,lncRNA_body,TE_intronic,4,0
Ptuh,lncRNA_body,exon,784,4.9
Ptuh,lncRNA_body,intergenic,12409,76.8
Ptuh,lncRNA_body,intron,2516,15.6
Ptuh,lncRNA_promoter,TE_exonic,13,0.1
Ptuh,lncRNA_promoter,TE_intergenic,43,0.3
Ptuh,lncRNA_promoter,exon,973,6
Ptuh,lncRNA_promoter,intergenic,12053,74.6
Ptuh,lncRNA_promoter,intron,3071,19
Ptuh,miRNA_mature,exon,1,2.7
Ptuh,miRNA_mature,intergenic,13,35.1
Ptuh,miRNA_mature,intron,23,62.2
Ptuh,miRNA_precursor,intergenic,13,35.1
Ptuh,miRNA_precursor,intron,24,64.9
Ptuh,miRNA_promoter,exon,6,16.2
Ptuh,miRNA_promoter,intergenic,17,45.9
Ptuh,miRNA_promoter,intron,14,37.8
