,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value
1,ptuh-mir-novel-13,Pocillopora_meandrina_HIv1___RNAseq.g22310.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g22310.t1;2 19;1 19,-21.25,17,76.47%,82.35%,-0.947470580577219,0.947470580577219,-1,0.0143379108408858
2,ptuh-mir-2030,Pocillopora_meandrina_HIv1___RNAseq.g25291.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g25291.t1;2 21;843 865,-20.09,20,70.00%,80.00%,-0.947885623670125,0.947885623670125,-1,0.0141692154004804
3,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g10347.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g10347.t1;2 22;912 934,-21.71,20,65.00%,80.00%,-0.981685694822282,0.981685694822282,-1,0.00296703624850726
4,ptuh-mir-novel-23,Pocillopora_meandrina_HIv1___TS.g821.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g821.t1;2 20;180 201,-21.73,18,88.89%,88.89%,0.947557351451081,0.947557351451081,1,0.0143025887628351
5,ptuh-mir-novel-23,Pocillopora_meandrina_HIv1___TS.g821.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g821.t1;2 20;300 321,-21.73,18,88.89%,88.89%,0.947557351451081,0.947557351451081,1,0.0143025887628351
6,ptuh-mir-novel-23,Pocillopora_meandrina_HIv1___TS.g821.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g821.t1;2 20;420 441,-21.73,18,88.89%,88.89%,0.947557351451081,0.947557351451081,1,0.0143025887628351
7,ptuh-mir-novel-23,Pocillopora_meandrina_HIv1___TS.g821.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g821.t1;2 20;540 561,-21.73,18,88.89%,88.89%,0.947557351451081,0.947557351451081,1,0.0143025887628351
8,ptuh-mir-novel-23,Pocillopora_meandrina_HIv1___TS.g821.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g821.t1;2 20;60 81,-21.73,18,88.89%,88.89%,0.947557351451081,0.947557351451081,1,0.0143025887628351
9,ptuh-mir-novel-23,Pocillopora_meandrina_HIv1___TS.g821.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g821.t1;2 20;780 801,-21.73,18,88.89%,88.89%,0.947557351451081,0.947557351451081,1,0.0143025887628351
10,ptuh-mir-novel-23,Pocillopora_meandrina_HIv1___TS.g821.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g821.t1;2 20;900 921,-21.73,18,88.89%,88.89%,0.947557351451081,0.947557351451081,1,0.0143025887628351
11,ptuh-mir-2023,Pocillopora_meandrina_HIv1___RNAseq.g26466.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g26466.t1;2 20;548 566,-20.66,18,77.78%,83.33%,-0.945332798083424,0.945332798083424,-1,0.0152170504007
12,ptuh-mir-2030,Pocillopora_meandrina_HIv1___RNAseq.g14977.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g14977.t1;2 20;88 110,-22.12,19,73.68%,84.21%,-0.893222380847292,0.893222380847292,-1,0.0412072014052566
13,ptuh-mir-novel-13,Pocillopora_meandrina_HIv1___RNAseq.g18208.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g18208.t1;2 11;94 115,-22.2,9,100.00%,100.00%,-0.987781180181153,0.987781180181153,-1,0.00161837872676055
14,ptuh-mir-novel-21,Pocillopora_meandrina_HIv1___RNAseq.g20733.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g20733.t1;2 19;249 269,-20.42,17,76.47%,82.35%,0.965837666525896,0.965837666525896,1,0.00754079408094521
15,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g627.t1b,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g627.t1b;2 17;49 71,-20.15,15,73.33%,93.33%,-0.981986205789269,0.981986205789269,-1,0.00289444080290838
16,ptuh-mir-2030,Pocillopora_meandrina_HIv1___TS.g5059.t2,3UTR,Pocillopora_meandrina_HIv1___TS.g5059.t2;2 20;500 520,-23.5,18,77.78%,88.89%,-0.948228376602944,0.948228376602944,-1,0.0140303943154318
17,ptuh-mir-novel-16,Pocillopora_meandrina_HIv1___RNAseq.g15252.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g15252.t1;2 17;233 253,-21.45,15,80.00%,86.67%,-0.906915771266696,0.906915771266696,-1,0.033611610723924
18,ptuh-mir-novel-19,Pocillopora_meandrina_HIv1___RNAseq.g22666.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g22666.t1;2 21;950 972,-20.93,20,70.00%,85.00%,0.944276647979206,0.944276647979206,1,0.0156576285678092
19,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___TS.g23997.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g23997.t1;2 22;372 394,-21.64,21,61.90%,85.71%,-0.97347675856656,0.97347675856656,-1,0.00516461966995338
20,ptuh-mir-novel-17,Pocillopora_meandrina_HIv1___RNAseq.g29298.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g29298.t1;2 21;774 793,-21.45,19,73.68%,84.21%,-0.93643215358513,0.93643215358513,-1,0.0190548323623484
21,ptuh-mir-novel-6,Pocillopora_meandrina_HIv1___RNAseq.g1869.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g1869.t1;2 12;160 182,-21.76,10,80.00%,100.00%,-0.941039814196232,0.941039814196232,-1,0.0170330917830084
22,ptuh-mir-novel-16,Pocillopora_meandrina_HIv1___TS.g20484.t1,3UTR,Pocillopora_meandrina_HIv1___TS.g20484.t1;2 20;61 85,-23.39,21,66.67%,76.19%,0.911291572874932,0.911291572874932,1,0.031290776284695
23,ptuh-mir-novel-28,Pocillopora_meandrina_HIv1___RNAseq.g21083.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g21083.t1;2 18;755 776,-20.38,16,68.75%,81.25%,0.95644813963139,0.95644813963139,1,0.0108389263729232
24,ptuh-mir-100,Pocillopora_meandrina_HIv1___TS.g29797.t1a,3UTR,Pocillopora_meandrina_HIv1___TS.g29797.t1a;2 21;755 777,-22.51,20,70.00%,70.00%,-0.932325817028199,0.932325817028199,-1,0.0209175111668761
25,ptuh-mir-novel-32,Pocillopora_meandrina_HIv1___RNAseq.g13929.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g13929.t1;2 20;747 769,-20.96,19,68.42%,78.95%,-0.907972271074224,0.907972271074224,-1,0.0330464043737508
26,ptuh-mir-novel-4,Pocillopora_meandrina_HIv1___RNAseq.g10343.t1,3UTR,Pocillopora_meandrina_HIv1___RNAseq.g10343.t1;2 20;229 252,-20.76,20,65.00%,75.00%,0.906723839752342,0.906723839752342,1,0.0337146192139061
