"","miRNA","lncRNA","PCC.cor","p_value","adjusted_p_value"
"1","Cluster_1015","lncRNA_001",-0.973074066891154,0.00528236157840769,0.613674961855994
"2","Cluster_1080","lncRNA_001",0.956718701909542,0.0107385216439848,0.613674961855994
"3","Cluster_3392","lncRNA_001",0.933891812105989,0.0202005255327543,0.624731881131584
"4","Cluster_1938","lncRNA_002",0.884725913149975,0.0461610632127862,0.703409299690008
"5","Cluster_1938","lncRNA_003",0.88753428492772,0.0445039509969925,0.698560743471289
"6","Cluster_390","lncRNA_004",0.909532900413637,0.0322171389928607,0.660327814351423
"7","Cluster_1015","lncRNA_004",-0.903533150611841,0.035441725259261,0.67212414327461
"8","Cluster_1793","lncRNA_006",0.904876195468194,0.0347113792997915,0.668892185298378
"9","Cluster_1289","lncRNA_007",0.881046233585547,0.0483611072464284,0.708678156305125
"10","Cluster_2837","lncRNA_007",-0.926902479537668,0.023462148006801,0.629053159705147
"11","Cluster_5612","lncRNA_008",0.971539828403367,0.00573888322730691,0.613674961855994
"12","Cluster_5612","lncRNA_009",0.931500918572387,0.0212984319318975,0.625704072113814
"13","Cluster_5612","lncRNA_011",0.879593426714707,0.0492386013585654,0.710668676148857
"14","Cluster_4039","lncRNA_012",0.946201978847841,0.0148575538592443,0.613674961855994
"15","Cluster_4039","lncRNA_013",0.946201978847841,0.0148575538592443,0.613674961855994
"16","Cluster_2837","lncRNA_014",0.975614124444608,0.00455455959267295,0.613674961855994
"17","Cluster_1116","lncRNA_016",0.892931541738578,0.0413738043478496,0.687449950089861
"18","Cluster_1296","lncRNA_016",-0.883816028359723,0.0467020529703127,0.704560504683315
"19","Cluster_1953","lncRNA_016",-0.88199661591007,0.0477897830258974,0.707060360129422
"20","Cluster_4435","lncRNA_016",0.910269897475078,0.0318278787580648,0.658736826587486
"21","Cluster_5612","lncRNA_016",0.897948725404694,0.0385300238865161,0.681602208704755
"22","Cluster_1793","lncRNA_017",0.932142742988256,0.0210018585801559,0.624799330937975
"23","Cluster_4439","lncRNA_017",0.936030908330303,0.0192343476652973,0.620877858209993
"24","Cluster_1068","lncRNA_018",0.905074177361625,0.0346041289431435,0.668524023368649
"25","Cluster_1793","lncRNA_018",0.900481646408345,0.0371190686627395,0.677433771773684
"26","Cluster_4439","lncRNA_018",0.960040718647382,0.00953103352486629,0.613674961855994
"27","Cluster_4118","lncRNA_019",-0.945535652183184,0.0151328988193857,0.613674961855994
"28","Cluster_4438","lncRNA_019",0.919819782822696,0.02692410707244,0.639572203428335
"29","Cluster_1015","lncRNA_020",-0.904297400576203,0.0350255308773147,0.670461051464638
"30","Cluster_1793","lncRNA_021",0.962422270825597,0.00869493699509926,0.613674961855994
"31","Cluster_1938","lncRNA_021",0.894531019161052,0.0404602192855394,0.684848945791476
"32","Cluster_1080","lncRNA_022",0.960312402401351,0.00943438604190576,0.613674961855994
"33","Cluster_1116","lncRNA_022",0.952603894850029,0.012298041338625,0.613674961855994
"34","Cluster_1296","lncRNA_022",-0.901761832107219,0.0364123645414369,0.675470271577824
"35","Cluster_2973","lncRNA_022",0.933524081152768,0.0203681611638987,0.624799330937975
"36","Cluster_4040","lncRNA_022",0.945765620685805,0.0150376832317357,0.613674961855994
"37","Cluster_5253","lncRNA_022",0.89584396897324,0.0397151612608306,0.683353831717419
"38","Cluster_5740","lncRNA_022",0.938307471462045,0.0182231091740503,0.615056120610428
"39","Cluster_360","lncRNA_023",-0.928988610220761,0.0224721704498279,0.629053159705147
"40","Cluster_1068","lncRNA_026",0.983314104874749,0.00258088195814294,0.613674961855994
"41","Cluster_4439","lncRNA_026",0.957107325953534,0.0105948410152499,0.613674961855994
"42","Cluster_757","lncRNA_027",0.925218317737655,0.0242713648313553,0.629971206850763
"43","Cluster_4438","lncRNA_027",-0.886845646112174,0.0449085111482039,0.699645672676609
"44","Cluster_4039","lncRNA_028",0.960273655737366,0.00944814984045022,0.613674961855994
"45","Cluster_4039","lncRNA_029",0.964250970027546,0.00807026167977764,0.613674961855994
"46","Cluster_1015","lncRNA_030",-0.94516903695068,0.0152850955461396,0.613674961855994
"47","Cluster_1080","lncRNA_032",0.926465437265727,0.0236712885038247,0.629053159705147
"48","Cluster_1116","lncRNA_032",0.915479086364896,0.029120316558621,0.648422074705813
"49","Cluster_1296","lncRNA_032",-0.891658574188886,0.0421055143450748,0.689442323002932
"50","Cluster_4040","lncRNA_032",0.913172712719757,0.0303095549502698,0.652843314337797
"51","Cluster_5740","lncRNA_032",0.889545763744718,0.0433289276436593,0.694666998983643
"52","Cluster_1015","lncRNA_033",-0.962070931899904,0.0088166931151829,0.613674961855994
"53","Cluster_1080","lncRNA_033",0.959987545239378,0.0095499869398723,0.613674961855994
"54","Cluster_3392","lncRNA_033",0.919597985326898,0.0270349781207688,0.639682591704385
"55","Cluster_1080","lncRNA_034",0.964917285252584,0.00784648105438225,0.613674961855994
"56","Cluster_1116","lncRNA_034",0.962906578983943,0.00852801423352791,0.613674961855994
"57","Cluster_1296","lncRNA_034",-0.903802061619117,0.0352951028351421,0.671690527385174
"58","Cluster_2973","lncRNA_034",0.950329520127741,0.0131892146113135,0.613674961855994
"59","Cluster_4040","lncRNA_034",0.951919198693454,0.0125641813699903,0.613674961855994
"60","Cluster_5253","lncRNA_034",0.909451036654117,0.0322604705481684,0.660470733455431
"61","Cluster_5740","lncRNA_034",0.952514850596712,0.0123325472366163,0.613674961855994
"62","Cluster_2859","lncRNA_035",0.960003836208836,0.00954417878760095,0.613674961855994
"63","Cluster_4118","lncRNA_035",0.963028047396723,0.00848631552832135,0.613674961855994
"64","Cluster_4572","lncRNA_035",0.928887133694533,0.0225200063471493,0.629053159705147
"65","Cluster_21","lncRNA_036",-0.964848861700669,0.00786936560143439,0.613674961855994
"66","Cluster_2793","lncRNA_036",-0.977263330312309,0.0041014499156404,0.613674961855994
"67","Cluster_3661","lncRNA_036",-0.990229057727699,0.00115771319860541,0.613674961855994
"68","Cluster_3661","lncRNA_037",-0.91403238618081,0.0298644940077068,0.651270080279719
"69","Cluster_4437","lncRNA_038",-0.883264909952824,0.0470307001553295,0.705231236680207
"70","Cluster_21","lncRNA_040",-0.960743700601603,0.00928162309926689,0.613674961855994
"71","Cluster_2793","lncRNA_040",-0.977795739047477,0.00395855386849655,0.613674961855994
"72","Cluster_3661","lncRNA_040",-0.990850783931731,0.00104909004891299,0.613674961855994
"73","Cluster_21","lncRNA_041",-0.960743700601603,0.00928162309926689,0.613674961855994
"74","Cluster_2793","lncRNA_041",-0.977795739047477,0.00395855386849655,0.613674961855994
"75","Cluster_3661","lncRNA_041",-0.990850783931731,0.00104909004891299,0.613674961855994
"76","Cluster_4040","lncRNA_042",0.879282754836466,0.0494268930246872,0.711210712396302
"77","Cluster_2837","lncRNA_043",-0.944160213384863,0.0157064499447828,0.613674961855994
"78","Cluster_1068","lncRNA_044",0.913868293391687,0.02994928300708,0.651443505289287
"79","Cluster_1793","lncRNA_044",0.892923270718378,0.0413785454066464,0.687449950089861
"80","Cluster_4039","lncRNA_044",0.99045397928525,0.00111800712430991,0.613674961855994
"81","Cluster_1080","lncRNA_045",0.935184626878738,0.0196147555637712,0.62166247579554
"82","Cluster_1116","lncRNA_045",0.981116859391694,0.00310606999546909,0.613674961855994
"83","Cluster_1296","lncRNA_045",-0.915684344437873,0.0290152223123679,0.648080824238388
"84","Cluster_2973","lncRNA_045",0.966908412728522,0.00719022898138399,0.613674961855994
"85","Cluster_4040","lncRNA_045",0.948207413011399,0.0140388721399427,0.613674961855994
"86","Cluster_5253","lncRNA_045",0.943165445780725,0.0161255698029999,0.613674961855994
"87","Cluster_5740","lncRNA_045",0.97744017193658,0.00405380093518866,0.613674961855994
"88","Cluster_6382","lncRNA_045",0.911310057483392,0.0312810858176049,0.657207779933377
"89","Cluster_390","lncRNA_046",0.886199724525984,0.0452890292253615,0.700643935101031
"90","Cluster_4039","lncRNA_046",0.912056731141067,0.0308904520673441,0.655726950064885
"91","Cluster_4039","lncRNA_047",0.974122999399943,0.0049775062674032,0.613674961855994
"92","Cluster_36","lncRNA_049",0.936718639497933,0.0189269945361787,0.618953797947072
"93","Cluster_390","lncRNA_049",0.880865695435344,0.0484698805276962,0.708938465035024
"94","Cluster_1015","lncRNA_049",-0.946821794803466,0.0146029122334868,0.613674961855994
"95","Cluster_1080","lncRNA_049",0.956676675490997,0.0107540974274317,0.613674961855994
"96","Cluster_3392","lncRNA_049",0.967022851666551,0.00715308698295277,0.613674961855994
"97","Cluster_1953","lncRNA_051",-0.926814701126399,0.0235041050053387,0.629053159705147
"98","Cluster_21","lncRNA_052",-0.964983077156728,0.00782449733263412,0.613674961855994
"99","Cluster_2793","lncRNA_052",-0.965022829682248,0.00781122423957924,0.613674961855994
"100","Cluster_3661","lncRNA_052",-0.886277108397522,0.0452433880649872,0.700516928948097
"101","Cluster_21","lncRNA_053",-0.906567814637524,0.0337984312703449,0.664913874827461
"102","Cluster_1952","lncRNA_053",0.902181143388704,0.0361818359582507,0.674332112914414
"103","Cluster_36","lncRNA_055",0.925760308597019,0.024009979228894,0.629437306901169
"104","Cluster_1015","lncRNA_055",-0.932842068040184,0.0206802527602546,0.624799330937975
"105","Cluster_1080","lncRNA_055",0.988505065676044,0.00147687368718405,0.613674961855994
"106","Cluster_2973","lncRNA_055",0.884684838919536,0.0461854416474715,0.703415065012599
"107","Cluster_3392","lncRNA_055",0.928304550369258,0.0227952708493983,0.629053159705147
"108","Cluster_360","lncRNA_056",-0.886738417013099,0.0449716102658597,0.699675403901995
"109","Cluster_4572","lncRNA_058",-0.951841394575009,0.0125945412991117,0.613674961855994
"110","Cluster_1953","lncRNA_059",-0.879166988116039,0.0494971148273754,0.711441660697387
"111","Cluster_4039","lncRNA_060",0.96690292880299,0.00719201041738635,0.613674961855994
"112","Cluster_4438","lncRNA_060",0.91525730047966,0.0292340103972498,0.648973446520555
"113","Cluster_1068","lncRNA_061",0.93945864931369,0.017718555417648,0.613674961855994
"114","Cluster_4039","lncRNA_061",0.968892828141926,0.00655522748464923,0.613674961855994
"115","Cluster_4438","lncRNA_061",0.912994505690578,0.0304020785978065,0.652964242166951
"116","Cluster_4039","lncRNA_062",0.956954042607198,0.010651436667288,0.613674961855994
"117","Cluster_4438","lncRNA_062",0.918756174763094,0.027457110581577,0.640852499676015
"118","Cluster_1068","lncRNA_063",0.898536553345513,0.0382010821691925,0.680690462496209
"119","Cluster_4039","lncRNA_063",0.944427159231896,0.015594592132626,0.613674961855994
"120","Cluster_4438","lncRNA_063",0.904239267198966,0.0350571338220843,0.670539811452261
"121","Cluster_1793","lncRNA_064",0.946786443276627,0.0146173972309441,0.613674961855994
"122","Cluster_4039","lncRNA_064",0.924924805612535,0.0244132976639771,0.630120135174412
"123","Cluster_21","lncRNA_065",-0.904121768629747,0.0351210371767817,0.670959307280108
"124","Cluster_1952","lncRNA_065",0.915616028802494,0.0290501870596392,0.648080824238388
"125","Cluster_2839","lncRNA_065",-0.903870806213978,0.0352576513736741,0.671644098066448
"126","Cluster_757","lncRNA_066",-0.894281739321195,0.0406021749288678,0.685279758819856
"127","Cluster_1952","lncRNA_066",0.931658286041764,0.0212255912242451,0.62562983599574
"128","Cluster_2839","lncRNA_066",-0.903821527504409,0.0352844966990381,0.671690527385174
"129","Cluster_4039","lncRNA_067",0.926349095878713,0.0237270630267905,0.629053159705147
"130","Cluster_4438","lncRNA_067",0.968854888698142,0.00656718587324207,0.613674961855994
"131","Cluster_1068","lncRNA_068",0.895933263290658,0.0396646498550195,0.683353831717419
"132","Cluster_4039","lncRNA_068",0.907784208572741,0.033146789356227,0.662670685788071
"133","Cluster_4438","lncRNA_068",0.960119717077191,0.00950289770573849,0.613674961855994
"134","Cluster_360","lncRNA_069",0.898335024628832,0.0383137539981316,0.681164572532665
"135","Cluster_1015","lncRNA_070",-0.94294584780193,0.016218574811614,0.613674961855994
"136","Cluster_1953","lncRNA_070",-0.965078149725364,0.00779276558592652,0.613674961855994
"137","Cluster_3392","lncRNA_070",0.90208319415742,0.0362356445310307,0.674482296999096
"138","Cluster_1015","lncRNA_071",-0.937605272338022,0.0185331296478688,0.616695048590087
"139","Cluster_1953","lncRNA_071",-0.968824193931841,0.00657686601077528,0.613674961855994
"140","Cluster_3392","lncRNA_071",0.901077918384506,0.0367893676159711,0.676353134913618
"141","Cluster_1938","lncRNA_072",0.885504168440131,0.0456999235444489,0.701780687827739
"142","Cluster_2837","lncRNA_072",-0.936224093102218,0.0191478494999803,0.620665748743082
