gene-Peve_00000013	P58691
gene-Peve_00000035	Q9NBX4
gene-Peve_00000042	P62993
gene-Peve_00000058	A3KN95
gene-Peve_00000107	F4IE66
gene-Peve_00000108	Q6P4S8
gene-Peve_00000114	F1R8Z9
gene-Peve_00000115	Q9DCV4
gene-Peve_00000116	Q32KL4
gene-Peve_00000121	O50655
gene-Peve_00000123	Q6P963
gene-Peve_00000003	P49004
gene-Peve_00000004	Q8VCK5
gene-Peve_00000005	Q07192
gene-Peve_00000006	Q501J6
gene-Peve_00000007	Q28955
gene-Peve_00000009	Q8L7C9
gene-Peve_00000011	P04323
gene-Peve_00000012	Q6DK98
gene-Peve_00000015	Q8N8K9
gene-Peve_00000017	Q2TAC2
gene-Peve_00000024	P9WM78
gene-Peve_00000025	A3KPA3
gene-Peve_00000033	Q9BG91
gene-Peve_00000041	F1MYR9
gene-Peve_00000044	P52189
gene-Peve_00000045	Q96DY2
gene-Peve_00000046	A4FUD1
gene-Peve_00000048	P18293
gene-Peve_00000049	P18293
gene-Peve_00000060	Q07553
gene-Peve_00000061	P18293
gene-Peve_00000064	Q07553
gene-Peve_00000066	Q6TL19
gene-Peve_00000067	Q90922
gene-Peve_00000076	Q63ZJ2
gene-Peve_00000080	Q9W741
gene-Peve_00000084	O35245
gene-Peve_00000085	Q6P1R4
gene-Peve_00000091	B5FXN8
gene-Peve_00000096	P09102
gene-Peve_00000097	P52565
gene-Peve_00000098	A8MYJ7
gene-Peve_00000099	Q9Y519
gene-Peve_00000100	O64411
gene-Peve_00000102	P29372
gene-Peve_00000103	Q5XG24
gene-Peve_00000138	B8A5W4
gene-Peve_00000142	A6QQL0
gene-Peve_00000149	Q2VPG3
gene-Peve_00000178	Q72J02
gene-Peve_00000183	P33724
gene-Peve_00000186	P83861
gene-Peve_00000187	Q9Z2D5
gene-Peve_00000126	C3ZQF9
gene-Peve_00000133	Q9Y5X5
gene-Peve_00000135	Q3T0D7
gene-Peve_00000137	Q3UGF1
gene-Peve_00000148	P91660
gene-Peve_00000150	Q54RA4
gene-Peve_00000155	Q9GKS6
gene-Peve_00000164	Q80T69
gene-Peve_00000209	P38571
gene-Peve_00000225	Q09LZ8
