#Coverage (X)	Coverage
1.0	86.56183871397349
2.0	83.99860693688186
3.0	79.65795828642193
4.0	77.58539595143728
5.0	74.73284877035792
6.0	72.92327532259426
7.0	70.67330968593944
8.0	69.02731548500427
9.0	67.10514888047112
10.0	65.5615424379229
11.0	63.83208935489975
12.0	62.364431673873874
13.0	60.766755874638726
14.0	59.361419885164736
15.0	57.86238720243044
16.0	56.507996979961476
17.0	55.08855100853593
18.0	53.78329799657551
19.0	52.42878854134414
20.0	51.165602314254684
21.0	49.86824008020655
22.0	48.647401934699374
23.0	47.402790551353846
24.0	46.22176476542839
25.0	45.025768322222724
26.0	43.88494577868909
27.0	42.736690866698645
28.0	41.636891146098435
29.0	40.53503996601165
30.0	39.47542940367437
31.0	38.42096977384649
32.0	37.40567617713742
33.0	36.39507433174919
34.0	35.421013276440775
35.0	34.453560378649
36.0	33.51856696049042
37.0	32.591039095311515
38.0	31.69439270852996
39.0	30.808119765011313
40.0	29.952303846690498
41.0	29.10592680286055
42.0	28.287826252382573
43.0	27.4799243476226
44.0	26.698646462735553
45.0	25.93080136401356
46.0	25.188177660273368
47.0	24.45624477502936
48.0	23.74879531499981
49.0	23.05271406218621
50.0	22.37809432073979
51.0	21.71548351790733
