#Mapping quality	mapping quality
0.0	8752503.0
1.0	9914341.0
2.0	3.9964418E7
3.0	2.5381202E7
4.0	3.5044558E7
5.0	2.4812969E7
6.0	2.6372749E7
7.0	1.1864083E7
8.0	1.0770523E7
9.0	9389790.0
10.0	8839433.0
11.0	8489129.0
12.0	8218932.0
13.0	7624463.0
14.0	7482364.0
15.0	7219422.0
16.0	7090882.0
17.0	6875466.0
18.0	6941456.0
19.0	6755899.0
20.0	6917069.0
21.0	7309996.0
22.0	7476779.0
23.0	8020067.0
24.0	8494585.0
25.0	8640620.0
26.0	9358055.0
27.0	9970273.0
28.0	1.0837903E7
29.0	1.1405411E7
30.0	1.2145582E7
31.0	1.220988E7
32.0	1.2110678E7
33.0	1.1162775E7
34.0	9839340.0
35.0	7931722.0
36.0	5970597.0
37.0	3997283.0
38.0	2535355.0
39.0	1417031.0
40.0	1005973.0
41.0	858370.0
42.0	1242130.0
