#Coverage	Number of genomic locations
0.0	6.965186E7
1.0	1.3285587E7
2.0	2.2498186E7
3.0	1.0742379E7
4.0	1.4785149E7
5.0	9379271.0
6.0	1.1661885E7
7.0	8531417.0
8.0	9962857.0
9.0	8000727.0
10.0	8963996.0
11.0	7607074.0
12.0	8280976.0
13.0	7284052.0
14.0	7769695.0
15.0	7019993.0
16.0	7357186.0
17.0	6765308.0
18.0	7020611.0
19.0	6547270.0
20.0	6724409.0
21.0	6327774.0
22.0	6450994.0
23.0	6121421.0
24.0	6199016.0
25.0	5913042.0
26.0	5951565.0
27.0	5700415.0
28.0	5711048.0
29.0	5492109.0
30.0	5465411.0
31.0	5262408.0
32.0	5238090.0
33.0	5048694.0
34.0	5014443.0
35.0	4846201.0
36.0	4807506.0
37.0	4647443.0
38.0	4593676.0
39.0	4435813.0
40.0	4386890.0
41.0	4240329.0
42.0	4187468.0
43.0	4049472.0
44.0	3979848.0
45.0	3849122.0
46.0	3793710.0
47.0	3666809.0
48.0	3607886.0
49.0	3496648.0
50.0	3434404.0
51.0	3318825.0
52.0	3251841.0
53.0	3148586.0
54.0	3085241.0
55.0	2984409.0
56.0	2921746.0
57.0	2826376.0
58.0	2764780.0
59.0	2682867.0
60.0	2613120.0
61.0	2531512.0
62.0	2465088.0
63.0	2383554.0
64.0	2326938.0
65.0	2257167.0
66.0	2195947.0
67.0	2128574.0
68.0	2072230.0
69.0	2004545.0
70.0	1951438.0
71.0	1882150.0
72.0	1840599.0
73.0	1776823.0
74.0	1726355.0
75.0	1673599.0
76.0	1623837.0
77.0	1572746.0
78.0	1526030.0
79.0	1474749.0
80.0	1434172.0
81.0	1384829.0
82.0	1345076.0
83.0	1297589.0
84.0	1259841.0
85.0	1218977.0
86.0	1183128.0
87.0	1144823.0
88.0	1108951.0
89.0	1072568.0
90.0	1041478.0
91.0	1005027.0
92.0	975509.0
93.0	939848.0
94.0	914539.0
95.0	881662.0
96.0	855695.0
97.0	826719.0
98.0	798492.0
99.0	775450.0
100.0	749759.0
101.0	724458.0
102.0	701493.0
103.0	677413.0
104.0	655056.0
105.0	632913.0
106.0	612248.0
107.0	594329.0
108.0	571342.0
109.0	554798.0
110.0	534854.0
111.0	518795.0
112.0	498815.0
113.0	483558.0
114.0	467502.0
115.0	454860.0
116.0	438482.0
117.0	422045.0
118.0	409548.0
119.0	395514.0
120.0	384530.0
121.0	370361.0
122.0	358833.0
123.0	346900.0
124.0	335958.0
125.0	325598.0
126.0	314011.0
127.0	303207.0
128.0	295094.0
129.0	284730.0
130.0	275359.0
131.0	267639.0
132.0	257065.0
133.0	249299.0
134.0	242052.0
135.0	234964.0
136.0	226729.0
137.0	219409.0
138.0	213846.0
139.0	206006.0
140.0	200440.0
141.0	193718.0
142.0	187300.0
143.0	181396.0
144.0	175084.0
145.0	169188.0
146.0	164906.0
147.0	159770.0
148.0	153769.0
149.0	148405.0
150.0	144710.0
151.0	139242.0
152.0	134955.0
153.0	131612.0
154.0	126391.0
155.0	122286.0
156.0	119053.0
157.0	114802.0
158.0	111653.0
159.0	107879.0
160.0	105194.0
161.0	102425.0
162.0	99461.0
163.0	95962.0
164.0	93345.0
165.0	91384.0
166.0	88451.0
167.0	86306.0
168.0	83887.0
169.0	81312.0
170.0	79592.0
171.0	76655.0
172.0	74484.0
173.0	72304.0
174.0	70328.0
175.0	68006.0
176.0	66187.0
177.0	63898.0
178.0	61435.0
179.0	60462.0
180.0	58324.0
181.0	56474.0
182.0	55228.0
183.0	53695.0
184.0	52448.0
185.0	50780.0
186.0	49811.0
187.0	48535.0
188.0	47440.0
189.0	46167.0
190.0	44184.0
191.0	43289.0
