#Duplication rate	Coverage
1.0	2.5153178E7
2.0	2.0539142E7
3.0	3907393.0
4.0	3681659.0
5.0	1229499.0
6.0	1183693.0
7.0	558345.0
8.0	534441.0
9.0	307577.0
10.0	289219.0
11.0	189265.0
12.0	174041.0
13.0	123587.0
14.0	112250.0
15.0	84026.0
16.0	75255.0
17.0	58948.0
18.0	52942.0
19.0	41770.0
20.0	37562.0
21.0	30608.0
22.0	27159.0
23.0	22804.0
24.0	20100.0
25.0	16921.0
26.0	15028.0
27.0	12484.0
28.0	11205.0
29.0	9521.0
30.0	8426.0
31.0	7295.0
32.0	6584.0
33.0	5576.0
34.0	4942.0
35.0	4441.0
36.0	3896.0
37.0	3407.0
38.0	3023.0
39.0	2692.0
40.0	2325.0
41.0	2057.0
42.0	1894.0
43.0	1627.0
44.0	1449.0
45.0	1293.0
46.0	1147.0
47.0	1020.0
48.0	887.0
49.0	838.0
50.0	10055.0
