"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0001782","B cell homeostasis",7,1,0.02,0.019,"Biological.Process","Cluster_10051"
"2","GO:0004185","serine-type carboxypeptidase activity",2,1,0,0.0042,"Molecular.Function","Cluster_10051"
"3","GO:0004890","GABA-A receptor activity",7,1,0.01,0.0147,"Molecular.Function","Cluster_10051"
"4","GO:0003723","RNA binding",131,2,0.28,0.028,"Molecular.Function","Cluster_10051"
"5","GO:0001658","branching involved in ureteric bud morphogenesis",4,1,0.01,0.0084,"Biological.Process","Cluster_10057"
"6","GO:0000413","protein peptidyl-prolyl isomerization",9,1,0.02,0.0188,"Biological.Process","Cluster_10057"
"7","GO:0001666","response to hypoxia",14,1,0.03,0.0292,"Biological.Process","Cluster_10057"
"8","GO:0003746","translation elongation factor activity",7,2,0.02,0.00019,"Molecular.Function","Cluster_10057"
"9","GO:0005200","structural constituent of cytoskeleton",4,1,0.01,0.01261,"Molecular.Function","Cluster_10057"
"10","GO:0003943","N-acetylgalactosamine-4-sulfatase activity",8,1,0.03,0.02508,"Molecular.Function","Cluster_10057"
"11","GO:0001965","G-protein alpha-subunit binding",16,1,0.05,0.04959,"Molecular.Function","Cluster_10057"
"12","GO:0000737","DNA catabolic process, endonucleolytic",1,1,0,0.0021,"Biological.Process","Cluster_10093"
"13","GO:0000054","ribosomal subunit export from nucleus",3,1,0.01,0.0063,"Biological.Process","Cluster_10093"
"14","GO:0005388","P-type calcium transporter activity",4,1,0.01,0.0098,"Molecular.Function","Cluster_10093"
"15","GO:0003777","microtubule motor activity",16,1,0.04,0.0388,"Molecular.Function","Cluster_10093"
"16","GO:0004517","nitric-oxide synthase activity",2,1,0,0.0028,"Molecular.Function","Cluster_10207"
"17","GO:0000244","spliceosomal tri-snRNP complex assembly",4,1,0.02,0.017,"Biological.Process","Cluster_10228"
"18","GO:0008218","bioluminescence",10,1,0.04,0.041,"Biological.Process","Cluster_10228"
"19","GO:0004335","galactokinase activity",1,1,0,0.0032,"Molecular.Function","Cluster_10228"
"20","GO:0004485","methylcrotonoyl-CoA carboxylase activity",1,1,0,0.0032,"Molecular.Function","Cluster_10228"
"21","GO:0004579","dolichyl-diphosphooligosaccharide-protein glycotran...",2,1,0.01,0.0063,"Molecular.Function","Cluster_10228"
"22","GO:0004867","serine-type endopeptidase inhibitor activity",4,1,0.01,0.0126,"Molecular.Function","Cluster_10228"
"23","GO:0000281","mitotic cytokinesis",15,1,0.03,0.031,"Biological.Process","Cluster_10419"
"24","GO:0001817","regulation of cytokine production",23,1,0.05,0.048,"Biological.Process","Cluster_10419"
"25","GO:0000977","RNA polymerase II transcription regulatory region s...",109,3,0.38,0.023,"Molecular.Function","Cluster_10419"
"26","GO:0005242","inward rectifier potassium channel activity",9,1,0.03,0.031,"Molecular.Function","Cluster_10419"
"27","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,2,0.36,0.047,"Molecular.Function","Cluster_10419"
"28","GO:0000454","snoRNA guided rRNA pseudouridine synthesis",1,1,0.01,0.0077,"Biological.Process","Cluster_14402"
"29","GO:0001825","blastocyst formation",1,1,0.01,0.0077,"Biological.Process","Cluster_14402"
"30","GO:0001649","osteoblast differentiation",27,2,0.21,0.0171,"Biological.Process","Cluster_14402"
"31","GO:0003179","heart valve morphogenesis",4,1,0.03,0.0305,"Biological.Process","Cluster_14402"
"32","GO:0003876","AMP deaminase activity",1,1,0.01,0.0053,"Molecular.Function","Cluster_14402"
"33","GO:0005254","chloride channel activity",5,1,0.03,0.0261,"Molecular.Function","Cluster_14402"
