"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0005198","structural molecule activity",54,1,0.02,0.019,"Molecular.Function","Cluster_10051"
"2","GO:0001762","beta-alanine transport",17,1,0.01,0.012,"Biological.Process","Cluster_15340"
"3","GO:0005096","GTPase activator activity",12,1,0,0.0042,"Molecular.Function","Cluster_15340"
"4","GO:0002291","T cell activation via T cell receptor contact with ...",10,1,0.01,0.007,"Biological.Process","Cluster_15928"
"5","GO:0004940","beta1-adrenergic receptor activity",9,1,0,0.0032,"Molecular.Function","Cluster_15928"
"6","GO:0000900","mRNA regulatory element binding translation repress...",3,1,0,0.0011,"Molecular.Function","Cluster_17776"
"7","GO:0001409","guanine nucleotide transmembrane transporter activi...",35,1,0.05,0.048,"Molecular.Function","Cluster_1862"
"8","GO:0003924","GTPase activity",67,1,0.02,0.024,"Molecular.Function","Cluster_2859"
"9","GO:0001649","osteoblast differentiation",27,2,0.06,0.001,"Biological.Process","Cluster_3250"
"10","GO:0003964","RNA-directed DNA polymerase activity",135,1,0.05,0.047,"Molecular.Function","Cluster_3366"
"11","GO:0004672","protein kinase activity",86,1,0.03,0.03,"Molecular.Function","Cluster_4220"
"12","GO:0004198","calcium-dependent cysteine-type endopeptidase activ...",3,1,0,0.0021,"Molecular.Function","Cluster_5900"
"13","GO:0004843","cysteine-type deubiquitinase activity",6,1,0,0.0042,"Molecular.Function","Cluster_5900"
"14","GO:0001649","osteoblast differentiation",27,1,0.02,0.019,"Biological.Process","Cluster_5981"
"15","GO:0003943","N-acetylgalactosamine-4-sulfatase activity",8,1,0.01,0.0056,"Molecular.Function","Cluster_5981"
