gene_id,RNA-ACR-140,RNA-ACR-145,RNA-ACR-150,RNA-ACR-173,RNA-ACR-178
FUN_035039,553,340,256,485,510
FUN_035038,2486,775,743,1250,1092
FUN_035031,46,6,25,41,29
FUN_035030,183,252,48,78,73
FUN_035033,1519,311,555,990,370
FUN_035032,1764,1297,1035,1763,1360
FUN_035035,601,256,231,521,126
FUN_035034,3644,3770,3137,3225,3322
FUN_035037,5546,4928,3061,4720,3018
FUN_035036,1224,301,511,677,841
FUN_028149,7364,4643,3472,6112,6583
FUN_028148,2111,1690,1197,2402,2199
FUN_003348,0,0,0,0,0
FUN_003349,0,0,0,0,0
FUN_028143,2378,2022,1371,1993,2292
FUN_003347,0,0,0,0,0
FUN_003344,0,0,10,0,0
FUN_003345,0,0,0,0,0
FUN_028147,11,0,4,0,0
FUN_028146,0,0,7,0,25
FUN_003340,50,2,51,3,286
FUN_028144,1194,472,503,644,814
FUN_008019,531,522,383,187,546
FUN_013332,48,12,18,56,44
FUN_041253,0,0,0,3,13
FUN_041250,0,0,0,0,0
FUN_013331,1235,672,591,707,520
FUN_013336,0,0,0,0,71
FUN_013337,400,254,259,506,318
FUN_041254,297,116,53,368,73
FUN_013335,31,0,0,7,6
FUN_013338,0,0,0,0,0
FUN_013339,0,1,0,0,1
FUN_009376,234,91,119,228,264
FUN_010827,1170,866,643,1289,1082
FUN_010826,180,134,177,14,52
FUN_010825,2582,6423,3759,3870,2655
FUN_010824,35,0,100,0,102
FUN_010823,0,2,0,0,0
FUN_010822,0,0,0,11,7
FUN_010821,61,10,2,94,25
FUN_010820,0,0,0,11,16
FUN_032950,38,0,51,97,236
FUN_010829,574,410,316,665,336
FUN_010828,2745,1216,1505,3110,2503
FUN_042503,0,0,0,0,0
FUN_042502,0,0,0,0,0
FUN_003968,0,0,0,0,0
FUN_003969,147,104,116,354,388
FUN_042507,0,0,0,0,0
FUN_042506,0,0,0,0,0
FUN_042505,0,0,0,0,0
FUN_042504,0,0,2,0,3
FUN_003962,28,0,0,0,5
FUN_003963,31,11,12,0,48
FUN_003960,0,0,0,0,0
FUN_042508,0,0,0,0,0
FUN_003966,17,0,11,7,47
FUN_003967,0,3,0,0,10
FUN_003964,0,4,0,0,0
FUN_003965,0,0,19,0,0
FUN_003346,0,0,0,0,0
FUN_028142,718,427,248,324,577
FUN_028141,2858,6198,1145,5576,2600
FUN_028140,2383,3283,1041,2951,1374
FUN_009069,28,459,236,12,399
FUN_009068,387,45,47,355,199
FUN_009065,0,0,0,0,15
FUN_003342,8,0,5,0,50
FUN_009067,21,32,32,2,19
FUN_009066,1,0,0,1,1
FUN_009061,105,248,114,39,94
FUN_009060,22,0,0,0,0
FUN_009063,40,0,34,0,26
FUN_003343,0,0,3,0,0
FUN_028145,4870,4938,2486,4910,3597
FUN_003341,8,0,0,1,30
FUN_022170,4802,2165,1524,3928,2822
FUN_022171,7,4,0,4,38
FUN_022172,778,1520,308,388,468
FUN_022173,31,45,29,51,91
FUN_022174,76,144,59,67,113
FUN_022175,175,21,123,190,42
FUN_022176,31,82,33,153,13
FUN_022177,0,46,14,11,51
FUN_022178,58,12,80,74,131
FUN_022179,142,154,64,138,114
FUN_010175,0,0,0,3,0
FUN_040614,10,71,115,118,24
FUN_010177,0,0,0,0,0
FUN_040616,3635,3540,2320,3449,2259
FUN_010171,0,0,0,0,0
FUN_040610,285,230,363,424,365
FUN_010173,0,0,0,0,0
FUN_010172,0,0,0,0,0
FUN_040619,0,0,0,0,0
FUN_040618,0,0,0,0,0
FUN_011888,0,0,0,0,0
FUN_011889,0,0,0,0,0
FUN_011886,12,52,29,0,40
FUN_011887,912,0,255,960,410
FUN_011884,1130,1011,743,1361,1621
FUN_011885,0,0,1,0,35
FUN_011882,3441,4049,2727,2958,1912
FUN_011883,425,270,206,333,362
FUN_011880,29,1,21,40,7
FUN_011881,107,47,75,215,62
FUN_009933,2,1,1,1,1
FUN_009932,346,599,385,134,176
FUN_009931,50,21,17,16,24
FUN_009930,0,0,7,6,272
FUN_009937,3,1,0,1,1
FUN_009936,2,3,1,1,1
FUN_009935,1,1,1,1,1
FUN_009934,0,2,1,1,0
FUN_009939,0,1,0,0,0
FUN_009938,2,3,0,1,1
FUN_032359,1017,521,354,209,107
FUN_032358,4923,3441,2697,4250,3330
FUN_024435,0,0,0,0,0
FUN_024434,0,0,0,0,0
FUN_008080,96,10,47,45,32
FUN_024432,1364,8737,47,1441,161
FUN_024431,36,146,63,153,28
FUN_008083,0,30,1,5,7
FUN_032351,4,0,1,0,3
FUN_032350,2548,2505,2240,1793,1400
FUN_032353,1833,1379,1289,2858,2032
FUN_032352,958,256,283,624,360
FUN_032355,424,515,497,556,788
FUN_008089,99,196,91,110,188
FUN_032357,2208,1672,918,1645,967
FUN_024438,10526,9213,5245,26635,17641
FUN_038717,1600,2316,1382,1270,848
FUN_038716,24,2,41,16,2
FUN_038715,142,89,108,203,125
FUN_038714,292,33,126,509,76
FUN_038713,0,0,0,0,0
FUN_038712,0,0,0,0,0
FUN_038711,70,0,6,0,0
FUN_038710,0,19,0,0,0
