#Duplication rate	Coverage
1.0	2.6165668E7
2.0	1.7679201E7
3.0	3774497.0
4.0	3074550.0
5.0	1127157.0
6.0	945782.0
7.0	484867.0
8.0	414937.0
9.0	256313.0
10.0	220251.0
11.0	151215.0
12.0	130144.0
13.0	95991.0
14.0	82281.0
15.0	63426.0
16.0	54141.0
17.0	42814.0
18.0	36982.0
19.0	29871.0
20.0	25509.0
21.0	20975.0
22.0	18373.0
23.0	15342.0
24.0	13211.0
25.0	10909.0
26.0	9508.0
27.0	8138.0
28.0	7120.0
29.0	6143.0
30.0	5278.0
31.0	4618.0
32.0	3923.0
33.0	3524.0
34.0	3063.0
35.0	2587.0
36.0	2499.0
37.0	2072.0
38.0	1754.0
39.0	1655.0
40.0	1481.0
41.0	1290.0
42.0	1119.0
43.0	1036.0
44.0	912.0
45.0	859.0
46.0	742.0
47.0	650.0
48.0	594.0
49.0	527.0
50.0	7728.0
