#Mapping quality	mapping quality
0.0	8262240.0
1.0	1.0424384E7
2.0	4.1748271E7
3.0	2.834691E7
4.0	3.7346769E7
5.0	2.4954448E7
6.0	2.5608544E7
7.0	1.1689445E7
8.0	1.0645116E7
9.0	9231779.0
10.0	8629094.0
11.0	8242475.0
12.0	7932703.0
13.0	7392134.0
14.0	7242596.0
15.0	7042750.0
16.0	6943888.0
17.0	6780979.0
18.0	6913824.0
19.0	6815676.0
20.0	7019019.0
21.0	7454444.0
22.0	7689940.0
23.0	8319334.0
24.0	8826531.0
25.0	8948697.0
26.0	9669370.0
27.0	1.0241507E7
28.0	1.0979554E7
29.0	1.1379955E7
30.0	1.1864814E7
31.0	1.1700879E7
32.0	1.1418037E7
33.0	1.0420594E7
34.0	9124873.0
35.0	7391256.0
36.0	5689479.0
37.0	3973490.0
38.0	2662172.0
39.0	1584972.0
40.0	1129767.0
41.0	1013121.0
42.0	1356374.0
