#Insert size (bp)	insert size
20.0	614.0
21.0	748.0
22.0	1120.0
23.0	1746.0
24.0	1665.0
25.0	2078.0
26.0	2801.0
27.0	3674.0
28.0	4948.0
29.0	6210.0
30.0	7708.0
31.0	9461.0
32.0	11655.0
33.0	14060.0
34.0	16489.0
35.0	19743.0
36.0	23169.0
37.0	26978.0
38.0	31399.0
39.0	36009.0
40.0	40543.0
41.0	45557.0
42.0	51635.0
43.0	58324.0
44.0	64978.0
45.0	72184.0
46.0	79259.0
47.0	87022.0
48.0	95338.0
49.0	103651.0
50.0	113118.0
51.0	121288.0
52.0	131332.0
53.0	140763.0
54.0	149176.0
55.0	161531.0
56.0	171131.0
57.0	181806.0
58.0	191218.0
59.0	201281.0
60.0	213221.0
61.0	221780.0
62.0	233327.0
63.0	242339.0
64.0	252982.0
65.0	262476.0
66.0	269855.0
67.0	280826.0
68.0	290921.0
69.0	298997.0
70.0	308930.0
71.0	316012.0
72.0	324343.0
73.0	332193.0
74.0	341315.0
75.0	347617.0
76.0	353026.0
77.0	360684.0
78.0	365734.0
79.0	371441.0
80.0	378992.0
81.0	383098.0
82.0	389133.0
83.0	396014.0
84.0	398201.0
85.0	404188.0
86.0	408977.0
87.0	412431.0
88.0	415790.0
89.0	421056.0
90.0	421538.0
91.0	424047.0
92.0	428777.0
93.0	428605.0
94.0	430621.0
95.0	434890.0
96.0	435459.0
97.0	435018.0
98.0	432531.0
99.0	435928.0
100.0	434161.0
101.0	436320.0
102.0	436767.0
103.0	439012.0
104.0	442323.0
105.0	437523.0
106.0	436643.0
107.0	437038.0
108.0	437318.0
109.0	435705.0
110.0	439737.0
111.0	441045.0
112.0	435336.0
113.0	435623.0
114.0	432117.0
115.0	433066.0
116.0	429899.0
117.0	427370.0
118.0	425168.0
119.0	423504.0
120.0	423987.0
121.0	419486.0
122.0	421534.0
123.0	418505.0
124.0	415139.0
125.0	413457.0
126.0	412453.0
127.0	412277.0
128.0	407386.0
129.0	403399.0
130.0	401094.0
131.0	398666.0
132.0	395969.0
133.0	395153.0
134.0	391848.0
135.0	389449.0
136.0	384304.0
137.0	381119.0
138.0	379457.0
139.0	377265.0
140.0	378367.0
141.0	372975.0
142.0	368582.0
143.0	363086.0
144.0	361999.0
145.0	359308.0
146.0	358441.0
147.0	357085.0
148.0	349320.0
149.0	266365.0
150.0	276782.0
151.0	442510.0
152.0	481405.0
153.0	442409.0
154.0	365361.0
155.0	348249.0
156.0	334658.0
157.0	327068.0
158.0	319747.0
159.0	308314.0
160.0	300730.0
161.0	295532.0
162.0	289241.0
163.0	285341.0
164.0	282087.0
165.0	277112.0
166.0	274081.0
167.0	269939.0
168.0	267902.0
169.0	261091.0
170.0	258349.0
171.0	254248.0
172.0	249918.0
173.0	245420.0
174.0	242517.0
175.0	242049.0
176.0	237146.0
177.0	231049.0
178.0	227508.0
