Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed_POC-47-TP2_S13_R1_001	23.350741136513037	25.0	91.08189127649509	9.090909090909092	151987190.0
trimmed_POC-47-TP2_S13_R2_001	21.32929358743273	27.0	94.88496770681792	27.27272727272727	151987190.0
trimmed_POC-48-TP2_S11_R1_001	27.890906771526602	22.0	110.96925086159597	0.0	177078360.0
trimmed_POC-48-TP2_S11_R2_001	27.89714882538547	23.0	112.30859226954665	27.27272727272727	177078360.0
trimmed_POC-50-TP2_S14_R1_001	30.072521271128807	25.0	88.90543680186589	18.181818181818183	167114293.0
trimmed_POC-50-TP2_S14_R2_001	26.89049934809134	29.0	96.23498213285683	27.27272727272727	167114293.0
trimmed_POC-53-TP2_S15_R1_001	30.093928814958943	25.0	104.65436041733801	9.090909090909092	141417553.0
trimmed_POC-53-TP2_S15_R2_001	26.904181051512538	27.0	108.72076076015826	18.181818181818183	141417553.0
trimmed_POC-57-TP2_S12_R1_001	38.65034120647519	22.0	114.69517883220156	9.090909090909092	241592172.0
trimmed_POC-57-TP2_S12_R2_001	38.96993892345553	23.0	115.52834666348379	27.27272727272727	241592172.0
