"miRNA","mean_expression","species"
"Cluster_1826",6078.32182781328,"A. pulchra"
"Cluster_1832",5312.62744662941,"A. pulchra"
"Cluster_1862",3894.99651061013,"A. pulchra"
"Cluster_1951",6902.12702375644,"A. pulchra"
"Cluster_2463",37610.8694588203,"A. pulchra"
"Cluster_2859",2194.61255874329,"A. pulchra"
"Cluster_3250",174.499203547281,"A. pulchra"
"Cluster_3366",1905.0879027201,"A. pulchra"
"Cluster_3367",2680.51698171697,"A. pulchra"
"Cluster_3437",4945.03744241566,"A. pulchra"
"Cluster_4220",196.313785925125,"A. pulchra"
"Cluster_4254",158.608562702906,"A. pulchra"
"Cluster_5012",37513.1403610139,"A. pulchra"
"Cluster_5899",1008.47066205268,"A. pulchra"
"Cluster_5900",38950.9536984125,"A. pulchra"
"Cluster_5981",5839.05630553643,"A. pulchra"
"Cluster_10051",11826.1499742885,"A. pulchra"
"Cluster_10057",11961.6084417043,"A. pulchra"
"Cluster_10093",12148.8315134877,"A. pulchra"
"Cluster_10207",13938.817911933,"A. pulchra"
"Cluster_10228",903.367832696455,"A. pulchra"
"Cluster_10419",1321.9527121723,"A. pulchra"
"Cluster_14402",451.156492292063,"A. pulchra"
"Cluster_14768",5.26964308805822,"A. pulchra"
"Cluster_15316",7498.73102353288,"A. pulchra"
"Cluster_15340",3843.00154684982,"A. pulchra"
"Cluster_15671",408.08152460042,"A. pulchra"
"Cluster_15775",22172.4595342701,"A. pulchra"
"Cluster_15851",193.101149774049,"A. pulchra"
"Cluster_15854",113.56104831731,"A. pulchra"
"Cluster_15928",680.8901021466,"A. pulchra"
"Cluster_16409",1372.60937451368,"A. pulchra"
"Cluster_17776",74.8782293165833,"A. pulchra"
"Cluster_17791",119481.313879416,"A. pulchra"
"Cluster_18711",24486.5154537026,"A. pulchra"
"Cluster_18723",611.2228973874,"A. pulchra"
"Cluster_18728",642916.856940613,"A. pulchra"
"Cluster_18772",882.855659757255,"A. pulchra"
"Cluster_19193",282.419158575143,"A. pulchra"
"Cluster_29",9253.87836620242,"P. evermanni"
"Cluster_589",3877.79072551575,"P. evermanni"
"Cluster_796",93387.6708226654,"P. evermanni"
"Cluster_1140",2933.50148020529,"P. evermanni"
"Cluster_1167",264272.920808647,"P. evermanni"
"Cluster_2787",3267.97951433514,"P. evermanni"
"Cluster_2854",292.050570688756,"P. evermanni"
"Cluster_2882",7598.86632487158,"P. evermanni"
"Cluster_4079",43108.6310834852,"P. evermanni"
"Cluster_4080",60397.1729984781,"P. evermanni"
"Cluster_4115",20363.4445865406,"P. evermanni"
