"from","to","weight","correlation","width","color"
"Cluster_19193","FUN_043573",0.929674659349317,0.929674659349317,4.64837329674658,"#666666"
"Cluster_10051","FUN_025197",0.978580789954302,0.978580789954302,4.89290394977151,"#666666"
"Cluster_16409","FUN_019843",0.912436100242777,0.912436100242777,4.56218050121389,"#666666"
"Cluster_16409","FUN_019846",0.912436100242777,0.912436100242777,4.56218050121389,"#666666"
"Cluster_10051","FUN_014343",0.938315097289955,0.938315097289955,4.69157548644977,"#666666"
"Cluster_3250","FUN_029385",0.918700592430811,0.918700592430811,4.59350296215406,"#666666"
"Cluster_16409","FUN_020652",0.912436100242777,0.912436100242777,4.56218050121389,"#666666"
"Cluster_19193","FUN_043328",0.965914639369325,0.965914639369325,4.82957319684663,"#666666"
"Cluster_15775","FUN_034923",0.952463395955054,0.952463395955054,4.76231697977527,"#666666"
"Cluster_15775","FUN_027826",0.915440855529146,0.915440855529146,4.57720427764573,"#666666"
"Cluster_15928","FUN_008664",0.88089978514717,0.88089978514717,4.40449892573585,"#666666"
"Cluster_10051","FUN_013927",0.978580789954303,0.978580789954303,4.89290394977152,"#666666"
"Cluster_4254","FUN_042810",0.911420631503238,-0.911420631503238,4.55710315751619,"#666666"
"Cluster_5981","FUN_018057",0.900789662401113,0.900789662401113,4.50394831200556,"#666666"
"Cluster_18728","FUN_018057",0.910263152536072,-0.910263152536072,4.55131576268036,"#666666"
"Cluster_17776","FUN_041481",0.891068009656766,0.891068009656766,4.45534004828383,"#666666"
"Cluster_3366","FUN_035372",0.914870296887149,0.914870296887149,4.57435148443574,"#666666"
"Cluster_15928","FUN_036130",0.939876771205326,0.939876771205326,4.69938385602663,"#666666"
"Cluster_5981","FUN_012516",0.91318960314172,0.91318960314172,4.5659480157086,"#666666"
"Cluster_4220","FUN_041670",0.963033219379839,-0.963033219379839,4.8151660968992,"#666666"
"Cluster_3366","FUN_023803",0.881114119723408,0.881114119723408,4.40557059861704,"#666666"
"Cluster_14402","FUN_006425",0.905658990907276,0.905658990907276,4.52829495453638,"#666666"
"Cluster_15340","FUN_034331",0.94735279088149,0.94735279088149,4.73676395440745,"#666666"
"Cluster_18711","FUN_011647",0.934483591954529,-0.934483591954529,4.67241795977264,"#666666"
"Cluster_15340","FUN_031699",0.933747396339595,-0.933747396339595,4.66873698169798,"#666666"
"Cluster_10057","FUN_001214",0.934801298442879,0.934801298442879,4.6740064922144,"#666666"
"Cluster_5012","FUN_035855",0.9658101093013,0.9658101093013,4.8290505465065,"#666666"
"Cluster_3250","FUN_040184",0.88328449467037,0.88328449467037,4.41642247335185,"#666666"
"Cluster_5981","FUN_032443",0.898911920913488,0.898911920913488,4.49455960456744,"#666666"
"Cluster_1862","FUN_032449",0.995693532787135,0.995693532787135,4.97846766393567,"#666666"
"Cluster_3250","FUN_000258",0.977388854104582,0.977388854104582,4.88694427052291,"#666666"
"Cluster_5981","FUN_010495",0.878919133374315,0.878919133374315,4.39459566687158,"#666666"
"Cluster_1862","FUN_037383",0.918909104941592,0.918909104941592,4.59454552470796,"#666666"
"Cluster_14768","FUN_000662",0.929222172391746,0.929222172391746,4.64611086195873,"#666666"
"Cluster_5981","FUN_030107",0.965113242711184,0.965113242711184,4.82556621355592,"#666666"
"Cluster_18728","FUN_028681",0.921599313631769,-0.921599313631769,4.60799656815884,"#666666"
"Cluster_5981","FUN_041289",0.965113242711184,0.965113242711184,4.82556621355592,"#666666"
"Cluster_3367","FUN_014908",0.923959542719925,-0.923959542719925,4.61979771359962,"#666666"
"Cluster_5981","FUN_043213",0.939467449175775,-0.939467449175775,4.69733724587887,"#666666"
"Cluster_18728","FUN_029594",0.894881290301398,-0.894881290301398,4.47440645150699,"#666666"
"Cluster_3367","FUN_040457",0.91834045230983,-0.91834045230983,4.59170226154915,"#666666"
