"id","type","group","size","color"
"Cluster_4438","miRNA","miRNA",20,"#E64B35"
"Cluster_2973","miRNA","miRNA",20,"#E64B35"
"Cluster_1938","miRNA","miRNA",20,"#E64B35"
"Cluster_5253","miRNA","miRNA",20,"#E64B35"
"Cluster_1793","miRNA","miRNA",20,"#E64B35"
"Cluster_5612","miRNA","miRNA",20,"#E64B35"
"Cluster_4823","miRNA","miRNA",20,"#E64B35"
"Cluster_4572","miRNA","miRNA",20,"#E64B35"
"Cluster_3661","miRNA","miRNA",20,"#E64B35"
"Cluster_4040","miRNA","miRNA",20,"#E64B35"
"Cluster_1296","miRNA","miRNA",20,"#E64B35"
"Cluster_360","miRNA","miRNA",20,"#E64B35"
"Cluster_1952","miRNA","miRNA",20,"#E64B35"
"Cluster_2839","miRNA","miRNA",20,"#E64B35"
"Cluster_3392","miRNA","miRNA",20,"#E64B35"
"Cluster_4439","miRNA","miRNA",20,"#E64B35"
"Cluster_4118","miRNA","miRNA",20,"#E64B35"
"Cluster_4435","miRNA","miRNA",20,"#E64B35"
"Cluster_390","miRNA","miRNA",20,"#E64B35"
"Cluster_4754","miRNA","miRNA",20,"#E64B35"
"Cluster_21","miRNA","miRNA",20,"#E64B35"
"Cluster_4437","miRNA","miRNA",20,"#E64B35"
"Cluster_1015","miRNA","miRNA",20,"#E64B35"
"Pocillopora_meandrina_HIv1___RNAseq.g22310.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g25291.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g10347.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g821.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26466.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g14977.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g18208.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g20733.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g627.t1b","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g5059.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g15252.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22666.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g23997.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g29298.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g1869.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g20484.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g21083.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g29797.t1a","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g13929.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g10343.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g14845.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g15866.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g13578.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g28481.t1","mRNA","mRNA",10,"#4DBBD5"
